Date,Open,High,Low,Close,Adj Close,Volume
2012-04-16,65.800003,65.889999,65.430000,65.559998,60.077484,17600
2012-04-17,65.940002,66.790001,65.940002,66.669998,61.094658,5100
2012-04-18,66.230003,66.419998,66.209999,66.260002,60.718948,13300
2012-04-19,66.199997,66.360001,65.500000,65.529999,60.050003,6300
2012-04-20,65.949997,66.580002,65.949997,66.239998,60.700619,6800
2012-04-23,65.570000,65.580002,65.269997,65.580002,60.095818,5200
2012-04-24,65.690002,66.040001,65.580002,65.860001,60.352394,4100
2012-04-25,66.349998,66.809998,66.180000,66.410004,60.856392,8800
2012-04-26,66.320000,67.010002,66.320000,66.980003,61.378742,2400
2012-04-27,67.129997,67.550003,67.019997,67.419998,61.781940,9100
2012-04-30,67.260002,67.260002,66.760002,66.830002,61.241283,8600
2012-05-01,66.860001,67.360001,66.800003,67.059998,61.452061,2300
2012-05-02,66.610001,66.970001,66.410004,66.970001,61.369568,10000
2012-05-03,66.949997,66.989998,66.400002,66.400002,60.847244,4700
2012-05-04,66.190002,66.190002,65.269997,65.400002,59.930859,9100
2012-05-07,65.129997,65.400002,65.000000,65.169998,59.720085,6000
2012-05-08,64.660004,64.910004,64.419998,64.910004,59.481842,4100
2012-05-09,64.239998,64.459999,63.820000,64.040001,58.684597,10000
2012-05-10,64.309998,64.339996,63.980000,63.980000,58.629620,6100
2012-05-11,64.199997,64.269997,63.810001,63.889999,58.547123,6300
2012-05-14,63.389999,63.869999,63.000000,63.500000,58.189751,8900
2012-05-15,63.500000,63.770000,63.200001,63.209999,57.924015,22000
2012-05-16,63.480000,63.540001,62.720001,62.830002,57.575787,9100
2012-05-17,62.439999,62.540001,61.540001,61.540001,56.393658,12200
2012-05-18,61.720001,61.790001,61.000000,61.000000,55.898819,22100
2012-05-21,61.410000,62.209999,61.410000,62.169998,56.970970,9900
2012-05-22,62.419998,62.599998,61.950001,62.060001,56.870171,2200
2012-05-23,61.549999,62.279999,61.110001,62.209999,57.007622,7300
2012-05-24,62.259998,62.320000,61.509998,62.049999,56.861000,5200
2012-05-25,62.080002,62.080002,61.689999,61.689999,56.531113,1900
