Date,Open,High,Low,Close,Adj Close,Volume
2014-09-24,21.5,23.219999,21.35,23.08,21.066643,60450900
2014-09-25,22.559999,23.41,22.450001,23.049999,21.039261,8430000
2014-09-26,23.18,23.370001,22.91,23.25,21.221813,2504400
2014-09-29,23.139999,23.450001,22.91,23.23,21.203554,4832600
2014-09-30,23.110001,23.57,23.049999,23.42,21.376984,4103100
2014-10-01,23.219999,23.610001,23.110001,23.440001,21.395237,3915500
2014-10-02,23.34,23.59,23.302999,23.34,21.303965,3121400
2014-10-03,23.379999,23.469999,23.01,23.23,21.203554,1585900
2014-10-06,23.280001,23.370001,22.610001,22.639999,20.665028,1208400
2014-10-07,22.559999,22.74,22.26,22.52,20.555492,1508400
2014-10-08,22.110001,23.15,22.110001,22.75,20.765429,1649200
2014-10-09,23.0,23.0,22.24,22.48,20.51898,1229100
2014-10-10,22.389999,22.559999,22.135,22.280001,20.336426,924000
2014-10-13,22.129999,22.66,22.120001,22.450001,20.491602,1382800
2014-10-14,22.5,22.790001,22.299999,22.450001,20.491602,1605800
2014-10-15,22.129999,22.200001,21.5,21.85,19.943939,3405400
2014-10-16,21.51,21.950001,21.469999,21.799999,19.8983,3105800
2014-10-17,21.889999,22.07,21.73,21.92,20.007837,2750600
2014-10-20,21.82,22.379999,21.82,22.379999,20.427706,1870600
2014-10-21,22.110001,22.93,22.110001,22.82,20.829323,1165500
2014-10-22,22.780001,23.0,22.403000000000002,22.6,20.628515,884700
2014-10-23,22.969999,23.08,22.59,23.030001,21.021006,1154200
2014-10-24,23.32,23.49,22.77,23.18,21.157923,1357800
2014-10-27,23.15,23.190001,22.725,22.85,20.856705,2898800
2014-10-28,23.16,23.59,22.93,23.280001,21.249195,1500600
2014-10-29,23.35,23.530001,23.200001,23.48,21.431751,1302300
2014-10-30,23.459999,23.690001,23.297001,23.440001,21.395237,1153600
2014-10-31,23.59,23.92,23.370001,23.620001,21.559538,1238600
2014-11-03,23.49,24.0,23.16,24.0,21.906387,1826900
2014-11-04,23.74,23.91,23.43,23.6,21.631413,1474500
2014-11-05,23.799999,23.950001,23.549999,23.9,21.906384,1097600
2014-11-06,23.790001,24.459999,23.75,24.299999,22.273022,1010700
2014-11-07,24.48,24.48,23.959999,23.969999,21.970549,600700
2014-11-10,24.040001,24.25,23.75,23.950001,21.952217,1531300
2014-11-11,23.969999,24.219999,23.75,23.940001,21.943054,658300
2014-11-12,23.75,23.98,23.51,23.860001,21.869726,940800
2014-11-13,23.620001,23.959999,23.58,23.82,21.833057,1149700
2014-11-14,23.74,24.0,23.74,23.959999,21.961386,1111500
2014-11-17,24.110001,24.110001,23.559999,24.0,21.998047,992400
2014-11-18,24.040001,24.040001,23.709999,23.73,21.750568,586000
2014-11-19,23.799999,24.0,23.51,23.719999,21.741405,812800
2014-11-20,23.57,23.870001,23.5,23.709999,21.732233,745800
2014-11-21,23.950001,24.209999,23.695,23.77,21.787233,725200
2014-11-24,23.799999,24.360001,23.68,24.25,22.227194,836800
2014-11-25,24.24,24.299999,24.02,24.030001,22.025541,701600
