Date,Open,High,Low,Close,Adj Close,Volume
2012-04-12,33.25,34.209999,32.0,34.0,28.276581,654700
2012-04-13,34.0,37.450001,33.91,37.0,30.771574,1685000
2012-04-16,37.0,37.0,35.99000200000001,36.549999,30.39732,550200
2012-04-17,36.400002,36.75,36.0,36.0,29.939915000000006,179600
2012-04-18,36.0,36.439999,34.5,36.0,29.939915000000006,207100
2012-04-19,36.0,37.220001,35.799999,36.0,29.939915000000006,598100
2012-04-20,36.099998,37.0,36.099998,36.32,30.206039,149700
2012-04-23,36.240002,36.240002,35.419998,35.68,29.673775,95700
2012-04-24,36.0,36.0,34.68,34.75,28.900324,124500
2012-04-25,34.799999,35.5,34.5,34.75,28.900324,266200
2012-04-26,34.610001000000004,34.990002000000004,34.439999,34.950001,29.06666,183900
2012-04-27,35.25,35.25,33.970001,34.110001000000004,28.368067,536000
2012-04-30,34.34,34.900002,34.0,34.049999,28.318165000000004,4105700
2012-05-01,33.740002000000004,34.099998,32.580002,32.759998,27.245316,6878600
2012-05-02,32.599998,32.669998,31.629999,32.0,26.613253000000004,11287600
2012-05-03,31.93,31.98,31.049999,31.389999,26.105934,11800000
2012-05-04,30.85,31.09,30.120001,30.16,25.082991,10881000
2012-05-07,30.1,30.549999,29.25,29.35,24.409346,12257200
2012-05-08,29.09,30.41,28.75,30.1,25.033094,14601300
2012-05-09,29.809999,32.889999,29.73,32.490002000000004,27.020773,13990000
2012-05-10,33.049999,33.349998,31.52,32.48,27.012449,8862000
2012-05-11,31.73,32.150002,31.4,31.83,26.471870000000006,4460100
2012-05-14,31.190001,31.58,30.77,31.32,26.047722,6398200
2012-05-15,31.35,32.32,31.059999,31.67,26.3388,6362800
2012-05-16,31.459999,32.389999,31.25,32.099998,26.696415,6118600
2012-05-17,31.889999,32.0,31.200001,31.26,25.997822,5850500
2012-05-18,31.43,31.690001,30.99,31.379999,26.097622,7940800
2012-05-21,31.23,32.34,30.950001,32.189999,26.771267,5480100
2012-05-22,31.879999,32.27,31.33,31.629999,26.30554,5415000
2012-05-23,31.35,31.49,30.879999,31.41,26.122572,5268900
2012-05-24,31.42,31.440001,30.75,31.129999,25.889706,4210400
2012-05-25,31.01,31.41,30.83,31.299999,26.031088,3217900
2012-05-29,31.280001,31.719999,30.860001,31.01,25.789904,3979600
2012-05-30,30.790001,30.83,30.18,30.440001,25.315853,6000600
2012-05-31,30.26,30.35,29.719999,30.030001,24.974876,8098000
2012-06-01,29.5,30.17,29.379999,29.92,24.883392,5701700
2012-06-04,29.299999,30.190001,29.25,29.530001,24.559044,4844900
2012-06-05,29.370001,30.1,29.32,29.9,24.866756,4046500
2012-06-06,30.030001,32.0,29.82,31.530001,26.222376,8609400
2012-06-07,32.07,32.75,31.74,31.83,26.471870000000006,7694300
2012-06-08,31.66,32.349998,31.51,32.119999,26.713053,4302100
2012-06-11,32.450001,33.049999,32.23,32.599998,27.112249,5999000
2012-06-12,32.560001,33.740002000000004,32.490002000000004,33.490002000000004,27.852436,6809900
2012-06-13,33.27,33.490002000000004,32.540001000000004,32.77,27.253641,2876200
2012-06-14,32.77,33.639999,32.310001,33.529999,27.885695,4460000
2012-06-15,33.599998,34.91,33.380001,34.900002,29.025084000000003,9892400
2012-06-18,34.380001,34.5,33.830002,33.860001000000004,28.160147,4254400
