Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,13.42,13.74,12.99,13.07,9.857662,3546100
2009-09-14,12.94,13.56,12.83,13.56,10.227232,2234800
2009-09-15,13.57,14.41,13.46,14.21,10.717473,4578200
2009-09-16,14.3,15.54,14.14,15.46,11.66025,5743100
2009-09-17,15.5,15.91,14.59,14.8,11.162462,5989600
2009-09-18,14.85,15.25,14.43,14.99,11.305766,3227100
2009-09-21,14.74,14.98,14.5,14.53,10.958825,3063400
2009-09-22,14.74,15.32,14.65,15.27,11.516946,2551300
2009-09-23,15.32,15.33,14.61,14.61,11.019159,2935600
2009-09-24,14.81,14.89,13.74,13.87,10.461039,3288600
2009-09-25,13.8,13.96,13.56,13.8,10.408242999999999,2986000
2009-09-28,13.8,14.35,13.8,14.28,10.770269,2745400
2009-09-29,14.33,14.76,14.21,14.68,11.071957000000001,3597300
2009-09-30,14.78,14.91,14.39,14.75,11.124753,5762600
2009-10-01,14.67,14.7,13.92,13.95,10.521378,4725200
2009-10-02,13.7,14.52,13.5,14.09,10.626967,3908300
2009-10-05,13.78,14.49,13.7,14.36,10.830605,3162200
2009-10-06,14.5,15.05,14.3,14.55,10.973908,3072700
2009-10-07,14.4,14.69,14.19,14.52,10.95128,2387900
2009-10-08,14.72,15.32,14.71,15.15,11.426444,2902800
2009-10-09,15.0,15.5,14.96,15.39,11.607455,2450800
2009-10-12,15.58,15.67,15.35,15.47,11.667788999999999,1088500
2009-10-13,15.4,15.52,15.07,15.3,11.539572999999999,1954200
2009-10-14,15.18,16.049999,15.18,15.96,12.037358,3331700
2009-10-15,15.92,15.92,15.59,15.68,11.826178,2553100
2009-10-16,15.41,15.52,15.06,15.07,11.366102,3069500
2009-10-19,15.34,15.52,15.22,15.25,11.501863,3416900
2009-10-20,15.28,15.28,14.75,14.82,11.177547,2091200
2009-10-21,14.75,15.27,14.56,14.63,11.034245,2446400
2009-10-22,14.63,14.89,14.27,14.86,11.207714999999999,2025200
2009-10-23,14.75,14.94,14.36,14.41,10.868319,2105900
2009-10-26,14.56,14.81,14.16,14.19,10.702392,2373300
2009-10-27,14.25,14.31,13.73,13.76,10.378074,2568700
2009-10-28,13.58,13.71,12.61,12.68,9.563518,7073700
2009-10-29,12.76,13.33,12.71,13.18,9.940626,6132100
2009-10-30,12.85,12.93,12.01,12.35,9.314623,9315300
2009-11-02,12.41,12.61,11.8,12.29,9.269371000000001,5267600
2009-11-03,12.11,12.61,12.01,12.58,9.488093,3964500
2009-11-04,12.7,12.91,12.54,12.63,9.525805,5884000
2009-11-05,12.73,12.95,12.5,12.77,9.631392,3510500
2009-11-06,12.51,12.79,12.35,12.55,9.465469,2761000
2009-11-09,12.79,13.39,12.67,13.34,10.061302,3461600
2009-11-10,13.29,13.38,13.07,13.22,9.970794999999999,3397400
2009-11-11,13.29,13.6,13.19,13.5,10.181975999999999,2384000
2009-11-12,13.38,13.67,13.24,13.28,10.016048,2064900
2009-11-13,13.39,13.61,13.17,13.48,10.166889,2032700
2009-11-16,13.71,14.33,13.58,14.01,10.566628999999999,2397100
2009-11-17,13.85,14.09,13.74,13.74,10.362988,2089600
2009-11-18,13.69,13.8,13.4,13.77,10.461758,2091400
2009-11-19,13.63,13.63,13.05,13.11,9.960322999999999,2483300
2009-11-20,13.23,13.43,13.03,13.38,10.165453999999999,2312700
2009-11-23,13.69,13.9,13.46,13.6,10.3326,1958300
2009-11-24,13.47,13.47,12.84,13.11,9.960322999999999,2650200
2009-11-25,13.11,13.44,13.1,13.29,10.097076,966700
2009-11-27,12.8,13.12,12.68,12.85,9.762789,847500
2009-11-30,12.83,13.54,12.83,13.51,10.264223,2621600
2009-12-01,13.67,13.95,13.52,13.86,10.530133,2788400
2009-12-02,13.77,14.31,13.77,14.23,10.811242,2738600
2009-12-03,14.25,14.69,14.09,14.15,10.750463,3173800
2009-12-04,14.41,14.81,14.41,14.78,11.229103,3662300
2009-12-07,14.69,14.84,14.48,14.6,11.092349,2723000
2009-12-08,14.39,14.83,14.36,14.66,11.137934,2396700
2009-12-09,14.74,14.84,14.54,14.71,11.17592,1809100
2009-12-10,14.79,14.81,14.5,14.62,11.107546000000001,2411000
2009-12-11,14.65,14.89,14.6,14.85,11.282286000000001,1274200
2009-12-14,14.91,15.39,14.68,15.35,11.662163,2062200
2009-12-15,15.13,15.39,15.04,15.19,11.540598,2734700
2009-12-16,15.24,15.48,15.19,15.27,11.601383,2047300
2009-12-17,15.16,15.29,15.07,15.14,11.502612,1823300
2009-12-18,15.2,15.48,15.01,15.42,11.715344,2802700
2009-12-21,15.43,15.92,15.38,15.62,11.867293,2101200
2009-12-22,15.58,15.92,15.58,15.87,12.057233,2280500
2009-12-23,15.83,16.370001000000002,15.83,16.26,12.353535,1610200
2009-12-24,16.370001000000002,16.68,16.35,16.66,12.657432,526500
2009-12-28,16.67,17.09,16.67,16.73,12.710614999999999,1468800
2009-12-29,16.77,16.84,15.99,16.030001000000002,12.252027,2085400
2009-12-30,15.99,16.030001000000002,15.66,15.94,12.183238000000001,2001800
2009-12-31,16.030001000000002,16.33,15.89,15.92,12.167953,1705200
2010-01-04,16.15,16.35,15.81,15.96,12.198524,1938700
2010-01-05,16.07,16.370001000000002,15.89,16.360001,12.504251,2070700
2010-01-06,16.360001,16.889999,16.360001,16.65,12.725905000000001,3797300
2010-01-07,16.59,17.360001,16.43,17.26,13.192138,3902600
2010-01-08,17.1,17.209999,16.6,16.860001,12.886411,3825200
2010-01-11,17.059998999999998,17.110001,16.860001,16.99,12.98577,1314000
2010-01-12,16.85,17.209999,16.48,16.549999,12.649467999999999,2220200
2010-01-13,16.59,17.040001,16.59,17.01,13.001057000000001,1609900
2010-01-14,16.91,17.110001,16.75,16.82,12.855839,2133000
2010-01-15,16.629998999999998,16.809998999999998,16.23,16.43,12.557755,2280800
2010-01-19,16.57,16.969998999999998,16.530001000000002,16.940001000000002,12.947558,2030400
2010-01-20,16.799999,16.870001000000002,16.469998999999998,16.65,12.725905000000001,1804200
2010-01-21,16.52,16.629998999999998,15.78,15.8,12.076234,4178000
2010-01-22,15.8,16.129998999999998,15.26,15.33,11.717003,2891800
2010-01-25,15.59,15.65,15.2,15.54,11.877508,1865700
2010-01-26,15.53,15.79,15.38,15.42,11.785793,1704500
2010-01-27,15.38,15.59,15.01,15.56,11.892797,2567300
2010-01-28,15.68,15.72,15.25,15.48,11.831648,1780500
2010-01-29,15.57,15.76,15.22,15.36,11.739931,2357500
2010-02-01,15.43,15.74,15.34,15.74,12.030372999999999,1289900
2010-02-02,15.71,16.370001000000002,15.51,16.26,12.42782,2619100
2010-02-03,15.99,16.09,15.66,15.93,12.175594,2356200
2010-02-04,15.73,15.76,15.2,15.26,11.663501,3633400
2010-02-05,15.43,15.78,15.11,15.69,11.992157,3521800
2010-02-08,15.63,15.81,15.15,15.21,11.625283,1807900
2010-02-09,15.42,15.56,15.1,15.48,11.831648,2638300
2010-02-10,15.49,15.66,15.1,15.44,11.801075,1678300
2010-02-11,15.38,15.56,15.16,15.53,11.869864999999999,1640100
2010-02-12,15.61,15.9,15.35,15.87,12.129736,2537400
2010-02-16,16.08,16.65,16.08,16.639999,12.71826,2247500
2010-02-17,16.65,17.059998999999998,16.540001,16.709999,12.771761,2053400
2010-02-18,16.73,16.99,16.57,16.889999,12.909343,2158200
2010-02-19,16.799999,16.879998999999998,16.59,16.65,12.725905000000001,3038400
2010-02-22,16.639999,16.780001000000002,16.48,16.629998999999998,12.710614999999999,3295500
2010-02-23,16.5,16.700001,16.450001,16.57,12.664758,2718700
2010-02-24,16.610001,16.879998999999998,16.549999,16.73,12.787047,2077200
2010-02-25,16.440001000000002,16.870001000000002,16.34,16.84,12.871126,1479600
2010-02-26,16.780001000000002,16.940001000000002,16.66,16.690001000000002,12.756477,2170300
2010-03-01,16.76,16.83,16.59,16.75,12.802336,1053200
2010-03-02,16.799999,17.030001000000002,16.74,16.969998999999998,12.970483,1230400
2010-03-03,16.959999,17.1,16.860001,16.9,12.916986,1344900
2010-03-04,16.92,17.02,16.809998999999998,16.940001000000002,12.947558,978800
2010-03-05,17.110001,17.65,16.950001,17.6,13.452003,1542500
2010-03-08,17.6,18.01,17.33,17.91,13.68895,1154900
2010-03-09,17.75,18.280001000000002,17.66,17.889999,13.67366,2155400
2010-03-10,17.84,18.0,17.77,17.940001000000002,13.711875,2151400
2010-03-11,17.860001,17.879998999999998,17.620001000000002,17.77,13.58194,1240000
2010-03-12,17.92,17.959999,17.59,17.75,13.566652,1831000
2010-03-15,17.73,17.950001,17.4,17.75,13.566652,1628800
