Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,6.725,6.8375,6.6025,6.6425,5.986026,1958400
2009-09-14,6.5725,6.65,6.4125,6.555,5.9071739999999995,1888000
2009-09-15,6.5675,6.895,6.5375,6.8125,6.139225,1853200
2009-09-16,6.8525,6.925,6.5925,6.79,6.118949,1881200
2009-09-17,6.845,6.8675,6.6,6.67,6.010809,1576400
2009-09-18,6.6975,6.705,6.3975,6.61,5.95674,2208400
2009-09-21,6.51,6.8,6.51,6.75,6.082901000000001,2371200
2009-09-22,6.8225,6.9975,6.725,6.8,6.127961,2561200
2009-09-23,6.845,6.8725,6.58,6.67,6.010809,1846000
2009-09-24,6.695,6.7025,6.4075,6.5425,5.895909,1985600
2009-09-25,6.6825,6.88,6.5875,6.75,6.082901000000001,2353600
2009-09-28,6.8,6.9625,6.6575,6.7,6.037843,1930800
2009-09-29,6.71,6.9225,6.7025,6.8675,6.18879,1791200
2009-09-30,6.925,6.9325,6.625,6.6975,6.035591999999999,2225600
2009-10-01,6.6875,6.6875,6.36,6.3675,5.7382040000000005,1892400
2009-10-02,6.3,6.5625,6.3,6.4525,5.814805000000001,1546800
2009-10-05,6.5025,6.7175,6.385,6.5975,5.945474,1211200
2009-10-06,6.63,6.74,6.5575,6.725,6.0603739999999995,1910800
2009-10-07,6.7125,6.8075,6.5875,6.605,5.952235,1386800
2009-10-08,6.67,6.92,6.575,6.8325,6.15725,2029600
2009-10-09,6.8,6.9475,6.625,6.935,6.249619,1516000
2009-10-12,6.9375,7.03,6.825,6.95,6.263136,1655600
2009-10-13,6.8975,7.0,6.765,6.9425,6.256378,1164400
2009-10-14,7.0325,7.2275,6.9075,7.2125,6.499694,2151200
2009-10-15,7.12,7.2,6.915,6.9775,6.287918,1357200
2009-10-16,7.01,7.01,6.7825,6.86,6.18203,1174400
2009-10-19,6.9425,6.995,6.88,6.9725,6.2834129999999995,1866000
2009-10-20,7.0025,7.175,6.93,7.1275,6.423095,2522400
2009-10-21,7.06,7.2475,6.7625,6.9,6.218079,4559600
2009-10-22,6.9025,7.03,6.39,6.69,6.028832,4448400
2009-10-23,6.69,6.8425,6.64,6.7475,6.080649,2924400
2009-10-26,6.7225,6.7925,6.55,6.6325,5.977015,3374000
2009-10-27,6.6425,6.8275,6.5625,6.72,6.055867,2191600
2009-10-28,6.715,6.7625,6.4,6.4125,5.778758,2704800
2009-10-29,6.475,6.6225,6.39,6.4625,5.823814,2571200
2009-10-30,6.415,6.5275,6.2925,6.43,5.794528,3108800
2009-11-02,6.45,6.5275,6.2275,6.4125,5.778758,3191600
2009-11-03,6.3425,6.5375,6.2975,6.475,5.835081,2758400
2009-11-04,6.51,6.5775,6.3,6.3575,5.729193,2590000
2009-11-05,6.425,6.635,6.335,6.6325,5.977015,2158400
2009-11-06,6.6,6.92,6.57,6.8725,6.193297,1876800
2009-11-09,6.925,7.1025,6.8475,7.0475,6.351001,2466800
2009-11-10,7.0425,7.1925,7.0175,7.13,6.4253480000000005,2373200
2009-11-11,7.1725,7.3725,7.1375,7.35,6.623606,1968800
2009-11-12,7.3175,7.385,7.08,7.0975,6.396059999999999,1576800
2009-11-13,7.155,7.355,7.1325,7.2125,6.499694,1618000
2009-11-16,7.3,7.4925,7.2675,7.37,6.641628,1493600
2009-11-17,7.365,7.4675,7.325,7.3975,6.666411,998000
2009-11-18,7.42,7.4375,7.28,7.35,6.623606,1929600
2009-11-19,7.2775,7.295,7.0975,7.2575,6.540247,1528000
2009-11-20,7.185,7.3475,7.155,7.32,6.59657,986400
2009-11-23,7.41,7.495,7.3625,7.415,6.682181,1300800
2009-11-24,7.3975,7.435,7.265,7.325,6.601075,1076800
2009-11-25,7.355,7.4175,7.2775,7.37,6.641628,1032400
2009-11-27,7.15,7.4625,7.1325,7.36,6.632617,701600
2009-11-30,7.395,7.5,7.285,7.475,6.736250999999999,2493200
2009-12-01,7.51,7.75,7.4975,7.725,6.961542999999999,2249600
2009-12-02,7.525,7.635,7.3675,7.545,6.799334,3498000
2009-12-03,7.6,7.65,7.5025,7.5675,6.819608000000001,2457600
2009-12-04,7.6875,8.0475,7.68,8.005,7.2138729999999995,2112000
2009-12-07,7.975,8.2375,7.9425,8.14,7.335528999999999,1953200
2009-12-08,8.1175,8.2625,7.9375,8.1775,7.369323,2649200
2009-12-09,8.175,8.225,8.0375,8.2125,7.400865,1099200
2009-12-10,8.175,8.2475,8.1025,8.11,7.3084940000000005,2040400
2009-12-11,8.125,8.695,8.115,8.6625,7.806392999999999,3535200
2009-12-14,8.6525,8.74,8.5375,8.6475,7.792874,2109600
2009-12-15,8.5625,8.71,8.4475,8.4825,7.644181,2508800
2009-12-16,8.5875,8.6875,8.495,8.6425,7.78837,1187200
2009-12-17,8.5475,8.64,8.43,8.575,7.727537,1366800
2009-12-18,8.6475,8.6475,8.3525,8.5125,7.6712169999999995,3496400
2009-12-21,8.55,8.7075,8.5275,8.6525,7.79738,1176800
2009-12-22,8.6475,8.9825,8.6475,8.9575,8.072239,2013600
2009-12-23,8.9925,9.1075,8.8,9.035,8.142078,1154800
2009-12-24,9.0275,9.12,8.9175,9.0175,8.126308,418400
2009-12-28,8.98,8.98,8.7,8.7725,7.90552,1411600
2009-12-29,8.83,8.83,8.675,8.7675,7.901014999999999,1042400
2009-12-30,8.6925,8.8575,8.645,8.78,7.912278999999999,850400
2009-12-31,8.7575,8.835,8.6375,8.64,7.786117,1492000
2010-01-04,8.705,8.82,8.6,8.7175,7.855956,1802400
2010-01-05,8.69,9.235,8.69,9.195,8.286261999999999,3052800
2010-01-06,9.0625,9.285,9.05,9.1125,8.21192,2994000
2010-01-07,9.1375,9.42,9.04,9.065,8.169113000000001,2887200
2010-01-08,9.0575,9.215,8.81,8.885,8.006902,2457600
2010-01-11,8.9575,8.9875,8.7125,8.83,7.957338,2324000
2010-01-12,8.775,9.05,8.7525,9.0275,8.13532,1866800
2010-01-13,9.0825,9.4,8.9875,9.335,8.412428,1442000
2010-01-14,9.3475,9.4425,9.3025,9.35,8.425944,1028400
2010-01-15,9.1825,9.195,8.9125,9.015,8.124056,2452800
2010-01-19,9.0475,9.3,8.9975,9.2925,8.374127,1736400
2010-01-20,9.1875,9.3,9.02,9.25,8.335828999999999,2017200
2010-01-21,9.3,9.4875,9.21,9.3075,8.387645,2466000
2010-01-22,9.3075,9.3925,8.9825,9.0125,8.121804,1602400
2010-01-25,9.065,9.2,9.04,9.1275,8.225436,1302800
2010-01-26,9.075,9.145,8.8625,8.87,7.993385000000001,1676000
2010-01-27,8.84,9.1675,8.735,9.125,8.223182000000001,2150800
2010-01-28,8.89,9.0,8.145,8.1475,7.342289999999999,7360000
2010-01-29,8.1975,8.2475,7.81,7.835,7.0606729999999995,3382800
2010-02-01,7.8425,8.0025,7.81,7.9925,7.202609,1856800
2010-02-02,8.025,8.3125,8.01,8.3125,7.490983,2856000
2010-02-03,8.29,8.39,8.1725,8.315,7.493233999999999,3080400
