Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,13.71,13.84,13.45,13.51,11.085165,17211000
2009-09-14,13.39,13.49,13.14,13.3,10.912857,26491400
2009-09-15,13.35,13.4,13.15,13.35,10.953880999999999,21158400
2009-09-16,13.48,13.5,13.29,13.39,10.986706,27157200
2009-09-17,13.34,13.36,12.92,13.03,10.691317,32023300
2009-09-18,13.05,13.19,12.95,13.03,10.691317,23707300
2009-09-21,12.85,12.86,12.56,12.66,10.387724,43636400
2009-09-22,12.85,13.34,12.83,13.27,10.888241,33485300
2009-09-23,13.47,13.5,13.21,13.24,10.863626,24798800
2009-09-24,13.28,13.3,12.79,13.02,10.683114,23484200
2009-09-25,12.96,13.15,12.9,13.1,10.748750999999999,19480000
2009-09-28,13.42,13.64,13.41,13.5,11.076961,17814300
2009-09-29,13.51,13.54,13.25,13.28,10.896445,14589300
2009-09-30,13.42,13.54,13.08,13.38,10.9785,23425700
2009-10-01,13.38,13.51,12.88,12.89,10.576446,28866700
2009-10-02,12.75,12.84,12.63,12.68,10.404139,24565300
2009-10-05,12.8,12.81,12.54,12.76,10.469778,28842800
2009-10-06,12.92,13.26,12.92,13.15,10.789779,19362100
2009-10-07,13.14,13.15,12.93,13.01,10.674908,12479200
2009-10-08,13.06,13.15,12.82,13.08,10.732344,23178100
2009-10-09,13.04,13.23,12.92,13.22,10.847219,25176600
2009-10-12,13.3,13.85,13.26,13.62,11.175424000000001,30489200
2009-10-13,13.69,13.7,13.4,13.44,11.027731,19684800
2009-10-14,13.74,13.75,13.41,13.71,11.249266,30979500
2009-10-15,13.69,13.75,13.5,13.59,11.150805,16347700
2009-10-16,13.43,13.51,13.14,13.38,10.9785,17104500
2009-10-19,13.38,13.6,13.26,13.54,11.109784,15907400
2009-10-20,13.54,13.76,13.38,13.47,11.052347,15018800
2009-10-21,13.42,13.67,13.08,13.12,10.765163000000001,20756100
2009-10-22,13.13,13.28,13.01,13.23,10.855421,18399300
2009-10-23,13.24,13.25,12.8,12.95,10.625675,18521100
2009-10-26,12.97,13.24,12.85,12.93,10.609263,18894300
2009-10-27,12.92,13.13,12.6,12.62,10.354906,15772400
2009-10-28,12.56,12.74,11.48,12.37,10.149776,17465200
2009-10-29,12.42,12.77,12.4,12.75,10.461575999999999,15933600
2009-10-30,12.71,12.73,12.16,12.2,10.01029,19518300
2009-11-02,12.22,12.47,12.1,12.3,10.09234,16789800
2009-11-03,12.06,12.1,11.78,11.89,9.755933,30794800
2009-11-04,12.08,12.15,11.93,11.94,9.796952000000001,21557300
2009-11-05,12.13,12.44,12.1,12.4,10.174391,16583100
2009-11-06,12.39,12.58,12.25,12.4,10.174391,13428500
2009-11-09,12.65,13.06,12.57,12.98,10.702078,22117300
2009-11-10,13.25,13.3,12.91,13.0,10.718567,21536700
2009-11-11,13.3,13.41,13.15,13.25,10.924695,35528500
2009-11-12,12.99,13.24,12.78,12.82,10.570153999999999,26637900
2009-11-13,12.86,12.93,12.61,12.72,10.487703999999999,29700700
2009-11-16,12.8,13.06,12.8,13.05,10.759792,21060700
2009-11-17,12.98,13.08,12.85,12.94,10.669092,18130700
2009-11-18,12.95,12.98,12.8,12.86,10.603135,15122300
2009-11-19,12.66,12.69,12.37,12.48,10.289825,17764800
2009-11-20,12.38,12.42,12.2,12.28,10.124922,22403300
2009-11-23,12.41,12.59,12.33,12.4,10.223863,13601600
2009-11-24,12.4,12.42,12.25,12.35,10.182639,14420500
2009-11-25,12.36,12.49,12.3,12.43,10.248596000000001,7812300
2009-11-27,12.1,12.41,12.04,12.29,10.133169,9014600
2009-11-30,12.26,12.34,12.12,12.31,10.149656,14255500
2009-12-01,12.42,12.95,12.4,12.89,10.627874,33235300
2009-12-02,12.89,13.08,12.84,13.0,10.718567,18043300
2009-12-03,13.09,13.27,13.04,13.07,10.776278999999999,17780600
2009-12-04,13.23,13.56,13.05,13.32,10.982406,20060100
2009-12-07,13.23,13.52,13.23,13.25,10.924695,19519500
2009-12-08,13.24,13.4,13.02,13.32,10.982406,17692500
2009-12-09,13.24,13.49,13.14,13.49,11.122575,17299400
2009-12-10,13.49,13.64,13.27,13.31,10.974165,18145000
2009-12-11,13.35,13.57,13.21,13.38,11.031879,12818900
2009-12-14,13.53,13.59,13.31,13.56,11.180289,14425300
2009-12-15,13.47,13.71,13.44,13.53,11.155552,13025200
2009-12-16,13.57,13.99,13.53,13.59,11.205026,29117200
2009-12-17,13.51,13.6,13.35,13.35,11.007144,11954600
2009-12-18,13.46,13.63,13.34,13.62,11.229762,19238000
2009-12-21,13.77,13.86,13.72,13.84,11.411151,12559500
2009-12-22,13.9,14.05,13.88,13.94,11.493599,13939300
2009-12-23,14.09,14.22,13.91,13.95,11.501846,16898800
2009-12-24,13.99,14.01,13.93,14.0,11.543072,5663500
2009-12-28,14.04,14.07,13.75,13.86,11.427639,9190200
2009-12-29,13.83,13.93,13.71,13.74,11.328698,7450500
2009-12-30,13.7,14.1,13.7,14.06,11.592541,10209300
2009-12-31,14.05,14.14,13.92,13.94,11.493599,9030100
2010-01-04,14.05,14.57,14.03,14.3,11.790422,18615100
2010-01-05,14.24,14.38,14.04,14.19,11.699726,15173200
2010-01-06,14.23,14.4,14.1,14.16,11.674991,13704800
2010-01-07,14.14,14.21,13.96,14.01,11.551316,21543200
2010-01-08,14.24,14.59,14.11,14.55,11.996552000000001,41212100
2010-01-11,14.84,14.94,14.45,14.87,12.260389,33667800
2010-01-12,14.76,14.77,14.03,14.2,11.707971,40350900
2010-01-13,14.29,14.42,13.92,14.27,11.765686,25137300
2010-01-14,14.22,14.38,14.02,14.35,11.831649,26920500
2010-01-15,14.16,14.34,13.67,13.73,11.320453,36020100
2010-01-19,13.77,14.02,13.75,13.97,11.518335,14620900
2010-01-20,13.83,13.89,13.65,13.8,11.378171,19220200
2010-01-21,13.86,14.09,13.52,13.58,11.19678,25265000
2010-01-22,13.35,13.39,12.61,12.63,10.413497999999999,48104300
2010-01-25,12.66,12.94,12.59,12.64,10.421743,39765000
2010-01-26,12.72,13.01,12.64,12.65,10.429991000000001,36897100
2010-01-27,12.75,13.07,12.69,13.04,10.751546000000001,30448800
2010-01-28,13.08,13.09,12.35,12.61,10.397008999999999,35016600
2010-01-29,12.78,12.85,12.15,12.18,10.042471,25601600
2010-02-01,12.34,12.56,12.23,12.52,10.322804,20227300
2010-02-02,12.59,12.59,12.35,12.51,10.314559,21525000
2010-02-03,12.35,12.48,12.12,12.28,10.124922,36170300
2010-02-04,12.22,12.22,11.66,11.8,9.729161,40737400
2010-02-05,11.8,12.27,11.68,12.23,10.083699000000001,43781500
2010-02-08,12.25,12.33,12.03,12.07,9.951775999999999,17976400
2010-02-09,12.24,12.4,12.04,12.15,10.017736,21123700
2010-02-10,12.2,12.32,12.1,12.23,10.083699000000001,17213400
2010-02-11,12.22,12.53,12.06,12.47,10.281577,18388100
2010-02-12,12.3,12.72,12.15,12.47,10.281577,23748600
2010-02-16,12.67,12.97,12.56,12.95,10.677342999999999,21663600
2010-02-17,13.09,13.15,12.75,12.99,10.710319,25202600
2010-02-18,12.78,12.79,12.31,12.68,10.454725,45212200
2010-02-19,12.62,12.64,12.35,12.5,10.306313000000001,29090400
2010-02-22,12.53,12.59,12.39,12.45,10.314602,22697700
2010-02-23,12.45,12.48,11.94,12.01,9.950068,30237000
2010-02-24,12.08,12.42,12.05,12.27,10.165475,25624000
2010-02-25,12.07,12.25,11.94,12.22,10.124047000000001,21748200
2010-02-26,12.27,12.3,12.03,12.24,10.140617,15882200
2010-03-01,12.3,12.5,12.29,12.5,10.356022,16465100
2010-03-02,12.55,12.64,12.35,12.42,10.289744,22421700
2010-03-03,12.45,12.55,12.34,12.39,10.264892,17029600
2010-03-04,12.4,12.48,12.09,12.26,10.157188,27418900
2010-03-05,12.33,12.43,12.23,12.29,10.182043,23992500
2010-03-08,12.52,12.53,12.31,12.36,10.240034,29715700
2010-03-09,12.3,12.42,12.24,12.29,10.182043,24562200
2010-03-10,12.29,12.55,12.26,12.53,10.380875999999999,35119100
2010-03-11,12.5,12.52,12.28,12.41,10.281456,30593800
2010-03-12,12.55,12.55,12.3,12.36,10.240034,25069900
2010-03-15,12.33,12.33,12.12,12.23,10.132335000000001,23660300
2010-03-16,12.23,12.49,12.2,12.45,10.314602,29795900
2010-03-17,12.5,12.69,12.45,12.66,10.488581,27773300
2010-03-18,12.67,12.77,12.53,12.63,10.463724000000001,18686400
2010-03-19,12.67,12.71,12.37,12.49,10.347737,24762900
2010-03-22,12.44,12.82,12.39,12.78,10.587997,26257100
2010-03-23,12.82,13.32,12.8,13.24,10.969099,39649700
2010-03-24,13.18,13.23,12.91,13.0,10.770265,34127100
2010-03-25,13.1,13.38,13.09,13.16,10.902821000000001,38278400
2010-03-26,13.28,13.45,13.01,13.21,10.944242,30090900
2010-03-29,13.28,13.45,13.22,13.31,11.027095,27827600
2010-03-30,13.38,13.6,13.23,13.45,11.143082000000001,39364900
2010-03-31,13.44,13.75,13.43,13.47,11.15965,40814400
2010-04-01,13.63,13.73,13.27,13.35,11.060233,37110700
2010-04-05,13.42,13.61,13.37,13.52,11.201074,29330500
2010-04-06,13.43,13.56,13.39,13.48,11.167933,16452500
2010-04-07,13.47,13.71,13.37,13.58,11.250784,20870600
2010-04-08,13.5,13.5,13.3,13.34,11.051948,29173200
2010-04-09,13.36,13.47,13.31,13.47,11.15965,15446100
2010-04-12,13.5,13.74,13.42,13.63,11.292208,24211600
2010-04-13,13.6,13.84,13.56,13.8,11.43305,28384400
2010-04-14,14.04,14.5,14.0,14.41,11.938422000000001,45410300
2010-04-15,14.45,14.49,14.26,14.34,11.88043,22965700
2010-04-16,14.27,14.45,14.18,14.36,11.896997,33765600
2010-04-19,14.26,14.39,13.99,14.3,11.84729,25694500
2010-04-20,14.37,14.46,14.23,14.46,11.97985,18477900
2010-04-21,14.47,14.5,14.12,14.43,11.954994000000001,19225700
2010-04-22,14.22,14.41,13.97,14.37,11.905285000000001,33118300
2010-04-23,14.37,14.48,14.18,14.47,11.988134,23701600
2010-04-26,14.45,14.57,14.3,14.36,11.896997,17270800
2010-04-27,14.31,14.39,13.9,13.93,11.540754,30107900
2010-04-28,14.02,14.16,13.85,14.05,11.640171,23997800
2010-04-29,14.1,14.28,14.01,14.26,11.814150999999999,20898500
2010-04-30,14.31,14.31,13.76,13.78,11.416481,25896300
2010-05-03,13.85,14.1,13.77,14.0,11.598746,17456600
2010-05-04,13.82,13.82,13.18,13.39,11.093371000000001,37264900
2010-05-05,13.27,13.48,13.08,13.22,10.952534,26151100
2010-05-06,13.12,13.36,11.99,12.71,10.530004,43990600
2010-05-07,12.64,12.74,12.03,12.5,10.356022,38398600
2010-05-10,12.99,13.39,12.85,13.19,10.927672,27919300
2010-05-11,13.03,13.61,12.96,13.36,11.068518,37536300
2010-05-12,13.44,13.81,13.39,13.77,11.408195,32924000
2010-05-13,13.68,13.76,13.15,13.23,10.960814,22710400
2010-05-14,13.16,13.16,12.75,12.95,10.728842,27246300
2010-05-17,12.96,13.24,12.8,13.18,10.919391000000001,18442600
2010-05-18,13.37,13.45,12.88,12.94,10.720550999999999,25296700
2010-05-19,12.9,13.21,12.78,13.02,10.786833999999999,36120400
2010-05-20,12.5,13.04,12.34,12.69,10.513433000000001,46660600
2010-05-21,12.32,12.92,12.3,12.72,10.538288,41207700
2010-05-24,12.53,12.7,12.41,12.49,10.404997,20421700
2010-05-25,12.14,12.69,12.05,12.67,10.554950999999999,25949500
2010-05-26,12.75,12.94,12.52,12.52,10.429992,24184000
2010-05-27,12.8,13.11,12.8,13.07,10.888178,21642600
2010-05-28,13.01,13.1,12.75,12.92,10.763214999999999,17231300
2010-06-01,12.83,13.0,12.58,12.59,10.488305,20702700
2010-06-02,12.67,12.87,12.53,12.85,10.704902,19568400
2010-06-03,12.87,13.08,12.79,13.03,10.854852000000001,19915500
2010-06-04,12.69,12.99,12.5,12.57,10.471646,20768200
2010-06-07,12.62,12.73,12.17,12.18,10.146746,19003400
2010-06-08,12.23,12.36,11.98,12.34,10.280039,18183000
2010-06-09,12.41,12.67,12.13,12.19,10.155078,19252100
2010-06-10,12.36,12.63,12.32,12.53,10.43832,21926600
2010-06-11,12.4,12.78,12.37,12.69,10.571608,16438600
2010-06-14,12.8,12.92,12.66,12.69,10.571608,17292100
2010-06-15,12.71,13.3,12.66,13.26,11.046455,25381300
2010-06-16,13.2,13.49,13.1,13.39,11.154755999999999,18674500
2010-06-17,13.5,13.5,13.09,13.4,11.163086999999999,15360000
2010-06-18,13.4,13.5,13.25,13.34,11.113105000000001,15309000
2010-06-21,13.52,13.54,13.16,13.26,11.046455,14415400
2010-06-22,13.32,13.5,13.01,13.06,10.879846,16289100
2010-06-23,13.13,13.3,12.9,13.12,10.929828,17537000
2010-06-24,13.03,13.07,12.67,12.76,10.629925,19277700
2010-06-25,12.76,13.01,12.5,12.95,10.788210000000001,48303900
2010-06-28,12.88,12.99,12.67,12.83,10.688239999999999,16084100
2010-06-29,12.65,12.65,12.25,12.32,10.263377,29442500
2010-06-30,12.3,12.47,12.0,12.02,10.013455,25783300
2010-07-01,12.01,12.18,11.73,12.0,9.996795,27308500
2010-07-02,12.03,12.11,11.76,12.0,9.996795,21203700
2010-07-06,12.12,12.17,11.61,11.78,9.813522,30163700
2010-07-07,11.84,12.21,11.72,12.19,10.155078,26353900
2010-07-08,12.3,12.31,11.92,12.11,10.08843,26422700
2010-07-09,12.15,12.31,12.01,12.3,10.246718,18687300
2010-07-12,12.2,12.47,12.18,12.31,10.255049,13674300
2010-07-13,12.5,12.62,12.46,12.52,10.429992,23246500
2010-07-14,12.67,12.78,12.46,12.53,10.43832,20956900
2010-07-15,12.51,12.57,12.27,12.46,10.380006,19689300
2010-07-16,12.42,12.45,12.18,12.19,10.155078,20576600
2010-07-19,12.25,12.4,12.19,12.38,10.313362,13306900
2010-07-20,12.12,12.37,11.89,12.34,10.280039,22747600
2010-07-21,12.6,12.71,12.17,12.2,10.163408,29922300
2010-07-22,12.34,12.61,12.33,12.45,10.371675,21862900
2010-07-23,12.39,12.55,12.25,12.51,10.421662,14214700
2010-07-26,12.49,12.64,12.29,12.56,10.463313000000001,15642600
2010-07-27,12.58,12.67,12.3,12.61,10.504964,19061900
2010-07-28,12.63,12.65,12.26,12.35,10.288371000000001,18344100
2010-07-29,12.35,12.39,11.78,11.94,9.946812,36363600
2010-07-30,11.89,11.92,11.66,11.8,9.830183,26268400
2010-08-02,12.0,12.15,11.94,12.01,10.005125999999999,20219400
2010-08-03,11.87,11.91,11.65,11.82,9.846845,23634000
2010-08-04,11.88,12.02,11.65,11.87,9.888494999999999,17594100
2010-08-05,11.86,11.97,11.7,11.81,9.838512,14579900
2010-08-06,11.7,11.87,11.66,11.84,9.863503,15889700
2010-08-09,11.96,11.97,11.73,11.87,9.888494999999999,9237100
2010-08-10,11.76,11.81,11.39,11.53,9.605255,25199900
2010-08-11,11.37,11.37,11.11,11.21,9.338675,20777200
2010-08-12,10.99,11.22,10.94,11.16,9.297018,27943900
2010-08-13,11.12,11.34,11.11,11.17,9.305349,15901300
2010-08-16,11.11,11.37,11.03,11.21,9.338675,19176600
2010-08-17,11.35,11.47,11.25,11.39,9.488626,15340600
2010-08-18,11.35,11.53,11.28,11.38,9.480297,12620500
2010-08-19,11.44,11.62,11.29,11.36,9.463632,21945000
2010-08-20,11.25,11.42,11.07,11.09,9.238705,27253900
2010-08-23,11.11,11.22,10.95,10.99,9.213552,26340400
2010-08-24,10.82,10.9,10.59,10.59,8.878211,37283900
2010-08-25,10.49,10.77,10.33,10.71,8.978813,31905600
2010-08-26,10.75,10.81,10.51,10.53,8.827909,25302300
2010-08-27,10.58,10.78,10.3,10.69,8.962046,23280100
2010-08-30,10.67,10.74,10.47,10.47,8.777606,16357700
2010-08-31,10.44,10.6,10.27,10.37,8.693772000000001,30117100
2010-09-01,10.51,10.9,10.5,10.71,8.978813,30718000
2010-09-02,10.67,10.81,10.59,10.79,9.045883,19587200
2010-09-03,11.01,11.1,10.79,10.98,9.205169999999999,16798300
2010-09-07,10.91,10.95,10.72,10.82,9.071034,31502500
2010-09-08,10.89,10.89,10.47,10.58,8.869825,30350500
2010-09-09,10.71,10.96,10.61,10.78,9.037497,24305500
2010-09-10,10.77,10.91,10.54,10.68,8.953664999999999,22927900
2010-09-13,10.74,10.87,10.71,10.78,9.037497,23298900
2010-09-14,10.79,11.19,10.72,11.11,9.314158,26126400
2010-09-15,11.06,11.09,10.86,11.04,9.255469999999999,18915700
2010-09-16,11.02,11.14,10.86,11.08,9.289002,21749900
2010-09-17,11.13,11.15,10.88,11.02,9.238706,23400800
2010-09-20,11.05,11.2,10.9,11.16,9.356078,19301400
2010-09-21,11.22,11.33,11.13,11.25,9.431529,26799500
2010-09-22,11.21,11.32,11.07,11.16,9.356078,20741400
2010-09-23,11.06,11.45,10.99,11.29,9.465063,22513800
2010-09-24,11.47,11.68,11.41,11.63,9.750103999999999,22056300
2010-09-27,11.58,11.7,11.5,11.54,9.674649,12055600
2010-09-28,11.59,11.77,11.43,11.73,9.833941000000001,21370600
2010-09-29,11.65,11.82,11.51,11.68,9.792024000000001,21920400
2010-09-30,11.71,11.85,11.51,11.68,9.792024000000001,23697300
2010-10-01,11.79,11.83,11.59,11.71,9.817173,18017200
2010-10-04,11.66,11.73,11.36,11.49,9.632732,15753100
2010-10-05,11.61,11.9,11.6,11.86,9.942927000000001,20998300
2010-10-06,11.8,11.81,11.6,11.73,9.833941000000001,18998300
2010-10-07,11.81,11.83,11.63,11.73,9.833941000000001,18464100
2010-10-08,11.63,11.86,11.48,11.82,9.909392,25834800
2010-10-11,11.82,11.92,11.77,11.82,9.909392,14540100
2010-10-12,11.83,11.99,11.7,11.96,10.026763,18305200
2010-10-13,12.0,12.05,11.81,11.97,10.035148,16470800
2010-10-14,12.0,12.07,11.86,11.91,9.984845,16167200
2010-10-15,12.05,12.05,11.86,12.02,10.077067999999999,20040300
2010-10-18,11.98,12.03,11.77,11.95,10.018379,13884500
2010-10-19,11.89,12.02,11.6,11.78,9.875858000000001,26954500
2010-10-20,11.82,12.05,11.81,11.94,10.009995,16526500
2010-10-21,11.96,12.0,11.8,11.9,9.976461,14562000
2010-10-22,11.9,12.16,11.84,12.13,10.169286,18248400
2010-10-25,12.22,12.25,12.14,12.15,10.186049,12380000
2010-10-26,12.05,12.2,11.97,12.09,10.13575,11561600
2010-10-27,11.99,12.24,11.96,12.24,10.261499,11833100
2010-10-28,12.18,12.29,12.14,12.25,10.269886,12635800
2010-10-29,12.28,12.38,12.21,12.35,10.353724,11137400
2010-11-01,12.36,12.44,12.17,12.37,10.370486,16335500
2010-11-02,12.42,12.5,12.32,12.48,10.462708000000001,11575000
2010-11-03,12.48,12.55,12.33,12.54,10.513011,12324600
2010-11-04,12.65,12.89,12.64,12.89,10.806435,16341100
2010-11-05,12.9,13.06,12.86,12.98,10.881886,15163400
2010-11-08,12.94,12.99,12.77,12.8,10.730981,16470300
2010-11-09,12.85,13.08,12.75,12.82,10.747752,14443400
2010-11-10,12.85,12.89,12.62,12.85,10.772902,15705600
2010-11-11,12.55,12.67,12.48,12.63,10.588463,15040400
2010-11-12,12.53,12.74,12.53,12.59,10.554927000000001,14686500
2010-11-15,12.72,12.8,12.6,12.61,10.571696000000001,12628100
2010-11-16,12.49,12.69,12.41,12.46,10.445942,17121600
2010-11-17,12.48,12.63,12.34,12.38,10.378873,14793200
2010-11-18,12.56,12.85,12.5,12.65,10.605231,21840500
2010-11-19,12.6,12.66,12.49,12.53,10.504622999999999,16923000
2010-11-22,12.35,12.61,12.34,12.53,10.563639,15045100
2010-11-23,12.35,12.45,12.3,12.41,10.462471,11613000
2010-11-24,12.48,12.71,12.42,12.59,10.614222999999999,11024600
2010-11-26,12.52,12.65,12.51,12.53,10.563639,4026200
2010-11-29,12.44,12.56,12.35,12.52,10.555213,16730700
2010-11-30,12.39,12.5,12.3,12.43,10.479338,13217200
2010-12-01,12.66,12.82,12.63,12.77,10.765978,13969100
2010-12-02,12.74,13.0,12.62,12.91,10.884005,12568700
2010-12-03,12.9,13.1,12.86,13.06,11.010467,10377000
2010-12-06,13.03,13.04,12.9,13.02,10.976746,8239600
2010-12-07,13.15,13.2,12.98,12.99,10.951452,12500200
2010-12-08,12.99,13.1,12.99,13.04,10.993604,10391400
2010-12-09,13.12,13.3,13.12,13.28,11.19594,11491800
2010-12-10,13.3,13.39,13.2,13.36,11.263389,9901400
2010-12-13,13.39,13.4,13.21,13.22,11.145357,9473800
2010-12-14,13.25,13.31,13.18,13.3,11.212802,9573500
2010-12-15,13.27,13.38,13.15,13.2,11.128495,10142800
2010-12-16,13.25,13.4,13.18,13.38,11.280247,8376200
2010-12-17,13.44,13.72,13.44,13.61,11.474155,19690500
2010-12-20,13.6,13.8,13.57,13.6,11.465725,12477100
2010-12-21,13.65,13.96,13.64,13.91,11.727072999999999,14591600
2010-12-22,13.85,14.02,13.78,14.0,11.802951,9699300
2010-12-23,13.98,14.1,13.96,14.0,11.802951,6675900
2010-12-27,13.92,14.13,13.91,14.08,11.870395,6401500
2010-12-28,14.02,14.14,14.02,14.1,11.887259,6992500
2010-12-29,14.16,14.16,14.05,14.12,11.904119,5993600
2010-12-30,14.13,14.2,14.07,14.13,11.912548,5649900
2010-12-31,14.13,14.15,14.0,14.05,11.845101,5660500
2011-01-03,14.13,14.29,14.01,14.06,11.853536,10943700
2011-01-04,14.06,14.1,13.91,13.97,11.777660000000001,16518700
2011-01-05,13.82,13.93,13.72,13.76,11.600613000000001,24401300
2011-01-06,13.82,14.1,13.8,13.89,11.71021,18942300
2011-01-07,13.93,14.03,13.79,13.96,11.769227,10838300
2011-01-10,13.89,13.94,13.68,13.77,11.609044,15011300
2011-01-11,13.87,14.1,13.84,14.08,11.870395,17290200
