Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.63,11.67,11.32,11.34,11.34,11446700
2009-09-14,11.11,11.36,10.95,11.35,11.35,13279600
2009-09-15,11.39,11.39,10.97,11.16,11.16,16942800
2009-09-16,11.22,11.22,10.86,11.03,11.03,17976200
2009-09-17,11.02,11.08,10.84,11.01,11.01,18248400
2009-09-18,11.1,11.11,10.85,10.97,10.97,14731800
2009-09-21,10.89,11.19,10.89,11.04,11.04,17351900
2009-09-22,11.04,11.15,10.8,10.99,10.99,20074500
2009-09-23,10.99,11.27,10.8,10.82,10.82,23639600
2009-09-24,10.83,10.94,10.56,10.63,10.63,16315900
2009-09-25,10.59,10.62,10.34,10.35,10.35,22588200
2009-09-28,10.38,10.91,10.32,10.81,10.81,20757000
2009-09-29,10.71,10.8,10.59,10.68,10.68,14876600
2009-09-30,10.63,10.64,10.33,10.59,10.59,21084400
2009-10-01,10.58,10.6,10.04,10.25,10.25,23962600
2009-10-02,10.11,10.17,9.98,10.01,10.01,21817400
2009-10-05,10.02,10.18,9.75,10.12,10.12,20370800
2009-10-06,9.73,10.07,9.73,9.95,9.95,32624200
2009-10-07,9.92,10.19,9.87,10.15,10.15,26583900
2009-10-08,10.18,10.36,10.14,10.25,10.25,15711500
2009-10-09,10.21,10.35,10.17,10.29,10.29,8184500
2009-10-12,10.42,10.45,9.92,10.0,10.0,14696800
2009-10-13,9.99,10.09,9.89,9.94,9.94,16292000
2009-10-14,10.01,10.11,9.95,10.06,10.06,20279000
2009-10-15,10.06,10.16,9.98,10.1,10.1,11650200
2009-10-16,10.03,10.09,9.95,10.02,10.02,16199500
2009-10-19,10.22,10.29,10.09,10.16,10.16,31791400
2009-10-20,9.17,9.33,8.39,8.57,8.57,138448100
2009-10-21,8.54,8.6,8.17,8.21,8.21,85628400
2009-10-22,8.25,8.6,8.14,8.38,8.38,47680100
2009-10-23,8.5,8.77,8.41,8.75,8.75,47395100
2009-10-26,8.79,8.79,8.42,8.47,8.47,37045600
2009-10-27,8.46,8.59,8.35,8.37,8.37,24864000
2009-10-28,8.33,8.48,8.11,8.12,8.12,18399100
2009-10-29,8.19,8.34,8.12,8.33,8.33,21564300
2009-10-30,8.26,8.34,8.09,8.12,8.12,25205100
2009-11-02,8.31,8.35,8.08,8.21,8.21,32694600
2009-11-03,8.17,8.21,7.88,7.99,7.99,44680600
2009-11-04,8.03,8.22,7.93,8.05,8.05,22924200
2009-11-05,8.1,8.14,7.84,8.05,8.05,38903500
2009-11-06,7.99,8.26,7.89,8.08,8.08,19924100
2009-11-09,8.19,8.31,8.07,8.31,8.31,16768500
2009-11-10,8.33,8.35,8.15,8.27,8.27,16180700
2009-11-11,8.36,8.43,8.29,8.38,8.38,17024900
2009-11-12,8.33,8.38,8.17,8.19,8.19,11556000
2009-11-13,8.2,8.35,8.12,8.26,8.26,13728100
2009-11-16,8.31,8.48,8.31,8.38,8.38,11380000
2009-11-17,8.33,8.36,8.17,8.27,8.27,13954200
2009-11-18,8.37,8.46,8.3,8.39,8.39,13855600
2009-11-19,8.35,8.36,8.11,8.21,8.21,23415400
2009-11-20,8.23,8.23,8.03,8.09,8.09,23307800
2009-11-23,8.14,8.23,8.1,8.16,8.16,15149100
2009-11-24,8.14,8.58,8.11,8.56,8.56,29123800
2009-11-25,8.64,8.72,8.51,8.64,8.64,16705900
2009-11-27,8.35,8.54,8.25,8.5,8.5,6425600
2009-11-30,8.48,8.59,8.27,8.37,8.37,15318500
2009-12-01,8.45,8.48,8.31,8.44,8.44,13006300
2009-12-02,8.42,8.63,8.42,8.59,8.59,15931900
2009-12-03,8.64,8.67,8.45,8.47,8.47,17127400
2009-12-04,8.49,8.66,8.43,8.52,8.52,22787400
2009-12-07,8.5,8.58,8.46,8.5,8.5,8829500
2009-12-08,8.52,8.52,8.35,8.48,8.48,14025600
2009-12-09,8.45,8.5,8.4,8.48,8.48,6785400
2009-12-10,8.46,8.76,8.46,8.72,8.72,17194700
2009-12-11,8.67,8.73,8.53,8.67,8.67,11663600
2009-12-14,8.78,9.02,8.6,8.93,8.93,15610800
2009-12-15,8.89,8.99,8.83,8.86,8.86,16776100
2009-12-16,8.81,8.98,8.78,8.78,8.78,12163900
2009-12-17,8.65,8.76,8.65,8.7,8.7,10279800
2009-12-18,8.72,8.9,8.63,8.9,8.9,20231200
2009-12-21,8.93,9.02,8.77,8.83,8.83,14015600
2009-12-22,8.81,8.88,8.71,8.8,8.8,9562600
2009-12-23,8.82,8.86,8.7,8.82,8.82,13948000
2009-12-24,8.8,8.9,8.8,8.85,8.85,1898300
2009-12-28,8.81,8.88,8.75,8.83,8.83,7448100
2009-12-29,8.88,8.89,8.79,8.82,8.82,6845400
2009-12-30,8.78,9.06,8.71,9.05,9.05,13576800
2009-12-31,9.07,9.11,8.98,9.0,9.0,7934200
2010-01-04,8.86,9.13,8.78,9.01,9.01,14332300
2010-01-05,8.99,9.1,8.94,9.04,9.04,8594200
2010-01-06,9.07,9.28,8.99,9.16,9.16,12923000
2010-01-07,9.2,9.24,9.04,9.09,9.09,15365800
2010-01-08,8.94,9.13,8.93,9.0,9.0,18894400
2010-01-11,9.08,9.16,9.0,9.07,9.07,8951500
2010-01-12,9.04,9.28,8.98,9.14,9.14,14009600
2010-01-13,9.17,9.19,8.99,9.15,9.15,10789600
2010-01-14,9.12,9.52,9.09,9.51,9.51,20174500
2010-01-15,9.5,9.5,9.24,9.43,9.43,16701400
2010-01-19,9.45,9.62,9.41,9.62,9.62,14560200
2010-01-20,9.61,9.79,9.4,9.48,9.48,33226500
2010-01-21,9.36,9.44,9.04,9.2,9.2,31725100
2010-01-22,9.16,9.24,9.0,9.0,9.0,22410000
2010-01-25,9.08,9.2,8.98,9.01,9.01,12610000
2010-01-26,8.99,9.15,8.93,9.03,9.03,10785800
2010-01-27,9.02,9.08,8.86,8.93,8.93,18179700
2010-01-28,8.93,8.99,8.66,8.72,8.72,16115800
2010-01-29,8.74,8.82,8.62,8.63,8.63,12241400
2010-02-01,8.48,8.83,8.24,8.42,8.42,68347000
2010-02-02,8.45,8.48,8.25,8.4,8.4,37334900
2010-02-03,8.35,8.4,8.26,8.36,8.36,12622300
2010-02-04,8.31,8.4,8.16,8.18,8.18,21675400
2010-02-05,8.16,8.21,8.06,8.21,8.21,17423500
2010-02-08,8.17,8.25,8.07,8.15,8.15,15515700
2010-02-09,8.22,8.25,8.08,8.23,8.23,19329200
2010-02-10,8.23,8.42,8.1,8.29,8.29,23735100
2010-02-11,7.77,7.78,7.39,7.47,7.47,154096200
2010-02-12,7.34,7.43,7.25,7.39,7.39,58085600
2010-02-16,7.41,7.43,7.19,7.41,7.41,36869900
2010-02-17,7.48,7.82,7.47,7.75,7.75,38507100
2010-02-18,7.67,7.92,7.66,7.79,7.79,17745500
2010-02-19,7.65,7.73,7.61,7.69,7.69,12421200
2010-02-22,7.74,7.93,7.69,7.87,7.87,22635700
2010-02-23,7.83,7.85,7.72,7.75,7.75,18015700
2010-02-24,7.78,7.85,7.75,7.8,7.8,17359400
