Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,17.035,17.34,16.690001000000002,16.75,15.478210999999998,4695000
2009-09-14,16.469998999999998,16.799999,16.355,16.559998999999998,15.302636999999999,3713800
2009-09-15,16.504998999999998,16.68,16.440001000000002,16.559998999999998,15.302636999999999,3319600
2009-09-16,16.615,16.620001000000002,16.27,16.434998999999998,15.187129999999998,2759400
2009-09-17,15.695,15.935,15.375,15.58,14.397043,9212200
2009-09-18,15.585,15.685,15.395,15.43,14.258435999999998,7681800
2009-09-21,15.33,15.365,15.0,15.27,14.110585,4589200
2009-09-22,15.355,15.64,15.2,15.515,14.336981,3918000
2009-09-23,15.56,15.74,15.21,15.24,14.082861999999999,3676600
2009-09-24,15.37,15.375,14.8,14.99,13.851845,2594600
2009-09-25,15.005,15.065,14.8,14.98,13.842603,3250200
2009-09-28,15.015,15.41,14.845,15.28,14.119824,2050800
2009-09-29,15.345,15.62,15.07,15.34,14.175267000000002,1837000
2009-09-30,15.345,15.48,14.815,15.13,13.981214999999999,2727800
2009-10-01,14.98,15.03,14.345,14.375,13.283539999999999,5101000
2009-10-02,14.18,14.21,13.81,13.925,12.867708,7419600
2009-10-05,14.03,14.29,13.9,14.255,13.172651,4198800
2009-10-06,14.44,14.695,14.315,14.52,13.41753,3235000
2009-10-07,14.515,14.61,14.355,14.6,13.491456,2002600
2009-10-08,14.73,15.42,14.625,15.2,14.045898999999999,4579600
2009-10-09,15.2,15.34,15.03,15.205,14.05052,2508600
2009-10-12,15.26,16.174999,15.25,16.145,14.919147,5239400
2009-10-13,16.084999,16.115,15.67,15.715,14.521795999999998,3272800
2009-10-14,15.935,16.27,15.815,16.139999,14.914527,3055200
2009-10-15,16.02,16.23,15.955,16.125,14.900665,2188000
2009-10-16,15.975,16.004998999999998,15.535,15.775,14.57724,2271800
2009-10-19,15.855,16.264999,15.78,16.17,14.942248000000001,3218000
2009-10-20,16.105,16.120001000000002,15.565,15.85,14.646548000000001,3329800
2009-10-21,15.765,16.674999,15.765,16.334999,15.09472,4654000
2009-10-22,16.334999,16.725,15.945,16.59,15.330357999999999,2513000
2009-10-23,16.705,16.75,16.344998999999998,16.535,15.279532999999999,2712000
2009-10-26,16.525,17.365,16.525,16.65,15.385798999999999,3481200
2009-10-27,16.785,16.785,15.94,16.219998999999998,14.988451000000001,3756400
2009-10-28,16.565001000000002,16.565001000000002,14.88,15.105,13.958110999999999,5380400
2009-10-29,15.535,15.83,15.3,15.72,14.526415,4691200
2009-10-30,15.615,15.94,15.07,15.16,14.008938,4735400
2009-11-02,15.23,15.65,15.02,15.41,14.239953,3575400
2009-11-03,15.245,15.61,15.11,15.49,14.313881,2542400
2009-11-04,15.6,15.86,15.335,15.405,14.235332999999999,1959200
2009-11-05,15.565,15.88,15.425,15.63,14.443251,2874800
2009-11-06,15.45,16.135,15.45,15.92,14.711231,3339800
2009-11-09,16.014999,16.575001,15.975,16.52,15.265676000000001,2145200
2009-11-10,16.365,16.780001000000002,16.014999,16.334999,15.09472,4215000
2009-11-11,16.51,16.58,16.275,16.35,15.108584,2134200
2009-11-12,16.295,16.59,16.035,16.049999,14.83136,1853400
2009-11-13,16.08,16.355,15.905,16.014999,14.799019,3210200
2009-11-16,16.209999,16.309998999999998,16.035,16.190001000000002,14.960732,1991000
2009-11-17,16.065001000000002,16.26,15.955,16.200001,14.969973000000001,2924400
2009-11-18,16.110001,16.165001,15.845,15.895,14.688129,2237800
2009-11-19,15.725,15.78,15.31,15.46,14.286156,2176200
