Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.56,11.94,11.48,11.8,11.8,6562300
2009-09-14,11.66,11.98,11.54,11.98,11.98,2869600
2009-09-15,12.0,12.45,11.88,12.3,12.3,6258500
2009-09-16,12.46,13.14,12.41,13.05,13.05,6162000
2009-09-17,12.63,13.1,12.22,12.53,12.53,6896900
2009-09-18,12.61,12.69,12.22,12.48,12.48,4658800
2009-09-21,12.3,12.32,11.95,12.04,12.04,3692900
2009-09-22,12.2,12.5,12.18,12.43,12.43,3128800
2009-09-23,12.43,12.84,12.13,12.19,12.19,5415600
2009-09-24,12.36,12.67,11.51,11.68,11.68,4189300
2009-09-25,11.56,11.65,11.33,11.43,11.43,3326600
2009-09-28,11.6,12.04,11.4,12.04,12.04,3765400
2009-09-29,12.1,12.26,11.73,11.77,11.77,2767200
2009-09-30,11.94,11.96,11.46,11.74,11.74,3444500
2009-10-01,11.64,11.7,10.88,10.94,10.94,6155200
2009-10-02,10.73,11.03,10.52,10.76,10.76,4894000
2009-10-05,10.89,11.29,10.85,11.29,11.29,2744600
2009-10-06,11.48,11.99,11.34,11.53,11.53,3805000
2009-10-07,11.36,11.61,11.15,11.35,11.35,1756600
2009-10-08,11.17,11.98,11.14,11.93,11.93,3365700
2009-10-09,11.86,12.3,11.7,12.23,12.23,3084400
2009-10-12,12.38,12.45,12.08,12.15,12.15,2456700
2009-10-13,12.0,12.1,11.78,11.97,11.97,2288800
2009-10-14,12.18,12.57,11.99,12.54,12.54,2996400
2009-10-15,12.36,12.75,12.28,12.73,12.73,2627300
2009-10-16,12.41,12.54,12.0,12.4,12.4,3393300
2009-10-19,12.49,13.09,12.35,13.0,13.0,3920000
2009-10-20,12.99,13.18,12.88,12.97,12.97,3522000
2009-10-21,12.96,13.45,12.95,13.26,13.26,4197600
2009-10-22,13.24,13.69,12.85,13.62,13.62,3403900
2009-10-23,13.59,13.77,12.89,13.0,13.0,4356900
2009-10-26,13.0,13.53,12.6,12.69,12.69,3442200
2009-10-27,12.75,12.8,11.9,12.25,12.25,6600500
2009-10-28,12.17,12.34,11.35,11.46,11.46,10449400
2009-10-29,11.22,11.49,10.73,11.3,11.3,11735300
2009-10-30,11.17,11.29,10.31,10.35,10.35,7963200
2009-11-02,10.4,10.94,9.98,10.56,10.56,5975100
2009-11-03,10.37,10.8,10.23,10.78,10.78,4264600
2009-11-04,10.82,10.85,10.31,10.33,10.33,6914800
2009-11-05,10.62,10.82,10.41,10.7,10.7,4579400
2009-11-06,10.51,11.2,10.45,10.73,10.73,7077200
2009-11-09,10.99,11.14,10.83,11.14,11.14,3990900
2009-11-10,11.05,11.11,10.73,10.9,10.9,4503100
2009-11-11,10.95,11.2,10.68,11.0,11.0,8241000
