Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.71,12.12,11.52,11.76,10.476337,16390700
2009-09-14,11.6,11.94,11.49,11.86,10.565423,9794700
2009-09-15,12.28,12.6,12.14,12.43,11.073207,21566700
2009-09-16,12.46,13.09,12.23,12.74,11.34937,27889900
2009-09-17,12.67,13.16,12.27,12.44,11.082112,14712600
2009-09-18,12.53,12.71,12.25,12.6,11.22465,11167800
2009-09-21,12.42,12.5,11.96,12.38,11.028663,13096000
2009-09-22,12.52,12.76,12.42,12.65,11.269191000000001,7702700
2009-09-23,12.71,12.78,12.08,12.09,10.77032,8671900
2009-09-24,12.13,12.27,11.46,11.6,10.333803999999999,7310600
2009-09-25,11.55,11.8,11.41,11.62,10.351621000000002,9167100
2009-09-28,11.73,12.36,11.65,12.28,10.939583,6238200
2009-09-29,12.39,12.6,12.31,12.41,11.055389,8805200
2009-09-30,12.48,12.53,11.88,12.05,10.734685,10089100
2009-10-01,11.98,11.99,11.46,11.57,10.307080000000001,15327700
2009-10-02,11.37,11.74,11.29,11.49,10.235811,15471100
2009-10-05,11.49,11.88,11.45,11.82,10.529793,11272500
2009-10-06,11.85,12.26,11.85,12.16,10.832677,9545700
2009-10-07,12.1,12.37,11.93,12.11,10.788135,13431100
2009-10-08,12.37,12.7,12.18,12.57,11.197924,9887200
2009-10-09,12.42,12.6,12.26,12.36,11.010848,8276400
2009-10-12,12.42,12.43,11.98,12.13,10.805953,6267700
2009-10-13,12.15,12.33,12.14,12.15,10.82377,6715800
2009-10-14,11.89,12.63,11.78,12.52,11.153383,30354900
2009-10-15,12.2,13.43,12.18,13.23,11.785882,39601100
2009-10-16,13.02,13.4,12.79,13.09,11.661164,13930900
2009-10-19,13.09,13.76,13.0,13.71,12.213486999999999,10685100
2009-10-20,13.68,14.03,13.36,13.82,12.31148,11059500
2009-10-21,13.75,14.04,13.19,13.24,11.794792999999999,11202900
2009-10-22,13.27,13.63,12.99,13.6,12.115496,8013500
2009-10-23,13.67,13.72,12.99,13.04,11.616622,9364200
2009-10-26,13.13,13.72,12.68,12.77,11.376095,12546700
2009-10-27,12.82,13.0,12.29,12.44,11.082112,10923900
2009-10-28,12.27,12.4,11.4,11.74,10.458525,23176200
