Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,13.03,13.12,12.97,12.99,9.276664,2664000
2009-09-14,12.93,13.23,12.93,13.22,9.440916,2201600
2009-09-15,13.18,13.21,13.04,13.05,9.319512,5754900
2009-09-16,13.04,13.24,13.0,13.16,9.398069,10001600
2009-09-17,13.17,13.35,13.08,13.27,9.476624000000001,3632800
2009-09-18,13.31,13.52,13.29,13.43,9.590888,3982000
2009-09-21,13.44,13.48,13.27,13.44,9.598028999999999,2828600
2009-09-22,13.45,13.56,13.33,13.38,9.555178,2154100
2009-09-23,13.42,13.64,13.35,13.38,9.555178,3456400
2009-09-24,13.41,13.54,13.32,13.35,9.533754,1947600
2009-09-25,13.33,13.47,13.25,13.35,9.533754,1790000
2009-09-28,13.36,13.6,13.33,13.51,9.648017999999999,1220800
2009-09-29,13.56,13.64,13.48,13.51,9.648017999999999,2381700
2009-09-30,13.53,13.53,13.3,13.4,9.569462,3044100
2009-10-01,13.39,13.42,13.21,13.21,9.433774,2937100
2009-10-02,13.14,13.29,13.05,13.21,9.433774,2695700
2009-10-05,13.23,13.35,13.09,13.3,9.49805,2203000
2009-10-06,13.31,13.43,13.24,13.35,9.533754,2227000
2009-10-07,13.31,13.38,13.23,13.3,9.49805,1948000
2009-10-08,13.36,13.38,13.24,13.25,9.462341,5165900
2009-10-09,13.3,13.56,13.23,13.47,9.619453,2325900
2009-10-12,13.47,13.69,13.47,13.59,9.705147,3121900
2009-10-13,13.58,13.65,13.44,13.63,9.733715,3816100
2009-10-14,13.7,13.76,13.62,13.76,9.826554,4758400
2009-10-15,13.72,13.88,13.65,13.75,9.819413,2878900
2009-10-16,13.68,13.82,13.56,13.75,9.819413,1480500
2009-10-19,13.73,13.9,13.62,13.88,9.912251,2510100
2009-10-20,13.88,13.98,13.69,13.92,9.940814,4245600
2009-10-21,13.91,14.13,13.79,13.88,9.912251,3825400
2009-10-22,13.87,13.92,13.75,13.81,9.862262,2302300
2009-10-23,13.81,13.98,13.54,13.59,9.705147,3580400
2009-10-26,13.63,13.96,13.5,13.53,9.662302,5070100
2009-10-27,13.56,13.65,13.43,13.52,9.655158,3288800
2009-10-28,13.52,13.59,13.37,13.4,9.569462,3925400
2009-10-29,13.42,13.78,13.32,13.74,9.812267,7638200
2009-10-30,13.3,13.75,13.25,13.3,9.49805,7015300
2009-11-02,13.35,13.51,13.0,13.05,9.319512,10399300
2009-11-03,13.02,13.25,13.01,13.13,9.376646000000001,5838600
2009-11-04,13.12,13.33,13.04,13.17,9.495608,5175300
2009-11-05,13.22,13.5,13.19,13.43,9.683069999999999,3703700
2009-11-06,13.4,13.61,13.32,13.53,9.755172,3845400
2009-11-09,13.61,13.85,13.59,13.85,9.98589,5477000
2009-11-10,13.79,14.11,13.79,14.09,10.158935000000001,4510500
2009-11-11,14.14,14.38,14.14,14.23,10.259872999999999,5854900
2009-11-12,14.23,14.39,14.05,14.11,10.173353,3758800
2009-11-13,14.16,14.38,14.1,14.37,10.360816,6343400
2009-11-16,14.47,14.65,14.41,14.56,10.497803999999999,3175900
2009-11-17,15.13,15.14,14.47,14.71,10.605955999999999,7550400
2009-11-18,14.66,14.72,14.36,14.42,10.396863,4525100
2009-11-19,14.48,14.48,13.89,13.97,10.072413000000001,10806300
2009-11-20,13.94,14.09,13.85,14.05,10.130092999999999,3407400
2009-11-23,14.13,14.35,14.02,14.09,10.158935000000001,3536700
2009-11-24,14.08,14.11,13.93,14.05,10.130092999999999,3043500
2009-11-25,14.1,14.4,14.06,14.37,10.360816,2433900
2009-11-27,14.04,14.28,14.0,14.14,10.194984,937400
2009-11-30,14.18,14.34,14.12,14.24,10.267082,2222400
2009-12-01,14.37,14.57,14.3,14.54,10.483384,3604700
2009-12-02,14.59,14.93,14.56,14.87,10.721313,3690400
2009-12-03,14.86,14.95,14.73,14.8,10.670845,2039100
2009-12-04,14.91,15.03,14.63,14.86,10.714107,2204800
2009-12-07,14.89,15.27,14.77,15.12,10.901566,3772000
2009-12-08,15.02,15.2,14.86,15.06,10.858308000000001,2059300
2009-12-09,15.22,15.42,14.91,15.07,10.865518,4877900
2009-12-10,15.18,15.29,15.04,15.13,10.908776,2905600
2009-12-11,15.2,15.46,15.12,15.46,11.146706,2788000
2009-12-14,15.56,15.66,15.36,15.6,11.247648,3249500
2009-12-15,15.6,15.66,15.37,15.46,11.146706,6256500
2009-12-16,15.43,15.53,15.24,15.3,11.031347,4263400
2009-12-17,15.29,15.51,15.24,15.37,11.081816,3286300
2009-12-18,15.47,15.68,15.45,15.67,11.298119999999999,3392200
2009-12-21,15.69,15.93,15.67,15.74,11.348588000000001,4096300
2009-12-22,15.75,15.9,15.55,15.63,11.269277,3456400
2009-12-23,15.7,15.75,15.5,15.69,11.312539,1886600
2009-12-24,15.65,15.93,15.65,15.89,11.456739,1384900
2009-12-28,15.93,15.98,15.82,15.94,11.492791,1968600
2009-12-29,15.92,15.99,15.85,15.94,11.492791,3286500
2009-12-30,15.97,16.059998999999998,15.87,16.040001,11.564888999999999,3574800
2009-12-31,16.040001,16.129998999999998,15.65,15.66,11.290907,2717700
2010-01-04,15.67,15.86,15.61,15.79,11.384638,5875500
2010-01-05,15.89,15.89,15.64,15.74,11.348588000000001,4288600
2010-01-06,15.74,15.84,15.66,15.69,11.312539,4671800
2010-01-07,15.72,15.72,15.33,15.49,11.168337,5909300
2010-01-08,15.42,15.58,15.3,15.55,11.211597,2398800
2010-01-11,15.69,15.79,15.54,15.75,11.355798,4536800
2010-01-12,15.69,15.77,15.56,15.66,11.290907,2906900
2010-01-13,15.68,15.86,15.56,15.78,11.377428,2073000
2010-01-14,15.77,15.95,15.7,15.8,11.391846000000001,2644900
