Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,9.46,9.605,9.265,9.3125,8.755239,4315600
2009-09-14,9.2275,9.3225,9.1325,9.3175,8.759943,5007600
2009-09-15,9.3675,9.6675,9.3325,9.55,8.978530000000001,5321600
2009-09-16,9.6025,9.83,9.45,9.8075,9.220621000000001,6402800
2009-09-17,9.7625,9.8675,9.4775,9.59,9.016136,7566000
2009-09-18,9.6525,9.75,9.3,9.435,8.870408,7722000
2009-09-21,9.2775,9.3625,9.085,9.325,8.766993,4586000
2009-09-22,9.53,9.64,9.4125,9.605,9.030239,4614400
2009-09-23,9.61,9.61,9.19,9.22,8.668277999999999,6332000
2009-09-24,9.175,9.2325,8.885,9.015,8.475546000000001,4696800
2009-09-25,9.0,9.1025,8.05,8.4225,7.918498,29469600
2009-09-28,8.4975,8.9075,8.3475,8.895,8.362726,12494000
2009-09-29,8.9025,9.0375,8.77,8.935,8.400331,7543600
2009-09-30,9.03,9.0875,8.7275,8.9375,8.402683,6334800
2009-10-01,8.9125,8.95,8.5225,8.535,8.024268,4470000
2009-10-02,8.375,8.615,8.3325,8.5575,8.045422,5551200
2009-10-05,8.5575,8.79,8.48,8.7375,8.214649,5822400
2009-10-06,8.84,9.1025,8.8375,9.03,8.489645,4837200
2009-10-07,8.9925,9.1125,8.825,8.945,8.409732,4256400
2009-10-08,9.0125,9.3225,9.005,9.2925,8.736436999999999,4839600
2009-10-09,9.265,9.39,9.1525,9.195,8.644772999999999,4324800
2009-10-12,9.2775,9.5375,9.2775,9.4425,8.877462,3691600
2009-10-13,9.425,9.585,9.2275,9.5225,8.952674,3595600
2009-10-14,9.6625,9.8,9.64,9.775,9.190063,4736400
2009-10-15,9.6825,9.975,9.6325,9.965,9.368699000000001,3872000
2009-10-16,9.8575,9.965,9.7575,9.8925,9.300533,3012400
2009-10-19,9.7275,9.9825,9.585,9.9525,9.356945,8292000
2009-10-20,9.9625,10.0,9.6975,9.91,9.316988,4292400
2009-10-21,9.955,10.395,9.955,10.1,9.495619,9985600
2009-10-22,10.125,10.125,9.7325,9.9375,9.342841,6172000
