Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,9.22,9.2775,9.17,9.18,9.18,1077600
2009-09-14,9.11,9.2475,9.04,9.2475,9.2475,1112000
2009-09-15,9.2675,9.355,9.1675,9.3425,9.3425,936400
2009-09-16,9.3475,9.5975,9.2975,9.5875,9.5875,1812000
2009-09-17,9.5475,9.6175,9.5,9.5425,9.5425,2116000
2009-09-18,9.55,9.57,9.295,9.36,9.36,3666800
2009-09-21,9.2725,9.4525,9.22,9.375,9.375,1394400
2009-09-22,9.38,9.4,9.3025,9.325,9.325,2696800
2009-09-23,9.365,9.585,9.3025,9.56,9.56,3375600
2009-09-24,9.0,9.295,8.02,8.155,8.155,25095200
2009-09-25,8.1325,8.35,7.9825,8.215,8.215,10638400
2009-09-28,8.2125,8.3375,8.1425,8.2475,8.2475,6421600
2009-09-29,8.28,8.2875,8.1875,8.245,8.245,2286800
2009-09-30,8.245,8.3375,8.1625,8.3025,8.3025,3006800
2009-10-01,8.3,8.3,8.0625,8.13,8.13,3286400
2009-10-02,8.0975,8.155,8.0525,8.12,8.12,1701600
2009-10-05,8.165,8.26,8.125,8.2275,8.2275,2917200
2009-10-06,8.2325,8.3475,8.2125,8.32,8.32,1130800
2009-10-07,8.2825,8.4375,8.265,8.3125,8.3125,2268000
2009-10-08,8.3525,8.38,8.2725,8.3625,8.3625,2178800
2009-10-09,8.34,8.4925,8.3375,8.4825,8.4825,962400
2009-10-12,8.52,8.52,8.365,8.39,8.39,836800
2009-10-13,8.35,8.465,8.345,8.395,8.395,863600
2009-10-14,8.46,8.495,8.3625,8.4575,8.4575,1407600
2009-10-15,8.39,8.4625,8.355,8.445,8.445,1227600
2009-10-16,8.4,8.4,8.26,8.325,8.325,1701600
2009-10-19,8.3075,8.455,8.2925,8.43,8.43,2055600
2009-10-20,8.4625,8.4625,8.255,8.325,8.325,1116000
2009-10-21,8.275,8.36,8.2425,8.26,8.26,1516400
2009-10-22,8.25,8.3625,8.18,8.3375,8.3375,1678800
2009-10-23,8.3275,8.37,8.2375,8.265,8.265,1300400
2009-10-26,8.265,8.3575,8.155,8.1975,8.1975,866400
2009-10-27,8.1875,8.2375,8.11,8.12,8.12,903200
2009-10-28,8.1125,8.13,7.9875,7.995,7.995,1656000
2009-10-29,8.005,8.095,7.9975,8.085,8.085,1428800
2009-10-30,8.0525,8.145,8.0175,8.0425,8.0425,1533200
2009-11-02,8.0475,8.165,7.9075,8.11,8.11,1627200
2009-11-03,8.1,8.18,8.03,8.17,8.17,1065200
2009-11-04,8.2275,8.265,8.11,8.1225,8.1225,966000
2009-11-05,8.1575,8.225,8.13,8.225,8.225,1734400
2009-11-06,8.21,8.24,8.135,8.22,8.22,990400
2009-11-09,8.2625,8.305,8.22,8.3,8.3,1130800
2009-11-10,8.2525,8.375,8.2525,8.33,8.33,1474400
2009-11-11,8.375,8.4225,8.3375,8.3925,8.3925,1174000
2009-11-12,8.375,8.435,8.28,8.2875,8.2875,935200
2009-11-13,8.2975,8.3775,8.165,8.32,8.32,1218000
2009-11-16,8.38,8.485,8.2825,8.44,8.44,885200
2009-11-17,8.395,8.535,8.3825,8.5075,8.5075,678800
2009-11-18,8.525,8.5325,8.4275,8.435,8.435,946400
2009-11-19,8.3725,8.405,8.2275,8.335,8.335,2285200
2009-11-20,8.27,8.285,8.2,8.2375,8.2375,1506400
2009-11-23,8.25,8.3325,8.205,8.25,8.25,1448800
2009-11-24,8.25,8.3075,8.17,8.1725,8.1725,1112000
2009-11-25,8.1475,8.1925,8.1425,8.1675,8.1675,1225600
2009-11-27,8.045,8.115,7.9675,8.05,8.05,897200
2009-11-30,8.0225,8.115,7.985,8.105,8.105,1381600
2009-12-01,8.16,8.335,8.16,8.2525,8.2525,3671200
2009-12-02,8.325,9.025,8.325,8.9775,8.9775,5176400
2009-12-03,8.9975,9.095,8.795,8.81,8.81,1852800
2009-12-04,8.905,9.1025,8.865,8.985,8.985,2297200
2009-12-07,8.9575,9.0175,8.9175,8.98,8.98,1114400
2009-12-08,8.915,8.975,8.75,8.87,8.87,1111200
2009-12-09,8.86,8.925,8.6875,8.7825,8.7825,1140000
2009-12-10,8.8425,8.8875,8.665,8.7025,8.7025,2496000
2009-12-11,8.76,8.9225,8.68,8.91,8.91,2262800
2009-12-14,8.9375,9.0125,8.9225,8.975,8.975,835200
2009-12-15,8.92,9.07,8.92,8.9825,8.9825,1083600
2009-12-16,8.985,9.1025,8.9425,9.0325,9.0325,1057200
2009-12-17,8.955,8.98,8.78,8.795,8.795,1005200
2009-12-18,8.795,8.87,8.7225,8.84,8.84,1984800
2009-12-21,8.8625,8.9775,8.845,8.8625,8.8625,661600
2009-12-22,8.9125,9.06,8.8875,9.055,9.055,1097200
2009-12-23,9.0475,9.145,9.01,9.1075,9.1075,734800
2009-12-24,9.135,9.1675,9.045,9.1475,9.1475,178400
2009-12-28,9.15,9.2025,9.0775,9.1925,9.1925,870400
2009-12-29,9.1775,9.225,9.13,9.205,9.205,422000
2009-12-30,9.22,9.27,9.1375,9.2075,9.2075,557600
2009-12-31,9.23,9.275,9.135,9.155,9.155,947600
2010-01-04,9.1825,9.235,9.0875,9.1025,9.1025,1172000
2010-01-05,9.1025,9.135,9.055,9.1,9.1,658000
2010-01-06,9.075,9.115,9.045,9.0625,9.0625,617600
2010-01-07,9.025,9.06,8.9425,9.01,9.01,913600
2010-01-08,8.975,9.0375,8.925,9.0375,9.0375,1271200
2010-01-11,9.035,9.095,8.94,9.0025,9.0025,607200
2010-01-12,8.94,8.9625,8.9025,8.9375,8.9375,738400
2010-01-13,8.9325,8.9425,8.8375,8.8675,8.8675,1682800
2010-01-14,8.825,8.94,8.7625,8.935,8.935,1241200
2010-01-15,8.9525,8.9525,8.74,8.7925,8.7925,524800
2010-01-19,8.775,8.885,8.725,8.885,8.885,772000
