Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,8.11,8.52,7.98,8.06,7.353466,15809300
2009-09-14,8.09,8.73,7.94,8.6,7.8461289999999995,19562600
2009-09-15,8.63,9.38,8.63,9.15,8.347918,27904000
2009-09-16,9.31,9.84,9.02,9.45,8.62162,23538300
2009-09-17,9.66,9.78,8.94,9.16,8.357038000000001,20330000
2009-09-18,9.14,9.23,8.66,8.96,8.174572,14600600
2009-09-21,8.75,9.7,8.71,9.65,8.804088,17046300
2009-09-22,9.58,9.88,9.35,9.5,8.667237,14670800
2009-09-23,9.57,9.57,8.85,9.09,8.293177,13719600
2009-09-24,9.1,9.24,8.9,8.92,8.138078,10580800
2009-09-25,9.04,9.34,8.98,9.05,8.256683,11932500
2009-09-28,9.18,9.24,8.97,9.0,8.211064,11278300
2009-09-29,9.14,9.3,9.06,9.2,8.393533,11311500
2009-09-30,9.18,9.28,8.9,8.96,8.174572,13142200
2009-10-01,8.95,8.95,8.09,8.14,7.426454,13969800
2009-10-02,7.97,8.49,7.9,8.32,7.590674000000001,14677100
2009-10-05,8.36,8.69,8.32,8.44,7.700157000000001,9839400
2009-10-06,8.65,8.81,8.31,8.45,7.709280000000001,9347300
2009-10-07,8.49,8.53,8.26,8.28,7.554180000000001,7273000
2009-10-08,8.35,8.83,8.35,8.62,7.864377,10533600
2009-10-09,8.64,8.85,8.52,8.67,7.909994999999999,6043600
2009-10-12,8.74,8.94,8.57,8.9,8.119833,9939200
2009-10-13,8.9,8.98,8.73,8.9,8.119833,8685200
2009-10-14,9.02,9.15,8.98,9.05,8.256683,9047900
2009-10-15,9.0,9.19,8.88,9.07,8.27493,16666500
2009-10-16,8.99,9.11,8.95,9.03,8.238435,9034900
2009-10-19,8.95,9.05,8.82,8.99,8.201941,14738100
2009-10-20,9.04,9.16,8.97,9.02,8.229314,10996900
2009-10-21,9.02,9.2,8.22,8.33,7.599796,29808200
2009-10-22,8.59,8.66,7.73,8.32,7.590674000000001,23380000
2009-10-23,8.38,8.38,8.09,8.24,7.517689,11424700
2009-10-26,8.24,8.42,7.76,7.79,7.107133999999999,15043300
2009-10-27,7.94,7.94,7.56,7.64,6.970283,12166400
2009-10-28,7.74,7.74,7.17,7.19,6.55973,14951300
2009-10-29,7.32,7.62,7.27,7.36,6.714828,9348900
2009-10-30,7.25,7.46,6.92,7.14,6.514113,10238600
2009-11-02,7.14,7.3,6.78,6.95,6.340768,11587900
2009-11-03,6.95,7.34,6.93,7.22,6.587101,13076600
2009-11-04,7.32,7.69,7.15,7.16,6.532358,9928800
2009-11-05,7.21,7.38,7.09,7.33,6.687457000000001,6557500
2009-11-06,7.29,7.95,7.29,7.79,7.107133999999999,9312600
2009-11-09,7.92,8.03,7.73,7.89,7.198367,8623800
2009-11-10,7.9,7.9,7.68,7.73,7.0523940000000005,6528600
2009-11-11,7.84,8.01,7.79,7.93,7.234861,8015400
2009-11-12,7.9,8.16,7.79,7.8,7.116258,8189400
2009-11-13,7.89,7.99,7.78,7.8,7.116258,5500300
2009-11-16,7.91,8.13,7.88,7.99,7.289603,8563300
2009-11-17,8.08,8.08,7.84,7.9,7.207491,4053000
2009-11-18,7.94,7.98,7.67,7.76,7.079763000000001,5219500
2009-11-19,7.66,7.68,7.4,7.59,6.9246669999999995,6059700
2009-11-20,7.58,7.69,7.46,7.62,6.952036,7665900
2009-11-23,7.71,7.81,7.62,7.73,7.0523940000000005,9051600
2009-11-24,7.7,7.81,7.5,7.66,6.988529,8591600
2009-11-25,7.74,7.9,7.65,7.89,7.198367,6441200
2009-11-27,7.66,7.93,7.49,7.91,7.216616,3149200
2009-11-30,7.87,8.19,7.82,8.19,7.472069,9449800
2009-12-01,8.31,8.65,8.2,8.62,7.864377,12252400
2009-12-02,8.7,9.3,8.7,9.29,8.475645,18165900
2009-12-03,9.25,9.38,9.02,9.38,8.557757,11087700
2009-12-04,9.5,9.99,9.4,9.94,9.068665,21419800
2009-12-07,9.66,10.32,9.43,10.16,9.269382,20451300
2009-12-08,10.01,10.27,9.84,9.88,9.013927,15393000
2009-12-09,9.84,10.0,9.64,9.87,9.004805000000001,9194100
2009-12-10,9.88,10.02,9.78,9.88,9.013927,8632300
2009-12-11,9.93,11.45,9.93,11.25,10.263833,43409100
2009-12-14,11.51,11.7,10.89,11.09,10.117858,21146400
2009-12-15,10.75,11.14,10.61,10.95,9.990129,14672100
2009-12-16,11.04,11.67,10.9,11.65,10.628769,14941800
2009-12-17,11.54,11.99,11.38,11.6,10.583153,12232500
2009-12-18,11.58,11.66,10.89,11.66,10.637893,20701400
2009-12-21,11.2,11.66,11.2,11.39,10.391562,13272600
2009-12-22,11.5,12.08,11.5,11.79,10.756496,17657900
2009-12-23,11.76,11.96,11.45,11.81,10.774744,8726100
2009-12-24,11.86,11.93,11.62,11.77,10.738251,3451000
2009-12-28,11.44,11.52,11.11,11.29,10.300324,13631500
2009-12-29,11.13,11.39,11.03,11.33,10.33682,9232300
2009-12-30,11.26,11.4,11.05,11.37,10.373313000000001,8492500
2009-12-31,11.3,11.48,11.22,11.38,10.382437,8734300
2010-01-04,11.22,11.43,10.95,11.22,10.236463,14482500
2010-01-05,11.32,12.34,11.29,12.1,11.039323,25066000
2010-01-06,11.99,12.24,11.85,12.11,11.048445,14980700
2010-01-07,12.06,12.86,12.05,12.69,11.5776,19814500
2010-01-08,12.62,12.85,12.05,12.47,11.376888000000001,24589200
2010-01-11,12.34,12.89,12.13,12.79,11.668837,16220400
2010-01-12,12.67,12.91,12.31,12.54,11.440756,12905500
2010-01-13,12.53,12.96,12.41,12.85,11.723578,11763200
2010-01-14,12.72,13.31,12.69,13.17,12.015526,12026800
2010-01-15,13.18,13.33,12.59,12.74,11.623222,9127500
2010-01-19,12.8,13.29,12.79,13.03,11.887799000000001,9836500
2010-01-20,12.97,13.49,12.69,13.41,12.234488,20133800
2010-01-21,13.5,13.69,13.15,13.44,12.261857000000001,24669200
2010-01-22,13.31,13.73,12.91,13.29,12.125008,22279200
2010-01-25,13.38,13.64,12.95,13.33,12.161502,19299600
2010-01-26,12.78,13.4,12.7,13.15,11.99728,16290600
2010-01-27,13.01,13.44,12.82,13.16,12.006403,24581400
2010-01-28,13.23,13.54,12.63,12.65,11.54111,17086500
2010-01-29,12.8,13.16,12.19,12.23,11.157927,19296900
2010-02-01,12.37,12.64,12.32,12.63,11.522862,9733500
2010-02-02,12.8,13.07,12.66,12.9,11.769196,12952100
