Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,14.58,14.8,14.39,14.71,12.662189,7505000
2009-09-14,14.64,15.07,14.52,15.03,12.937644,8652600
2009-09-15,14.65,15.22,14.6,15.14,13.03233,12738400
2009-09-16,15.17,15.7,15.1,15.32,13.187270999999999,11295500
2009-09-17,15.5,16.370001000000002,14.76,15.52,13.359429,18861800
2009-09-18,15.65,16.26,15.5,16.059998999999998,13.824254999999999,10586400
2009-09-21,15.94,16.1,15.78,16.030001000000002,13.798429999999998,9040500
2009-09-22,16.16,16.35,16.059998999999998,16.209999,13.953373000000001,7394100
2009-09-23,16.26,16.4,15.94,15.94,13.72096,9157600
2009-09-24,16.08,16.139999,15.69,15.9,13.686526999999998,9416900
2009-09-25,15.8,15.93,15.28,15.36,13.221704,8830700
2009-09-28,15.53,16.41,15.41,16.41,14.12553,6929100
2009-09-29,16.33,16.639999,15.88,15.97,13.76356,8835900
2009-09-30,16.120001000000002,16.43,15.44,16.23,13.987638,11165600
2009-10-01,16.139999,16.469998999999998,15.83,16.0,13.789414,13056700
2009-10-02,15.76,15.83,15.28,15.33,13.211982999999998,10211900
2009-10-05,15.45,16.120001000000002,15.45,16.120001000000002,13.892833999999999,9578000
2009-10-06,16.299999,16.74,16.17,16.66,14.358225,9946200
2009-10-07,16.620001000000002,17.02,16.559998999999998,16.889999,14.556448999999999,5626200
2009-10-08,16.870001000000002,17.360001,16.709999,17.08,14.720197,10264600
2009-10-09,17.15,17.17,15.72,16.200001,13.961782999999999,13831200
2009-10-12,16.41,16.709999,16.120001000000002,16.33,14.073816,9311100
2009-10-13,16.26,16.530001000000002,15.96,16.219998999999998,13.979014999999999,7342900
2009-10-14,16.5,16.51,15.77,16.26,14.013496,9802300
2009-10-15,16.08,16.190001000000002,15.84,16.1,13.875595,9106700
2009-10-16,15.81,15.9,15.02,15.08,12.996523,15116000
2009-10-19,15.22,15.77,15.09,15.62,13.461914000000002,13228300
2009-10-20,15.64,15.73,14.98,15.09,13.005139999999999,7999000
2009-10-21,15.09,15.39,14.84,14.87,12.815536,9329300
2009-10-22,14.92,15.44,14.81,15.42,13.289548000000002,7341800
2009-10-23,15.55,15.85,14.93,15.03,12.953432000000001,7158700
2009-10-26,15.19,15.58,14.96,15.06,12.979284,8762100
2009-10-27,15.02,15.1,14.71,14.87,12.815536,7789100
2009-10-28,14.73,14.9,14.22,14.27,12.298434,7042500
2009-10-29,14.45,14.95,14.36,14.95,12.884484,7465200
2009-10-30,14.9,14.93,13.9,14.14,12.186394,8692900
2009-11-02,14.25,14.5,13.85,14.24,12.27258,9230100
2009-11-03,14.05,14.31,13.9,14.19,12.229486,5800700
2009-11-04,14.3,14.45,13.88,13.95,12.022647000000001,7240000
2009-11-05,14.05,14.55,13.98,14.53,12.522511,5773500
2009-11-06,14.45,14.64,14.17,14.53,12.522511,5549300
2009-11-09,14.68,15.46,14.62,15.38,13.255073999999999,9393600
2009-11-10,15.32,15.45,15.05,15.4,13.272307000000001,7322900
2009-11-11,15.54,15.82,15.31,15.4,13.272307000000001,7229000
2009-11-12,15.37,15.62,15.25,15.4,13.272307000000001,5525700
2009-11-13,15.4,15.7,15.31,15.4,13.272307000000001,3444000
2009-11-16,15.5,16.309998999999998,15.43,16.110001,13.884216,7440700
2009-11-17,16.08,16.09,15.58,15.92,13.720467000000001,4398800
2009-11-18,15.92,16.09,15.8,15.99,13.780793,4381300
2009-11-19,15.87,15.89,15.21,15.42,13.289548000000002,5437600
2009-11-20,15.19,15.38,15.08,15.35,13.229218,4235500
2009-11-23,15.69,15.7,15.27,15.48,13.341258999999999,4401600
2009-11-24,15.46,15.53,15.25,15.34,13.2206,4010400
2009-11-25,15.5,15.72,15.34,15.7,13.530861999999999,3596200
2009-11-27,15.06,15.35,15.0,15.13,13.039615,2751000
2009-11-30,15.21,15.5,15.09,15.46,13.324020999999998,6783700
2009-12-01,15.6,15.66,15.13,15.45,13.315401999999999,5134600
2009-12-02,15.37,15.44,15.17,15.27,13.160273000000002,6547700
2009-12-03,15.35,15.39,14.81,14.83,12.781063,6033700
2009-12-04,15.09,15.47,14.98,15.18,13.082706,8937200
2009-12-07,15.6,15.84,15.34,15.41,13.28093,7748600
2009-12-08,15.43,15.43,15.06,15.1,13.013759,5063800
2009-12-09,15.11,15.46,14.99,15.44,13.306782,4073500
2009-12-10,15.5,15.74,15.36,15.6,13.444676999999999,4821100
2009-12-11,15.67,16.17,15.51,16.129998999999998,13.901451999999999,4757400
2009-12-14,16.290001,16.5,16.01,16.49,14.211716000000001,5240100
2009-12-15,16.23,16.49,15.96,16.01,13.798029000000001,6280700
2009-12-16,16.059998999999998,16.780001000000002,16.059998999999998,16.42,14.151385999999999,6494200
2009-12-17,16.35,16.360001,14.76,14.92,12.858628,18488600
2009-12-18,15.15,15.15,14.6,14.95,12.884484,9489900
2009-12-21,14.98,15.03,14.6,14.7,12.669025999999999,6605000
2009-12-22,14.68,14.96,14.57,14.64,12.617312,4224500
2009-12-23,14.73,14.88,14.62,14.68,12.651786999999999,2827500
2009-12-24,14.72,14.97,14.69,14.93,12.867248,1342100
2009-12-28,14.9,14.96,14.73,14.82,12.772444,2713500
2009-12-29,14.83,14.89,14.66,14.76,12.737926,3087300
2009-12-30,14.67,14.81,14.57,14.81,12.781074,2916000
2009-12-31,14.78,14.88,14.65,14.71,12.694775,3819900
2010-01-04,14.87,14.88,14.5,14.61,12.608476,7552600
2010-01-05,14.8,15.16,14.65,15.1,13.031344,7766400
2010-01-06,14.85,15.04,14.85,15.0,12.945045,5550200
2010-01-07,14.95,15.18,14.85,15.09,13.022717,6492500
2010-01-08,15.11,15.15,14.9,15.03,12.970935,4458300
2010-01-11,15.14,15.17,14.75,14.84,12.806963,4381800
2010-01-12,14.72,14.97,14.68,14.91,12.867372999999999,6587000
2010-01-13,14.95,15.09,14.67,15.01,12.953671,4991800
2010-01-14,15.05,15.14,14.83,14.97,12.919156,9028000
2010-01-15,14.92,15.09,14.56,14.76,12.737926,10835600
2010-01-19,14.66,14.87,14.64,14.86,12.824224000000001,6135300
2010-01-20,14.79,15.0,14.58,14.82,12.789702,7563600
2010-01-21,14.8,14.87,14.22,14.23,12.280532000000001,10771500
2010-01-22,14.18,14.19,13.44,13.46,11.616017999999999,14728800
2010-01-25,13.88,14.05,13.32,13.48,11.633278,10757000
2010-01-26,13.4,13.75,13.27,13.47,11.624649,7834000
2010-01-27,13.47,13.88,13.24,13.82,11.926702,9979900
2010-01-28,13.99,13.99,13.24,13.51,11.659169,8616700
2010-01-29,13.61,13.94,13.54,13.68,11.80588,7099000
2010-02-01,13.73,13.8,13.21,13.32,11.495194999999999,8491500
2010-02-02,13.62,13.86,13.52,13.8,11.90944,6514700
2010-02-03,13.77,13.81,13.25,13.3,11.477936999999999,5784800
2010-02-04,13.15,13.33,12.87,12.9,11.132739,7729800
2010-02-05,12.92,13.03,12.58,13.01,11.227671,6965100
2010-02-08,12.98,13.07,12.72,12.76,11.011917,7751000
2010-02-09,12.92,13.18,12.77,13.03,11.244928,4938200
2010-02-10,13.04,13.13,12.78,12.92,11.149998,5150600
2010-02-11,12.91,13.07,12.78,13.04,11.253559,5211900
2010-02-12,12.91,13.06,12.8,13.03,11.244928,5822200
2010-02-16,13.18,13.58,13.1,13.55,11.69369,8678100
2010-02-17,13.69,13.69,13.46,13.53,11.676431,4843200
2010-02-18,13.55,13.62,13.44,13.56,11.70232,2845500
2010-02-19,13.5,13.69,13.49,13.67,11.79725,4207800
2010-02-22,13.71,14.1,13.65,13.84,11.94396,6748700
2010-02-23,13.77,13.82,13.46,13.47,11.624649,6324300
2010-02-24,13.48,13.69,13.45,13.63,11.76273,4646700
2010-02-25,13.44,13.48,13.21,13.46,11.616017999999999,4652200
2010-02-26,13.46,13.66,13.4,13.65,11.779991,3699300
2010-03-01,13.7,13.72,13.54,13.61,11.74547,2834300
2010-03-02,13.62,13.97,13.62,13.9,11.995743,5153100
2010-03-03,13.93,14.15,13.78,13.78,11.892180999999999,4299100
2010-03-04,13.76,13.85,13.67,13.77,11.883554,4542900
2010-03-05,13.9,14.29,13.83,14.17,12.228753,6882800
2010-03-08,14.15,14.19,14.05,14.12,12.185602000000001,5674200
2010-03-09,14.0,14.51,13.83,14.44,12.461764,6310300
2010-03-10,14.51,14.59,14.24,14.38,12.409985,5159000
2010-03-11,14.34,14.94,14.26,14.92,12.876003,7164600
2010-03-12,14.84,15.22,14.84,14.97,12.919156,10395400
2010-03-15,15.01,15.26,14.91,15.2,13.117645000000001,6135200
2010-03-16,15.32,15.48,15.06,15.3,13.203945999999998,5651500
2010-03-17,14.78,15.78,14.73,15.24,13.152164,10960100
2010-03-18,15.19,15.55,15.17,15.52,13.393806,6226100
2010-03-19,15.24,15.66,15.15,15.24,13.152164,9845400
2010-03-22,15.13,15.46,15.04,15.35,13.247095999999999,6830600
2010-03-23,15.41,15.46,15.3,15.4,13.290245,5736600
2010-03-24,15.35,15.42,15.23,15.4,13.290245,4399800
2010-03-25,15.5,15.78,15.35,15.39,13.281617,5903600
2010-03-26,15.41,15.55,15.08,15.39,13.281617,6204200
2010-03-29,15.46,15.51,15.23,15.35,13.247095999999999,6303100
2010-03-30,15.31,15.42,15.03,15.12,13.065627000000001,8058800
2010-03-31,15.08,15.18,14.86,14.9,12.875522,6788800
2010-04-01,15.06,15.38,15.04,15.34,13.255738000000001,6392000
2010-04-05,15.32,15.73,15.32,15.58,13.463128,5924300
2010-04-06,15.52,15.52,15.24,15.38,13.290301000000001,5937300
2010-04-07,15.42,15.67,15.1,15.17,13.108835999999998,7313900
2010-04-08,15.14,15.44,15.06,15.41,13.316228,6309200
2010-04-09,15.47,15.66,15.38,15.5,13.393998000000002,6542300
2010-04-12,15.55,15.68,15.28,15.6,13.480412,8856900
2010-04-13,15.6,15.7,15.42,15.6,13.480412,8007100
2010-04-14,15.61,16.120001000000002,15.5,16.040001,13.860628,8386400
2010-04-15,16.59,16.59,16.030001000000002,16.120001000000002,13.929757999999998,9330500
2010-04-16,16.07,16.110001,15.21,15.36,13.27302,10845600
2010-04-19,15.21,15.71,15.14,15.67,13.540901999999999,7835400
2010-04-20,15.82,15.9,15.6,15.86,13.705085,6998200
2010-04-21,15.85,15.87,15.45,15.66,13.532257000000001,5364100
2010-04-22,15.49,15.87,15.28,15.82,13.670519,6695300
2010-04-23,15.87,16.48,15.71,16.26,14.050735999999999,8836400
2010-04-26,16.26,16.299999,15.94,16.09,13.903834,5478800
2010-04-27,15.92,16.08,15.33,15.37,13.281661999999999,8504600
2010-04-28,15.51,15.66,15.17,15.44,13.342148000000002,6771900
2010-04-29,15.61,16.1,15.57,16.040001,13.860628,7680800
2010-04-30,15.95,16.139999,15.43,15.46,13.359434,6356900
2010-05-03,15.59,16.18,15.57,16.1,13.912476999999999,7529400
2010-05-04,15.78,15.98,15.25,15.34,13.255738000000001,9233800
2010-05-05,15.25,15.4,14.81,14.94,12.910088,7486600
2010-05-06,14.86,15.19,13.42,14.41,12.452097,10736600
2010-05-07,14.32,14.62,13.9,14.08,12.166936,8936100
2010-05-10,14.95,15.18,14.67,14.87,12.849596,7870300
2010-05-11,14.63,15.05,14.54,14.9,12.875522,11631200
2010-05-12,14.95,15.27,14.86,15.21,13.143398999999999,6679500
2010-05-13,15.14,15.28,14.76,14.79,12.780467,6816300
2010-05-14,14.29,14.57,14.11,14.24,12.305196,9035700
2010-05-17,14.34,14.61,13.84,14.21,12.279269000000001,5736800
2010-05-18,14.39,14.44,13.31,13.46,11.631172,10610700
2010-05-19,13.36,13.84,13.29,13.6,11.752155,10899500
2010-05-20,13.27,13.79,13.04,13.04,11.268241999999999,8524600
2010-05-21,12.76,13.64,12.7,13.53,11.691664,9147600
2010-05-24,13.56,13.65,13.15,13.16,11.371936999999999,5727500
2010-05-25,12.78,13.23,12.61,13.19,11.397859,7876800
2010-05-26,13.4,13.53,13.05,13.17,11.380575,8494400
2010-05-27,13.46,13.73,13.33,13.7,11.838565,6357900
2010-05-28,13.69,13.77,13.33,13.45,11.622534,5226200
