Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,9.87,10.07,9.76,9.87,7.210413000000001,393300
2009-09-14,9.8,10.4,9.75,10.39,7.590294999999999,567100
2009-09-15,10.34,10.83,10.28,10.74,7.84598,634000
2009-09-16,10.82,11.24,10.71,11.19,8.174725,831600
2009-09-17,11.2,11.58,10.85,10.9,7.962867999999999,490500
2009-09-18,10.95,10.98,10.72,10.77,7.867897999999999,689500
2009-09-21,10.65,10.84,10.54,10.67,7.794841,382800
2009-09-22,10.81,11.31,10.66,11.2,8.182028,569900
2009-09-23,11.2,11.29,11.02,11.07,8.087060000000001,1313100
2009-09-24,11.13,11.21,10.39,10.42,7.612209,1692100
2009-09-25,10.35,10.67,10.23,10.41,7.6049050000000005,491400
2009-09-28,10.52,11.16,10.43,11.16,8.15281,572400
2009-09-29,11.14,11.23,10.88,10.91,7.970173,633300
2009-09-30,10.91,11.01,10.45,10.55,7.70718,563000
2009-10-01,10.45,10.85,9.92,10.13,7.40035,1715300
2009-10-02,9.94,10.38,9.75,10.19,7.444186,967700
2009-10-05,10.23,10.43,10.05,10.14,7.407657,846800
2009-10-06,10.22,10.43,9.93,10.09,7.371132000000001,587400
2009-10-07,10.0,10.19,9.98,10.1,7.378438,335400
2009-10-08,10.22,10.42,10.15,10.26,7.495322,714600
2009-10-09,10.28,10.49,10.25,10.44,7.626819,466600
2009-10-12,10.5,10.59,10.41,10.49,7.663346000000001,251700
2009-10-13,10.5,10.54,10.27,10.32,7.539155,300600
2009-10-14,10.5,10.61,10.36,10.5,7.670653,440000
2009-10-15,10.53,10.94,10.5,10.85,7.926341000000001,826000
2009-10-16,10.76,10.8,10.6,10.63,7.765623,415400
2009-10-19,10.67,10.95,10.62,10.81,7.897117999999999,352100
2009-10-20,10.8,10.87,10.33,10.53,7.692566,352900
2009-10-21,10.53,10.87,10.44,10.46,7.641433,505600
2009-10-22,10.47,10.78,10.24,10.73,7.838675,331200
2009-10-23,10.78,10.88,10.44,10.47,7.648735,506300
2009-10-26,10.54,10.74,10.28,10.31,7.531852000000001,285600
2009-10-27,10.39,10.54,10.2,10.22,7.466100999999999,284000
2009-10-28,10.17,10.28,9.55,9.56,6.983946,490200
2009-10-29,9.68,9.94,9.65,9.92,7.246938,433300
2009-10-30,9.78,9.84,9.28,9.57,6.991250999999999,854500
2009-11-02,9.59,9.8,9.13,9.55,6.976642999999999,636300
2009-11-03,9.49,10.19,9.49,10.18,7.43688,508700
2009-11-04,10.29,10.33,9.82,9.82,7.173885,864700
2009-11-05,9.98,10.17,9.85,10.13,7.40035,314900
2009-11-06,9.94,10.42,9.91,10.38,7.582988,613000
2009-11-09,10.65,10.94,10.54,10.9,7.962867999999999,451900
2009-11-10,10.68,11.3,10.66,11.08,8.094365,691900
2009-11-11,11.15,11.32,10.93,11.3,8.255083,570800
2009-11-12,11.23,11.38,11.04,11.1,8.108974,573100
2009-11-13,11.19,11.45,10.98,11.43,8.350054,472100
2009-11-16,11.51,11.91,11.48,11.7,8.547298,586200
2009-11-17,11.64,11.66,11.22,11.28,8.240469000000001,606900
2009-11-18,11.25,11.52,11.18,11.5,8.40119,457000
2009-11-19,11.33,11.33,10.98,11.13,8.130892,529800
2009-11-20,11.15,11.26,11.0,11.07,8.087060000000001,618900
2009-11-23,11.35,11.5,11.11,11.24,8.211250999999999,430100
2009-11-24,11.29,11.34,11.0,11.18,8.16742,199300
2009-11-25,11.25,11.6,11.21,11.22,8.196639,289800
2009-11-27,10.81,11.01,10.64,10.68,7.802148,162300
2009-11-30,10.54,11.04,10.52,10.99,8.028616,532700
2009-12-01,11.13,11.48,11.13,11.4,8.328135000000001,555800
2009-12-02,11.39,11.67,11.34,11.59,8.466939,421100
2009-12-03,11.7,12.0,11.21,11.25,8.218554,319500
2009-12-04,11.6,12.0,11.34,11.55,8.437717,585500
2009-12-07,11.56,11.56,11.16,11.32,8.269694,333900
2009-12-08,11.08,11.33,10.96,11.0,8.129278999999999,430700
2009-12-09,10.99,11.16,10.87,10.99,8.121891,312000
2009-12-10,11.02,11.19,10.96,11.14,8.232742,610600
2009-12-11,11.35,11.5,11.18,11.47,8.476619,823600
2009-12-14,11.49,11.74,11.16,11.68,8.631817999999999,770000
2009-12-15,11.6,11.89,11.51,11.71,8.653986999999999,457600
2009-12-16,11.87,11.99,11.4,11.53,8.520963,1108400
2009-12-17,11.5,11.57,11.31,11.57,8.550526,461900
2009-12-18,11.68,11.76,11.4,11.5,8.498792,1403800
2009-12-21,11.75,11.75,11.48,11.58,8.557913000000001,577700
2009-12-22,11.64,11.73,11.5,11.61,8.580082,1043600
2009-12-23,11.7,11.99,11.63,11.92,8.809183,691400
2009-12-24,11.98,12.19,11.94,12.09,8.934816,141000
2009-12-28,12.11,12.23,11.83,11.94,8.823965,266200
2009-12-29,12.05,12.05,11.68,11.74,8.676157,349400
2009-12-30,11.7,11.84,11.66,11.81,8.727888,463300
2009-12-31,11.84,11.92,11.48,11.55,8.535741,556300
2010-01-04,11.75,11.91,11.6,11.89,8.787014,774400
2010-01-05,11.93,11.95,11.69,11.81,8.727888,642600
2010-01-06,11.73,12.09,11.73,11.85,8.75745,1144200
2010-01-07,11.78,11.97,11.58,11.76,8.690938000000001,595600
2010-01-08,11.73,11.75,11.49,11.5,8.498792,412000
2010-01-11,11.68,12.09,11.57,11.59,8.565305,453400
2010-01-12,11.43,11.51,11.17,11.18,8.262305,567000
2010-01-13,11.28,11.38,11.25,11.38,8.410109,415800
2010-01-14,11.27,11.44,11.24,11.34,8.380545,263400
2010-01-15,11.4,11.5,11.28,11.39,8.417497000000001,791300
2010-01-19,11.39,11.76,11.33,11.72,8.661375999999999,584800
2010-01-20,11.57,11.79,11.47,11.75,8.683546,630700
2010-01-21,11.8,11.84,11.52,11.56,8.543135000000001,1092600
2010-01-22,11.57,11.71,11.43,11.48,8.484013000000001,811500
2010-01-25,11.59,11.59,11.36,11.52,8.513572,635600
2010-01-26,11.47,11.52,11.3,11.35,8.387938,463000
2010-01-27,11.31,11.41,11.09,11.4,8.424889,581600
2010-01-28,11.3,11.4,11.08,11.3,8.35099,601800
2010-01-29,11.3,11.52,11.16,11.35,8.387938,693800
2010-02-01,11.42,11.62,11.33,11.46,8.469232,495800
