Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,10.88,10.95,10.51,10.67,8.374657000000001,3546500
2009-09-14,10.7,11.02,10.5,11.0,8.633666999999999,3362500
2009-09-15,11.05,11.3,10.9,11.27,8.845586,2941300
2009-09-16,11.45,11.6,11.2,11.52,9.041803,3323100
2009-09-17,11.61,11.69,11.18,11.34,8.900525,3604300
2009-09-18,11.43,11.46,11.25,11.34,8.900525,2357400
2009-09-21,11.49,11.54,11.21,11.36,8.916222,3198000
2009-09-22,11.39,11.72,11.29,11.68,9.167382,3002400
2009-09-23,11.64,11.96,11.62,11.73,9.206627000000001,3547600
2009-09-24,11.68,11.68,11.29,11.39,8.93977,2323200
2009-09-25,11.57,12.19,11.48,11.86,9.308661,7188500
2009-09-28,11.89,11.94,11.56,11.86,9.308661,3295100
2009-09-29,11.84,12.12,11.78,12.08,9.481334,3063700
2009-09-30,12.2,12.31,11.75,11.95,9.379298,4049900
2009-10-01,11.89,11.95,11.38,11.53,9.049650999999999,3164500
2009-10-02,11.44,11.52,11.24,11.35,8.908372,2294300
2009-10-05,11.28,11.54,11.25,11.46,8.994711,2219600
2009-10-06,11.63,11.94,11.55,11.89,9.332208,2782100
2009-10-07,11.77,11.97,11.64,11.78,9.245872,2532300
2009-10-08,11.81,12.17,11.69,12.08,9.481334,3106000
2009-10-09,12.02,12.1,11.91,12.06,9.465636,1307400
2009-10-12,12.15,12.31,11.78,11.78,9.245872,2443700
2009-10-13,11.9,11.9,11.64,11.68,9.167382,2644000
2009-10-14,11.62,11.9,11.57,11.87,9.437714999999999,3007200
2009-10-15,11.74,12.11,11.71,11.78,9.366157000000001,2906800
2009-10-16,11.69,12.12,11.69,11.99,9.533125,2999600
2009-10-19,11.99,12.24,11.94,12.07,9.596733,2552800
2009-10-20,12.13,12.21,11.86,11.96,9.509274000000001,2615800
2009-10-21,11.96,12.14,11.52,11.57,9.199186,2506700
2009-10-22,11.59,11.97,11.48,11.86,9.429762,2304400
2009-10-23,11.93,11.98,11.59,11.72,9.318451,3083300
2009-10-26,11.75,11.9,11.39,11.54,9.175335,4576400
2009-10-27,11.56,11.57,10.83,10.93,8.690332000000001,5950000
2009-10-28,10.92,10.99,10.4,10.45,8.308686,5205600
2009-10-29,10.48,10.96,10.42,10.7,8.507458999999999,3539300
2009-10-30,10.73,10.8,10.45,10.48,8.332539,4790400
2009-11-02,10.43,10.6,9.99,10.18,8.094013,5946900
2009-11-03,10.15,10.38,9.93,10.36,8.237128,3388600
2009-11-04,10.43,10.61,10.35,10.41,8.276883999999999,2259200
2009-11-05,10.4,10.55,10.09,10.41,8.276883999999999,1952100
2009-11-06,10.36,10.66,10.27,10.66,8.475657,2120800
2009-11-09,10.72,10.99,10.71,10.91,8.674429,1736900
2009-11-10,10.79,11.02,10.69,10.97,8.722133,2915100
2009-11-11,11.0,11.18,10.87,11.0,8.745988,1683300
2009-11-12,11.06,11.09,10.76,10.8,8.586971,1828100
2009-11-13,10.88,10.92,10.64,10.84,8.618773,1931400
2009-11-16,10.92,11.22,10.92,11.15,8.865250999999999,2040900
2009-11-17,11.12,11.18,10.79,10.94,8.698283,2057300
2009-11-18,10.91,11.11,10.76,11.1,8.825497,2485800
2009-11-19,11.13,11.13,10.59,10.59,8.419998,3465800
2009-11-20,9.92,10.83,9.81,10.37,8.245078,4358700
2009-11-23,10.47,10.5,10.06,10.15,8.070160000000001,3790200
2009-11-24,10.08,10.16,9.75,9.77,7.768026,4251300
2009-11-25,9.8,10.2,9.78,10.16,8.078109,2225700
2009-11-27,9.93,10.23,9.9,9.94,7.903192,884600
2009-11-30,10.0,10.0,9.47,9.49,7.545398,3936700
2009-12-01,9.67,9.86,9.49,9.85,7.831635,3195400
2009-12-02,9.86,10.06,9.83,9.91,7.879337,2752700
2009-12-03,9.87,9.95,9.71,9.74,7.744171000000001,2524800
2009-12-04,9.89,10.22,9.81,9.83,7.815732000000001,2517700
2009-12-07,9.88,10.09,9.8,9.87,7.847536,1293600
2009-12-08,9.79,9.82,9.58,9.67,7.688516,2014500
2009-12-09,9.7,9.71,9.46,9.52,7.569256,2246100
2009-12-10,9.54,9.79,9.52,9.7,7.712369,2053400
2009-12-11,9.71,9.9,9.69,9.71,7.720321,1973000
2009-12-14,9.8,9.8,9.69,9.72,7.728271,2264700
2009-12-15,9.7,9.78,9.62,9.74,7.744171000000001,2413600
2009-12-16,9.8,10.19,9.73,10.13,8.054259,2860900
2009-12-17,10.08,10.13,9.96,10.08,8.014505999999999,4040400
2009-12-18,10.18,10.25,10.04,10.15,8.070160000000001,3589600
2009-12-21,10.25,10.5,10.13,10.44,8.300739,1571000
2009-12-22,10.45,10.69,10.37,10.65,8.467702000000001,2519600
2009-12-23,10.6,11.01,10.6,10.98,8.730083,3238700
2009-12-24,11.07,11.08,10.91,11.05,8.785741999999999,864800
2009-12-28,11.06,11.2,11.01,11.07,8.801642999999999,1933000
2009-12-29,11.19,11.24,11.06,11.18,8.889102000000001,1508100
2009-12-30,11.11,11.54,11.03,11.34,9.016314999999999,3339800
2009-12-31,11.32,11.43,11.13,11.14,8.857301,1433500
2010-01-04,11.29,11.43,11.14,11.16,8.873199000000001,1873800
2010-01-05,11.1,11.53,11.1,11.47,9.119676,2914300
2010-01-06,11.53,11.97,11.41,11.91,9.469517999999999,4886500
2010-01-07,11.94,12.1,11.76,11.82,9.397960000000001,2090900
2010-01-08,11.82,12.29,11.65,12.25,9.739848,4125400
2010-01-11,12.42,12.54,12.1,12.35,9.819357,3797300
2010-01-12,12.26,12.55,12.23,12.39,9.851162,2880200
2010-01-13,12.42,12.44,12.16,12.41,9.987983999999999,2501900
2010-01-14,12.37,12.55,12.31,12.43,10.004081,2198000
2010-01-15,12.46,12.54,12.17,12.18,9.802873,2434900
2010-01-19,12.21,12.24,11.9,11.94,9.609712,2786000
2010-01-20,11.85,12.0,11.75,11.8,9.497035,1726500
2010-01-21,11.79,12.01,11.71,11.9,9.577517,4224500
2010-01-22,11.84,12.05,11.7,11.75,9.456794,3196800
2010-01-25,11.91,12.05,11.78,11.82,9.513131,2552900
2010-01-26,11.69,11.97,11.69,11.73,9.440695,1359500
2010-01-27,11.75,11.88,11.51,11.74,9.448744,2700700
2010-01-28,11.74,11.8,11.41,11.49,9.247535000000001,2469100
2010-01-29,11.51,11.73,11.28,11.29,9.086569,1814700
2010-02-01,11.36,11.71,11.3,11.69,9.408503,2405800
2010-02-02,11.74,11.97,11.7,11.94,9.609712,1864500
2010-02-03,11.91,12.02,11.7,11.96,9.625810000000001,3140900
2010-02-04,11.78,12.01,11.64,11.65,9.376308,3124500
2010-02-05,11.68,11.73,11.34,11.61,9.344116,3173000
2010-02-08,11.64,11.78,11.51,11.64,9.368259,1751500
