Date,Open,High,Low,Close,Adj Close,Volume
2009-09-16,0.05,0.051,0.05,0.051,0.051,1000.0
2009-09-17,,,,,,
2009-09-18,,,,,,
2009-09-21,,,,,,
2009-09-22,,,,,,
2009-09-23,,,,,,
2009-09-24,,,,,,
2009-09-25,,,,,,
2009-09-28,,,,,,
2009-09-29,,,,,,
2009-09-30,,,,,,
2009-10-01,,,,,,
2009-10-02,,,,,,
2009-10-05,,,,,,
2009-10-06,,,,,,
2009-10-07,,,,,,
2009-10-08,,,,,,
2009-10-09,,,,,,
2009-10-12,,,,,,
2009-10-13,,,,,,
2009-10-14,,,,,,
2009-10-15,,,,,,
2009-10-16,,,,,,
2009-10-19,,,,,,
2009-10-20,,,,,,
2009-10-21,,,,,,
2009-10-22,,,,,,
2009-10-23,,,,,,
2009-10-26,,,,,,
2009-10-27,,,,,,
2009-10-28,,,,,,
2009-10-29,,,,,,
2009-10-30,,,,,,
2009-11-02,,,,,,
2009-11-03,,,,,,
2009-11-04,,,,,,
2009-11-05,,,,,,
2009-11-06,,,,,,
2009-11-09,,,,,,
2009-11-10,,,,,,
2009-11-11,,,,,,
2009-11-12,,,,,,
2009-11-13,,,,,,
2009-11-16,,,,,,
2009-11-17,,,,,,
2009-11-18,,,,,,
2009-11-19,,,,,,
2009-11-20,,,,,,
2009-11-23,,,,,,
2009-11-24,,,,,,
2009-11-25,,,,,,
2009-11-27,,,,,,
2009-11-30,,,,,,
2009-12-01,,,,,,
2009-12-02,,,,,,
2009-12-03,,,,,,
2009-12-04,,,,,,
2009-12-07,,,,,,
2009-12-08,,,,,,
2009-12-09,,,,,,
2009-12-10,,,,,,
2009-12-11,,,,,,
2009-12-14,,,,,,
2009-12-15,,,,,,
2009-12-16,,,,,,
2009-12-17,,,,,,
2009-12-18,,,,,,
2009-12-21,,,,,,
2009-12-22,,,,,,
2009-12-23,,,,,,
2009-12-24,,,,,,
2009-12-28,,,,,,
2009-12-29,,,,,,
2009-12-30,,,,,,
2009-12-31,,,,,,
2010-01-04,,,,,,
2010-01-05,,,,,,
2010-01-06,,,,,,
2010-01-07,,,,,,
2010-01-08,,,,,,
2010-01-11,,,,,,
2010-01-12,0.077,0.077,0.077,0.077,0.077,0.0
2010-01-13,0.076,0.076,0.076,0.076,0.076,0.0
2010-01-14,0.077,0.098,0.077,0.098,0.098,4299.0
2010-01-15,0.071,0.071,0.071,0.071,0.071,0.0
2010-01-19,0.078,0.078,0.078,0.078,0.078,0.0
2010-01-20,0.068,0.068,0.068,0.068,0.068,0.0
2010-01-21,0.068,0.068,0.068,0.068,0.068,0.0
2010-01-22,0.061,0.061,0.061,0.061,0.061,0.0
2010-01-25,0.061,0.061,0.061,0.061,0.061,0.0
2010-01-26,0.063,0.063,0.063,0.063,0.063,0.0
2010-01-27,0.053,0.053,0.053,0.053,0.053,0.0
2010-01-28,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2010-01-29,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2010-02-01,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2010-02-02,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2010-02-03,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2010-02-04,0.068,0.068,0.068,0.068,0.068,0.0
2010-02-05,0.061,0.061,0.061,0.061,0.061,0.0
2010-02-08,0.062,0.062,0.062,0.062,0.062,0.0
2010-02-09,0.048,0.048,0.048,0.048,0.048,0.0
2010-02-10,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.0
2010-02-11,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.0
2010-02-12,0.063,0.063,0.063,0.063,0.063,0.0
2010-02-16,0.067,0.067,0.067,0.067,0.067,0.0
2010-02-17,0.06,0.06,0.06,0.06,0.06,0.0
2010-02-18,0.06,0.06,0.06,0.06,0.06,0.0
2010-02-19,0.067,0.067,0.067,0.067,0.067,0.0
2010-02-22,0.061,0.061,0.061,0.061,0.061,0.0
2010-02-23,0.061,0.061,0.061,0.061,0.061,0.0
