Date,Open,High,Low,Close,Adj Close,Volume
2009-11-18,8.5,8.75,8.165,8.31,8.31,27340800
2009-11-19,8.285,8.56,8.03,8.445,8.445,4434600
2009-11-20,8.44,8.48,8.03,8.47,8.47,2278000
2009-11-23,8.53,8.585,8.3,8.45,8.45,2371600
2009-11-24,8.4,8.525,8.365,8.505,8.505,935400
2009-11-25,8.575,8.64,8.475,8.6,8.6,856000
2009-11-27,8.385,8.84,8.35,8.445,8.445,348000
2009-11-30,8.525,8.66,8.405,8.495,8.495,867600
2009-12-01,8.5,8.62,8.315,8.41,8.41,825000
2009-12-02,8.45,8.45,8.075,8.31,8.31,1920400
2009-12-03,8.31,8.43,8.26,8.34,8.34,1139800
2009-12-04,8.425,8.65,8.18,8.64,8.64,1625400
2009-12-07,8.56,8.805,8.42,8.46,8.46,1046400
2009-12-08,8.475,8.475,8.225,8.275,8.275,416000
2009-12-09,8.25,8.625,8.25,8.495,8.495,811000
2009-12-10,8.59,8.59,8.385,8.46,8.46,152600
2009-12-11,8.415,8.485,8.33,8.47,8.47,262400
2009-12-14,8.45,8.605,8.405,8.5,8.5,157400
2009-12-15,8.55,8.62,8.425,8.5,8.5,489000
2009-12-16,8.5,9.17,8.5,9.125,9.125,1564600
2009-12-17,9.15,9.23,8.905,8.975,8.975,1343400
2009-12-18,9.09,9.185,8.775,8.79,8.79,3898600
2009-12-21,8.825,8.98,8.6,8.815,8.815,605600
2009-12-22,8.855,8.885,8.555,8.615,8.615,522800
2009-12-23,8.65,9.085,8.605,8.98,8.98,804600
2009-12-24,8.995,9.275,8.955,9.18,9.18,475200
2009-12-28,9.335,9.39,8.75,8.865,8.865,1107400
2009-12-29,8.865,9.2,8.865,9.175,9.175,663400
2009-12-30,9.15,9.165,8.95,9.01,9.01,234600
2009-12-31,9.03,9.12,8.765,8.785,8.785,303600
2010-01-04,8.94,9.1,8.815,9.0,9.0,716000
2010-01-05,9.015,9.3,9.0,9.195,9.195,822800
2010-01-06,9.44,9.925,9.4,9.705,9.705,1873400
2010-01-07,9.765,9.805,9.5,9.725,9.725,275200
2010-01-08,9.775,10.295,9.61,10.055,10.055,914200
2010-01-11,10.125,10.125,9.845,10.025,10.025,375800
2010-01-12,9.945,10.12,9.845,9.895,9.895,947400
2010-01-13,9.88,9.94,9.205,9.72,9.72,781800
2010-01-14,9.73,10.035,9.625,9.95,9.95,706800
2010-01-15,9.98,9.98,9.575,9.815,9.815,651000
2010-01-19,9.825,10.24,9.81,9.9,9.9,617200
2010-01-20,9.86,10.0,9.44,9.53,9.53,463200
2010-01-21,9.575,9.575,9.125,9.195,9.195,711000
2010-01-22,9.2,9.42,8.915,8.94,8.94,929000
2010-01-25,9.065,9.065,8.85,9.005,9.005,491200
2010-01-26,9.0,9.35,9.0,9.155,9.155,677200
2010-01-27,9.195,9.405,8.95,9.325,9.325,788200
2010-01-28,9.5,9.515,8.63,8.9,8.9,2709000
2010-01-29,8.94,9.215,8.06,8.615,8.615,1759600
2010-02-01,8.645,8.875,8.5,8.725,8.725,361400
2010-02-02,8.75,8.865,8.505,8.565,8.565,1300000
2010-02-03,8.575,8.61,8.175,8.22,8.22,913600
2010-02-04,8.19,8.275,7.76,7.85,7.85,1204000
2010-02-05,7.85,7.945,7.59,7.845,7.845,1060800
2010-02-08,7.875,8.04,7.68,7.95,7.95,377200
2010-02-09,8.36,8.57,8.135,8.295,8.295,878000
2010-02-10,8.275,8.5,8.185,8.43,8.43,555200
2010-02-11,8.43,8.435,8.15,8.335,8.335,644600
2010-02-12,8.225,8.485,8.21,8.26,8.26,410800
