Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,4.11,4.13,4.03,4.05,3.230748,29787600
2009-09-14,4.01,4.09,3.96,4.09,3.262657,17468900
2009-09-15,4.08,4.45,4.05,4.35,3.4700629999999997,38916600
2009-09-16,4.37,4.77,4.32,4.54,3.621629,53049400
2009-09-17,4.52,4.75,4.48,4.51,3.597697,35582700
2009-09-18,4.32,4.45,4.2,4.35,3.4700629999999997,109976900
2009-09-21,4.28,4.57,4.23,4.41,3.517925,44686300
2009-09-22,4.53,4.58,4.43,4.49,3.581743,29420200
2009-09-23,4.53,4.53,4.37,4.37,3.486017,19651000
2009-09-24,4.4,4.41,4.15,4.18,3.334451,25510900
2009-09-25,4.14,4.24,4.05,4.13,3.2945660000000005,23517200
2009-09-28,4.15,4.2,4.07,4.2,3.3504050000000003,24210000
2009-09-29,4.37,4.49,4.34,4.4,3.5099480000000005,42160400
2009-09-30,4.54,4.85,4.45,4.71,3.7572410000000005,89526000
2009-10-01,4.69,4.73,4.39,4.47,3.565788,37664800
2009-10-02,4.31,4.54,4.23,4.45,3.549835,26164300
2009-10-05,4.63,4.66,4.52,4.63,3.693424,24044500
2009-10-06,4.72,4.75,4.42,4.51,3.597697,33336700
2009-10-07,4.47,4.61,4.47,4.58,3.653539,22820800
2009-10-08,4.6,4.61,4.48,4.58,3.653539,18766600
2009-10-09,4.52,4.57,4.48,4.55,3.629606,15211900
2009-10-12,4.57,4.67,4.5,4.58,3.653539,15247100
2009-10-13,4.57,4.62,4.52,4.53,3.6136519999999996,18774400
2009-10-14,4.65,4.68,4.56,4.68,3.7333089999999998,18386500
2009-10-15,4.66,4.77,4.58,4.77,3.805104,23720200
2009-10-16,4.65,4.67,4.56,4.58,3.653539,15715700
2009-10-19,4.59,4.62,4.39,4.41,3.517925,19015500
2009-10-20,4.42,4.49,4.32,4.37,3.486017,16005900
2009-10-21,4.35,4.47,4.3,4.31,3.438154,17893000
2009-10-22,4.25,4.42,4.18,4.42,3.525903,27788600
2009-10-23,4.41,4.43,4.15,4.2,3.3504050000000003,19394300
2009-10-26,4.22,4.25,4.05,4.09,3.262657,21155000
2009-10-27,4.11,4.17,3.95,4.04,3.222771,32866900
2009-10-28,4.03,4.08,3.8,3.81,3.0392959999999998,29543600
2009-10-29,3.96,4.09,3.83,4.07,3.2467029999999997,24758000
2009-10-30,4.02,4.03,3.68,3.81,3.0392959999999998,29790100
2009-11-02,3.91,3.93,3.53,3.61,2.879754,27857900
2009-11-03,3.53,3.86,3.5,3.82,3.0472740000000003,28656700
2009-11-04,3.92,3.99,3.66,3.69,2.943571,26107600
2009-11-05,3.75,3.82,3.67,3.77,3.007388,25912700
2009-11-06,3.7,3.9,3.68,3.87,3.087159,27848200
2009-11-09,3.93,3.99,3.86,3.94,3.142999,22444800
2009-11-10,3.92,3.93,3.76,3.8,3.03132,15412500
2009-11-11,3.87,3.93,3.82,3.86,3.079182,11240400
2009-11-12,3.85,3.9,3.75,3.75,2.991434,14379400
2009-11-13,3.79,3.85,3.73,3.8,3.03132,15589600
2009-11-16,3.82,3.88,3.7,3.78,3.015365,26799800
2009-11-17,3.75,3.82,3.69,3.81,3.0392959999999998,24766100
2009-11-18,3.8,3.99,3.76,3.92,3.127046,30491600
2009-11-19,3.86,3.9,3.76,3.83,3.0552509999999997,22501000
2009-11-20,3.82,3.86,3.74,3.78,3.015365,18678800
2009-11-23,3.85,3.88,3.78,3.8,3.03132,19312700
2009-11-24,3.82,3.82,3.71,3.76,2.9994110000000003,15119900
2009-11-25,3.83,3.83,3.71,3.72,2.967502,10565800
2009-11-27,3.61,3.68,3.59,3.59,2.863799,8150400
2009-11-30,3.62,3.83,3.6,3.82,3.0472740000000003,27762000
2009-12-01,3.88,3.89,3.73,3.82,3.0472740000000003,22746200
2009-12-02,3.83,3.89,3.78,3.87,3.087159,20224700
2009-12-03,3.9,3.91,3.67,3.68,2.935594,26952600
2009-12-04,3.78,3.8,3.65,3.69,2.943571,24144300
2009-12-07,3.7,3.76,3.66,3.68,2.935594,21730200
2009-12-08,3.67,3.81,3.65,3.79,3.023342,21075200
2009-12-09,3.79,3.82,3.72,3.73,2.975479,19767800
2009-12-10,3.78,3.8,3.7,3.72,2.967502,10134600
2009-12-11,3.73,3.76,3.68,3.73,2.975479,9132500
2009-12-14,3.78,3.9,3.74,3.89,3.1031150000000003,14036100
2009-12-15,3.83,3.92,3.69,3.73,2.975479,20517100
2009-12-16,3.73,3.76,3.61,3.62,2.895493,16600100
2009-12-17,3.61,3.79,3.6,3.68,2.943485,14433200
2009-12-18,3.69,3.76,3.63,3.72,2.975479,19867400
2009-12-21,3.73,3.75,3.68,3.74,2.991476,8908600
2009-12-22,3.73,3.74,3.7,3.73,2.983478,4617300
2009-12-23,3.72,3.75,3.67,3.68,2.943485,9401100
2009-12-24,3.7,3.72,3.69,3.72,2.975479,2183900
2009-12-28,3.72,3.77,3.66,3.7,2.959482,7041100
2009-12-29,3.7,3.71,3.65,3.69,2.951484,6456400
2009-12-30,3.69,3.69,3.64,3.68,2.943485,6394800
2009-12-31,3.67,3.68,3.63,3.65,2.91949,10417400
2010-01-04,3.71,3.74,3.65,3.68,2.943485,10462800
2010-01-05,3.68,3.77,3.65,3.76,3.007474,21226600
2010-01-06,3.75,3.89,3.72,3.86,3.0874599999999996,18761000
2010-01-07,3.85,4.35,3.83,4.29,3.431398,66130600
2010-01-08,4.23,4.37,4.13,4.22,3.3754089999999994,29869600
2010-01-11,4.31,4.44,4.21,4.33,3.463394,28307500
2010-01-12,4.26,4.42,4.15,4.21,3.36741,25239200
2010-01-13,4.21,4.34,4.08,4.31,3.447397,26868200
2010-01-14,4.31,4.45,4.27,4.41,3.527382,24295600
2010-01-15,4.4,4.41,4.22,4.28,3.423402,17671600
2010-01-19,4.27,4.36,4.21,4.3,3.439397,15203200
2010-01-20,4.25,4.41,4.23,4.29,3.431398,20893700
2010-01-21,4.38,4.75,4.37,4.53,3.623365,63969900
2010-01-22,4.42,4.87,4.25,4.69,3.751343,61227600
2010-01-25,4.77,4.94,4.65,4.8,3.839328,34705900
2010-01-26,4.86,4.99,4.6,4.6,3.679356,45439900
2010-01-27,4.67,4.9,4.65,4.88,3.903317,34009000
2010-01-28,5.08,5.09,4.92,4.99,3.9913019999999997,40498900
2010-01-29,5.05,5.05,4.74,4.79,3.831328,27561700
2010-02-01,4.85,4.94,4.78,4.9,3.919315,18652800
2010-02-02,4.88,4.94,4.82,4.93,3.9433089999999997,35142400
2010-02-03,4.88,4.9,4.63,4.71,3.7673400000000004,41303100
2010-02-04,4.66,4.68,4.46,4.54,3.631365,35832300
2010-02-05,4.56,4.69,4.4,4.63,3.7033519999999998,25099500
2010-02-08,4.68,4.73,4.53,4.58,3.663359,17834600
2010-02-09,4.66,4.73,4.57,4.65,3.71935,17433300
2010-02-10,4.61,4.75,4.61,4.71,3.7673400000000004,14027800
2010-02-11,4.75,4.81,4.68,4.79,3.831328,16127900
2010-02-12,4.71,4.77,4.62,4.68,3.7433449999999997,13711900
2010-02-16,4.73,4.82,4.7,4.82,3.8553260000000003,14918600
2010-02-17,4.83,4.88,4.73,4.76,3.8073339999999996,12692100
2010-02-18,4.76,4.8,4.69,4.72,3.7753400000000004,11941600
2010-02-19,4.72,4.85,4.71,4.85,3.879321,11149600
2010-02-22,4.91,4.95,4.88,4.93,3.9433089999999997,16529800
2010-02-23,4.89,4.95,4.8,4.81,3.8473269999999995,13714300
2010-02-24,4.86,4.94,4.83,4.89,3.911315,12362900
2010-02-25,4.76,4.84,4.75,4.8,3.839328,10031300
2010-02-26,4.8,4.84,4.76,4.81,3.8473269999999995,9186500
2010-03-01,4.86,4.88,4.75,4.8,3.839328,7019800
2010-03-02,4.84,4.87,4.79,4.83,3.863324,11973800
2010-03-03,4.84,4.87,4.77,4.81,3.8473269999999995,10153200
2010-03-04,4.83,4.84,4.79,4.81,3.8473269999999995,5681800
2010-03-05,4.86,4.96,4.82,4.96,3.9673059999999998,14761100
2010-03-08,5.0,5.03,4.89,4.96,3.9673059999999998,12788000
2010-03-09,4.93,5.14,4.85,5.03,4.023295,21012700
2010-03-10,5.19,5.44,5.15,5.25,4.199266000000001,39935500
2010-03-11,5.3,5.62,5.29,5.4,4.319244,54603100
2010-03-12,5.58,5.62,5.4,5.47,4.375233000000001,26892500
2010-03-15,5.43,5.45,5.27,5.41,4.327243,22332300
2010-03-16,5.48,5.53,5.42,5.53,4.431417,18207300
2010-03-17,5.64,5.81,5.6,5.76,4.615726,32758400
2010-03-18,5.81,5.81,5.47,5.5,4.407376999999999,32948700
2010-03-19,5.51,5.55,5.29,5.32,4.263137,37237600
2010-03-22,5.19,5.52,5.14,5.47,4.383335,22213500
2010-03-23,5.5,5.54,5.38,5.48,4.391351,24917400
2010-03-24,5.46,5.54,5.44,5.48,4.391351,20073200
2010-03-25,5.58,5.69,5.49,5.5,4.407376999999999,25154200
2010-03-26,5.61,5.65,5.4,5.47,4.383335,23286100
2010-03-29,5.54,5.55,5.38,5.45,4.367309,14392400
2010-03-30,5.47,5.5,5.35,5.41,4.335255999999999,11651500
2010-03-31,5.35,5.5,5.32,5.39,4.31923,16615500
2010-04-01,5.48,5.5,5.32,5.39,4.31923,11268500
2010-04-05,5.42,5.55,5.39,5.53,4.431417,17259300
