Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.4,11.735,11.395,11.57,7.115256,1578000
2009-09-14,11.46,11.705,11.35,11.67,7.176756,1242800
2009-09-15,11.77,11.875,11.545,11.635,7.155228999999999,1354200
2009-09-16,11.64,11.875,11.555,11.735,7.216728,2191000
2009-09-17,11.555,12.59,11.555,12.41,7.73065,5851600
2009-09-18,12.41,12.74,12.26,12.41,7.73065,2163200
2009-09-21,12.2,12.5,11.995,12.42,7.736878,1325200
2009-09-22,12.635,12.76,12.515,12.59,7.84278,783200
2009-09-23,12.565,12.625,12.18,12.235,7.621635,1162000
2009-09-24,12.2,12.305,11.625,11.635,7.247872999999999,1803000
2009-09-25,11.85,12.685,11.7,12.5,7.786714,3488400
2009-09-28,12.45,12.585,12.2,12.515,7.796060000000001,1980200
2009-09-29,12.585,12.725,12.4,12.575,7.833436,1298400
2009-09-30,12.65,13.11,12.48,12.81,7.979825,2244200
2009-10-01,12.765,12.885,12.4,12.43,7.743113,1273600
2009-10-02,12.005,12.47,11.815,12.22,7.61229,1551400
2009-10-05,12.29,12.745,12.085,12.725,7.926878,1227400
2009-10-06,12.865,13.025,12.505,12.675,7.895728999999999,1718200
2009-10-07,12.66,13.075,12.605,13.035,8.119987,1683800
2009-10-08,13.12,13.36,13.035,13.3,8.285067,1739000
2009-10-09,13.285,13.575,13.18,13.5,8.409653,1828200
2009-10-12,13.57,14.1,13.57,13.89,8.652598,1965200
2009-10-13,13.97,14.02,13.63,13.715,8.543584,1760600
2009-10-14,14.005,14.005,13.725,13.84,8.621452,2154800
2009-10-15,13.82,14.885,13.715,14.875,9.266189,2891200
2009-10-16,14.805,15.0,14.47,14.88,9.269305000000001,1952200
2009-10-19,14.97,15.12,14.775,14.835,9.241276,1008200
2009-10-20,14.7,15.68,14.58,15.63,9.736511,2622800
2009-10-21,15.615,16.764999,15.485,16.16,10.066666,3323000
2009-10-22,16.235001,16.485001,15.835,16.43,10.234858000000001,1832600
2009-10-23,16.52,16.674999,15.975,16.004998999999998,9.970108,1306400
2009-10-26,16.045,16.59,15.705,15.755,9.814375,1553400
2009-10-27,15.87,15.95,15.145,15.35,9.562089,2635200
2009-10-28,15.37,15.39,14.325,14.33,8.926689999999999,2174600
2009-10-29,14.455,15.39,14.325,15.26,9.50602,3165000
2009-10-30,15.225,15.385,14.38,14.505,9.035705,1901200
2009-11-02,14.66,14.77,13.935,14.275,8.892429,1360200
2009-11-03,13.995,14.745,13.915,14.635,9.116686,2227400
2009-11-04,14.725,14.875,14.25,14.32,8.920461,2073400
2009-11-05,14.61,14.62,14.11,14.355,8.942266,2094800
2009-11-06,14.09,14.44,13.825,13.995,8.718003,1905400
2009-11-09,14.235,14.275,13.74,13.86,8.63391,1518400
2009-11-10,13.895,14.32,13.835,14.215,8.855047,1671200
2009-11-11,14.4,14.61,14.02,14.065,8.761612,1562800
2009-11-12,14.015,14.365,13.95,14.155,8.817677,2079800
2009-11-13,14.12,14.365,14.02,14.25,8.876857000000001,1821000
2009-11-16,14.345,14.64,14.32,14.61,9.101111,1329600
2009-11-17,14.51,14.65,14.08,14.21,8.851936,1230400
2009-11-18,14.275,14.32,13.885,14.015,8.730466,1271400
2009-11-19,13.885,13.935,13.045,13.105,8.163592,2127200
2009-11-20,13.055,13.255,12.985,13.16,8.197855,1123800
2009-11-23,13.425,13.555,12.86,12.975,8.08261,1311800
2009-11-24,12.97,13.165,12.895,12.92,8.048347,1793400
2009-11-25,12.875,13.31,12.81,13.265,8.263262,998200
2009-11-27,12.895,12.98,12.68,12.79,7.967366,735400
2009-11-30,12.79,12.855,12.465,12.725,7.926878,1177200
2009-12-01,12.79,12.89,12.4,12.64,7.873928,2194200
2009-12-02,12.595,12.805,12.585,12.76,7.948681,1302600
2009-12-03,12.75,12.85,12.52,12.55,7.8178589999999994,1009400
2009-12-04,12.7,12.875,12.445,12.68,7.898844,1421400
2009-12-07,12.63,13.01,12.61,12.66,7.886384,1064000
2009-12-08,12.59,12.605,12.335,12.38,7.711966,2348600
2009-12-09,12.725,12.725,12.385,12.51,7.792944,3042800
2009-12-10,12.59,12.695,12.315,12.555,7.820977,2145200
2009-12-11,12.615,12.685,12.145,12.335,7.683930999999999,2772400
2009-12-14,12.53,12.645,12.435,12.53,7.805403,915800
2009-12-15,12.5,12.63,12.265,12.3,7.662128,1457800
2009-12-16,12.375,12.5,12.03,12.12,7.549997,2102400
2009-12-17,11.985,12.155,11.785,11.995,7.565767999999999,1006000
2009-12-18,12.1,12.345,12.075,12.325,7.773911,1655200
2009-12-21,12.385,12.54,12.34,12.525,7.900061999999999,718400
2009-12-22,12.565,12.58,12.25,12.44,7.846448,875000
2009-12-23,12.505,12.765,12.325,12.685,8.00098,979400
2009-12-24,12.65,12.77,12.59,12.77,8.054599000000001,158000
2009-12-28,12.845,12.905,12.7,12.74,8.035673,534400
2009-12-29,12.75,12.84,12.7,12.775,8.057747,591400
2009-12-30,12.745,12.94,12.645,12.885,8.127130000000001,557800
2009-12-31,12.87,12.95,12.745,12.815,8.082975,546400
2010-01-04,13.125,13.695,13.005,13.685,8.631725,1826600
2010-01-05,13.725,14.95,13.65,14.57,9.189932,3336200
2010-01-06,14.55,14.725,14.19,14.535,9.167857000000001,2168400
2010-01-07,14.52,14.615,14.235,14.54,9.171013,1169800
2010-01-08,14.365,14.57,14.295,14.425,9.098475,869000
2010-01-11,14.53,14.79,13.875,14.07,8.874561,1903400
2010-01-12,13.84,13.84,13.4,13.54,8.540265,1919200
2010-01-13,13.465,13.465,12.74,13.335,8.410966,1875400
2010-01-14,13.33,13.455,13.12,13.335,8.410966,897000
2010-01-15,13.38,13.485,13.175,13.455,8.486654,887800
2010-01-19,13.405,13.575,13.385,13.5,8.515037,1417400
2010-01-20,13.265,13.56,13.21,13.515,8.524498,1273200
2010-01-21,13.44,13.675,13.265,13.33,8.407807,1963800
2010-01-22,13.25,13.43,13.025,13.05,8.231204,1546200
2010-01-25,13.075,13.21,12.985,13.055,8.234355,891000
2010-01-26,12.98,13.25,12.83,13.155,8.29743,1409000
2010-01-27,13.18,13.185,12.855,13.17,8.30689,1236600
2010-01-28,13.31,13.31,12.835,13.05,8.231204,1538800
2010-01-29,13.165,13.5,12.975,13.05,8.231204,1845400
2010-02-01,13.16,13.67,13.115,13.62,8.590727000000001,1570200
2010-02-02,13.7,14.295,13.52,14.25,8.988094,2093600
2010-02-03,14.22,14.25,13.81,13.905,8.770488,1846000
2010-02-04,13.775,13.775,13.34,13.35,8.420424,1146000
2010-02-05,13.315,13.32,12.745,13.24,8.351042999999999,1612200
2010-02-08,13.27,13.335,12.99,13.11,8.269048,1035400
2010-02-09,13.235,13.465,13.03,13.39,8.445654,1154400
2010-02-10,13.305,13.585,13.075,13.565,8.556036,988000
2010-02-11,13.495,13.61,13.29,13.455,8.486654,707400
2010-02-12,13.16,13.635,13.12,13.635,8.600186,1077200
2010-02-16,13.89,14.205,13.715,14.165,8.93448,753800
2010-02-17,14.17,14.305,13.9,14.06,8.868253,905800
2010-02-18,14.09,14.255,13.975,14.215,8.966016,1511000
2010-02-19,14.11,14.345,14.075,14.275,9.003862,567600
2010-02-22,14.405,14.44,14.005,14.17,8.937636999999999,1187600
2010-02-23,14.095,14.16,13.7,13.855,8.738951,794400
2010-02-24,14.02,14.165,13.825,14.065,8.871405000000001,1034200
2010-02-25,13.805,13.805,12.635,12.975,8.183896,5131200
2010-02-26,12.97,13.145,12.7,12.84,8.098749,2360200
2010-03-01,12.82,12.85,12.565,12.74,8.035673,1321600
2010-03-02,12.755,13.045,12.74,13.02,8.21228,1195200
2010-03-03,13.01,13.625,12.935,13.555,8.549725,3890200
2010-03-04,13.555,13.935,13.495,13.885,8.757873,1529800
2010-03-05,13.955,14.09,13.87,14.035,8.852483,1501200
2010-03-08,14.035,14.145,13.795,13.835,8.726337,1064000
2010-03-09,13.64,14.1,13.635,13.925,8.783101,1973400
2010-03-10,13.89,14.885,13.74,14.81,9.341311,3600600
