Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,6.76,6.87,6.65,6.75,5.444131,4239400
2009-09-14,6.68,6.78,6.53,6.59,5.315086,5653000
2009-09-15,6.7,7.29,6.48,7.18,5.790943,13399100
2009-09-16,7.24,7.37,7.04,7.36,5.93612,8923700
2009-09-17,7.32,7.39,7.12,7.28,5.871597,6614300
2009-09-18,7.35,7.56,7.35,7.47,6.024839,6077500
2009-09-21,7.4,7.49,7.13,7.4,5.968381,6290800
2009-09-22,7.18,7.45,7.16,7.2,5.807073,5146400
2009-09-23,7.23,7.49,7.21,7.26,5.855466000000001,7170900
2009-09-24,7.29,7.32,6.9,7.04,5.678026999999999,6901000
2009-09-25,7.01,7.19,6.95,7.02,5.661896,3963400
2009-09-28,6.99,7.32,6.98,7.3,5.887727,3031800
2009-09-29,7.4,7.63,7.35,7.59,6.1216230000000005,8261700
2009-09-30,7.59,7.77,7.45,7.52,6.0651660000000005,11721500
2009-10-01,7.45,7.5,7.03,7.06,5.694158,6309600
2009-10-02,6.95,7.06,6.79,6.84,5.516719999999999,8368300
2009-10-05,6.82,7.03,6.75,6.92,5.581244,6282600
2009-10-06,6.95,7.21,6.92,7.11,5.734485,5238800
2009-10-07,7.14,7.15,6.8,6.88,5.5489809999999995,6768400
2009-10-08,6.94,7.13,6.9,7.09,5.718354,6731300
2009-10-09,7.1,7.15,7.0,7.07,5.702224,3190400
2009-10-12,7.09,7.19,6.93,6.96,5.613503,3296500
2009-10-13,6.98,7.11,6.94,7.04,5.678026999999999,3711700
2009-10-14,7.14,7.15,6.91,7.01,5.65383,9704400
2009-10-15,6.97,7.22,6.64,6.87,5.540915,6364500
2009-10-16,6.78,6.85,6.47,6.79,5.476393,10216700
2009-10-19,6.82,6.82,6.67,6.72,5.419935,7682900
2009-10-20,6.72,6.8,6.44,6.49,5.234433999999999,9422000
2009-10-21,6.41,6.54,6.17,6.17,4.976339,11528300
2009-10-22,6.2,6.37,6.13,6.34,5.113451,7089200
2009-10-23,6.39,6.41,6.07,6.12,4.936012,6243400
2009-10-26,6.14,6.31,6.02,6.06,4.887619,8486700
2009-10-27,6.05,6.2,5.92,6.11,4.927948000000001,9603200
2009-10-28,6.24,6.47,5.89,5.96,4.806965,17728400
2009-10-29,6.21,6.44,6.21,6.37,5.137648,10326500
2009-10-30,6.45,6.48,5.99,6.02,4.855359,11772400
2009-11-02,6.06,6.11,5.8,5.89,4.75051,9858800
2009-11-03,5.97,6.05,5.71,5.99,4.831163,6761900
2009-11-04,6.04,6.34,6.04,6.11,4.927948000000001,8754700
2009-11-05,6.23,6.4,6.17,6.38,5.1457120000000005,5791900
2009-11-06,6.36,6.56,6.31,6.47,5.2183019999999996,5608800
2009-11-09,6.52,6.79,6.47,6.77,5.46026,5518700
2009-11-10,6.75,6.82,6.61,6.7,5.403805,3999500
2009-11-11,6.79,6.91,6.73,6.87,5.540915,4932700
2009-11-12,6.87,6.97,6.57,6.59,5.315086,6720300
2009-11-13,6.63,6.85,6.56,6.77,5.46026,4397000
2009-11-16,6.78,7.06,6.78,7.02,5.661896,3739400
2009-11-17,6.93,7.05,6.78,6.86,5.532851,3945300
2009-11-18,6.86,6.89,6.69,6.87,5.540915,2637000
2009-11-19,6.81,6.84,6.64,6.77,5.46026,4327300
2009-11-20,6.71,6.89,6.63,6.83,5.508654,4256800
2009-11-23,6.84,7.01,6.68,6.74,5.436065,3585600
2009-11-24,6.5,6.74,6.32,6.55,5.282824,5456600
2009-11-25,6.53,6.63,6.49,6.61,5.331216,3086300
2009-11-27,6.38,6.52,6.09,6.46,5.210235,1508300
2009-11-30,6.45,6.5,6.21,6.33,5.105386,3958700
2009-12-01,6.38,6.51,6.33,6.47,5.2183019999999996,3849700
2009-12-02,6.42,6.62,6.42,6.49,5.234433999999999,3665500
2009-12-03,6.49,6.55,6.39,6.42,5.177973000000001,2790800
2009-12-04,6.43,6.55,6.21,6.36,5.129581,7335200
2009-12-07,6.36,6.63,6.31,6.55,5.282824,5696900
