Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,13.0,13.28,12.77,13.04,8.031266,9500400
2009-09-14,12.83,13.35,12.72,13.35,8.222195,10056000
2009-09-15,13.39,14.23,13.03,14.15,8.714911,23554900
2009-09-16,14.25,15.3,14.2,14.85,9.146037,19744900
2009-09-17,14.8,15.87,14.72,15.26,9.398553999999999,18944300
2009-09-18,15.32,15.46,14.79,14.94,9.201467,17550000
2009-09-21,14.76,14.93,14.41,14.46,8.90584,8650400
2009-09-22,14.59,14.94,14.39,14.89,9.170671,8936400
2009-09-23,14.94,15.01,13.8,13.8,8.49935,9367400
2009-09-24,13.87,14.15,12.93,12.95,7.975835000000001,10605600
2009-09-25,12.9,13.41,12.68,13.02,8.018948,8001000
2009-09-28,13.11,13.77,13.07,13.76,8.474711,7607700
2009-09-29,13.81,13.82,13.24,13.32,8.203719,6238200
2009-09-30,13.34,13.47,12.83,13.04,8.031266,12418300
2009-10-01,12.93,13.03,11.99,12.02,7.437276,10844400
2009-10-02,11.69,12.24,11.54,11.73,7.2578380000000005,9702800
2009-10-05,11.9,12.22,11.8,12.1,7.486776,5717300
2009-10-06,12.24,12.5,11.99,12.24,7.573401,9192800
2009-10-07,12.17,12.36,11.87,12.2,7.548647,5866900
2009-10-08,12.32,12.68,12.3,12.58,7.78377,5296600
2009-10-09,12.51,12.7,12.25,12.7,7.8580190000000005,6116800
2009-10-12,12.8,12.89,12.6,12.77,7.901330000000001,4590000
2009-10-13,12.7,12.75,12.33,12.62,7.808522,6352600
2009-10-14,12.89,13.59,12.87,13.51,8.359199,9816900
2009-10-15,13.36,13.67,13.22,13.66,8.452013,6927600
2009-10-16,13.36,13.49,13.08,13.16,8.142638,5338600
2009-10-19,13.2,13.49,13.19,13.39,8.284951,5948100
2009-10-20,13.45,13.46,12.97,13.11,8.111704,4850500
2009-10-21,12.96,14.08,12.96,13.59,8.4087,11272600
2009-10-22,13.6,14.01,13.49,14.01,8.668569999999999,10741000
2009-10-23,14.05,14.06,13.55,13.66,8.452013,7139000
2009-10-26,13.73,14.2,13.46,13.53,8.371574,6195800
2009-10-27,13.6,13.67,12.7,12.8,7.9198949999999995,11329800
2009-10-28,12.66,13.05,12.15,12.2,7.548647,11399700
2009-10-29,12.43,13.04,12.34,12.98,8.031266,7505400
2009-10-30,12.73,13.0,12.22,12.64,7.820895,13055900
2009-11-02,12.51,13.02,12.3,12.78,7.907518,8312700
2009-11-03,12.58,13.01,12.39,12.97,8.025081,8068900
2009-11-04,13.15,13.29,12.45,12.48,7.721895,10703000
2009-11-05,12.34,12.38,11.54,12.03,7.443461,16230600
2009-11-06,11.85,12.12,11.8,11.95,7.393963,7641100
2009-11-09,12.2,12.82,12.03,12.81,7.926080000000001,10026800
2009-11-10,12.8,12.8,12.27,12.5,7.7342699999999995,5538100
2009-11-11,12.73,12.88,12.48,12.8,7.9198949999999995,5955400
2009-11-12,12.73,12.81,12.46,12.48,7.721895,4457900
2009-11-13,12.55,12.84,12.33,12.45,7.703334,8362900
2009-11-16,12.55,13.02,12.55,12.79,7.9137070000000005,8172800
2009-11-17,12.77,13.0,12.57,12.57,7.777584,6059100
2009-11-18,12.6,12.75,12.49,12.69,7.851831,7801900
2009-11-19,12.58,12.58,12.27,12.45,7.703334,7051200
2009-11-20,12.37,12.48,12.21,12.4,7.672397999999999,5003200
2009-11-23,12.49,12.79,12.29,12.36,7.647646000000001,5681100
2009-11-24,12.45,12.45,12.0,12.06,7.462024,5402000
2009-11-25,12.06,12.35,12.06,12.29,7.604334,4048200
2009-11-27,11.76,12.13,11.76,11.85,7.332089,3304500
2009-11-30,11.91,12.35,11.83,12.32,7.622896000000001,7809500
2009-12-01,12.43,12.5,12.13,12.25,7.579586999999999,7216200
2009-12-02,12.26,12.87,12.13,12.8,7.9198949999999995,7526400
2009-12-03,12.45,13.17,12.45,12.76,7.895144,9597000
2009-12-04,13.04,13.64,13.04,13.59,8.4087,15481600
2009-12-07,13.57,13.79,12.97,13.08,8.093142,9365200
2009-12-08,12.39,12.69,12.23,12.51,7.740461,35167100
2009-12-09,12.68,12.68,12.38,12.41,7.678586999999999,13858600
2009-12-10,12.5,12.54,12.18,12.26,7.585773,9935500
2009-12-11,12.41,12.52,12.23,12.5,7.7342699999999995,8799100
2009-12-14,12.21,12.6,12.17,12.52,7.7466479999999995,9886800
2009-12-15,12.34,12.57,12.3,12.5,7.7342699999999995,8226500
2009-12-16,12.33,12.62,12.3,12.5,7.7342699999999995,6300300
