Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,74.410004,74.489998,73.720001,74.0,58.270298,3331400
2009-09-14,73.720001,74.639999,73.41999799999999,74.559998,58.71128100000001,3466400
2009-09-15,74.629997,74.879997,74.0,74.68,58.805763,3566900
2009-09-16,74.760002,75.489998,74.5,75.379997,59.356972,2722500
2009-09-17,75.339996,75.449997,74.5,74.889999,58.971138,3371500
2009-09-18,75.120003,75.25,74.5,74.620003,58.75853299999999,4387900
2009-09-21,73.910004,74.68,73.910004,74.540001,58.695522,2560400
2009-09-22,74.82,75.150002,74.089996,74.970001,59.034119,2209900
2009-09-23,75.120003,76.0,74.300003,74.41999799999999,58.601017000000006,3344400
2009-09-24,74.650002,75.239998,73.629997,74.099998,58.349064,3109500
2009-09-25,74.040001,74.389999,73.370003,73.800003,58.112827,3470700
2009-09-28,73.93,75.410004,73.93,75.010002,59.06564300000001,2390400
2009-09-29,74.779999,75.25,73.860001,73.940002,58.223064,3200500
2009-09-30,74.059998,74.989998,72.769997,73.800003,58.112827,4561800
2009-10-01,73.559998,73.870003,72.400002,72.550003,57.12854,4362700
2009-10-02,71.809998,72.349998,71.620003,71.93,56.640312,3242900
2009-10-05,71.940002,73.400002,71.900002,73.019997,57.498608,2636000
2009-10-06,73.459999,74.75,73.32,73.93,58.215191000000004,2730700
2009-10-07,73.540001,73.849998,72.730003,73.139999,57.593136,3167600
2009-10-08,73.379997,74.949997,73.379997,74.529999,58.687644999999996,3298900
2009-10-09,74.459999,74.730003,73.989998,74.730003,58.845146,2803800
2009-10-12,74.849998,75.559998,74.470001,74.879997,58.963234,2405400
2009-10-13,74.800003,75.209999,74.199997,74.650002,58.782157999999995,2460100
2009-10-14,75.349998,76.93,75.07,76.57,60.294033,4121900
2009-10-15,76.199997,77.230003,76.199997,76.769997,60.451508,3693700
2009-10-16,76.019997,77.0,75.449997,76.019997,59.860935,3332000
2009-10-19,76.269997,77.08000200000001,75.82,76.32,60.097179000000004,3066700
2009-10-20,76.260002,76.730003,75.599998,75.949997,59.805801,3508100
2009-10-21,75.730003,77.379997,75.730003,76.33000200000001,60.105033999999996,3540500
2009-10-22,78.0,79.25,77.120003,78.790001,62.04213299999999,7186800
2009-10-23,78.41999799999999,78.760002,76.809998,77.82,61.278335999999996,5455500
2009-10-26,77.660004,78.610001,76.160004,76.82,60.490891000000005,3881300
2009-10-27,76.989998,77.260002,75.82,76.0,59.845181000000004,4502500
2009-10-28,76.050003,76.300003,74.279999,74.459999,58.632526,4401600
2009-10-29,74.68,75.970001,74.639999,75.480003,59.435722,4203100
2009-10-30,75.099998,75.720001,73.139999,73.57,57.931698,4526200
2009-11-02,73.860001,74.940002,73.349998,74.279999,58.490788,3931700
2009-11-03,74.010002,74.629997,73.639999,74.059998,58.317547,3479200
2009-11-04,74.68,75.279999,73.900002,74.07,58.32543199999999,4076200
2009-11-05,74.5,75.690002,74.459999,75.459999,59.419968000000004,3097600
2009-11-06,74.870003,75.809998,74.68,75.410004,59.3806,1865200
2009-11-09,75.93,77.279999,75.5,77.199997,60.790112,3950800
2009-11-10,77.040001,78.279999,77.040001,77.989998,61.412174,3503800
2009-11-11,78.089996,79.0,77.709999,77.959999,61.38855699999999,2876400
2009-11-12,77.910004,78.16999799999999,76.949997,77.209999,60.798007999999996,2451700
2009-11-13,77.220001,77.879997,76.720001,77.32,60.884602,2423500
2009-11-16,77.550003,78.290001,77.43,78.019997,61.435821999999995,2994500
2009-11-17,77.889999,78.790001,77.889999,78.779999,62.034241,3094600
2009-11-18,78.059998,78.129997,77.33000200000001,77.800003,61.66174300000001,2540500
2009-11-19,77.459999,77.639999,76.220001,77.25,61.225834,2527900
2009-11-20,77.120003,77.220001,76.25,76.639999,60.74238199999999,3027500
2009-11-23,77.150002,78.07,76.949997,77.730003,61.606274,3397500
2009-11-24,77.529999,77.870003,76.970001,77.610001,61.511157999999995,2776600
2009-11-25,77.870003,78.010002,77.489998,77.910004,61.748936,1939200
2009-11-27,76.120003,77.230003,76.120003,76.75,60.829556000000004,1865900
2009-11-30,76.889999,77.82,76.470001,77.440002,61.37645,3930100
2009-12-01,77.849998,79.0,77.839996,78.629997,62.319576,3058400
2009-12-02,78.41999799999999,79.139999,77.910004,78.410004,62.145229,2977300
2009-12-03,78.400002,78.660004,76.980003,77.150002,61.14658000000001,2992800
2009-12-04,77.58000200000001,78.599998,77.370003,78.239998,62.010498,4376000
2009-12-07,77.910004,78.860001,77.650002,77.910004,61.748936,3056100
2009-12-08,76.349998,77.43,76.0,77.110001,61.114861,5046700
2009-12-09,78.25,79.93,78.050003,79.739998,63.199352000000005,6599400
2009-12-10,79.959999,80.760002,79.720001,80.68,63.944324,5050900
2009-12-11,80.58000200000001,81.809998,80.449997,81.75,64.792389,4788800
2009-12-14,82.010002,82.16999799999999,81.639999,81.910004,64.91922,4999400
2009-12-15,82.099998,82.93,81.540001,82.699997,65.545326,4633000
2009-12-16,82.519997,83.019997,81.519997,81.720001,64.768623,3979200
2009-12-17,81.389999,81.480003,80.339996,80.470001,63.77794300000001,3841700
2009-12-18,80.800003,81.349998,80.550003,80.970001,64.174164,6667700
2009-12-21,81.029999,82.220001,80.93,81.43,64.53878,2761300
2009-12-22,81.849998,82.309998,81.540001,81.959999,64.958832,1844100
2009-12-23,81.959999,82.32,81.400002,82.190002,65.141129,1900200
2009-12-24,82.309998,83.0,82.309998,82.550003,65.42645300000001,931200
2009-12-28,82.779999,83.589996,82.66999799999999,83.449997,66.13974,2353800
2009-12-29,83.779999,84.32,83.650002,84.129997,66.678688,3865900
2009-12-30,84.0,84.300003,83.660004,83.900002,66.496414,2595000
2009-12-31,83.790001,84.08000200000001,82.540001,82.66999799999999,65.521553,2049800
2010-01-04,83.089996,83.449997,82.66999799999999,83.019997,65.798973,3043700
2010-01-05,82.800003,83.230003,81.699997,82.5,65.386833,2847000
2010-01-06,83.879997,84.599998,83.510002,83.66999799999999,66.314133,5268500
2010-01-07,83.32,83.760002,82.120003,83.730003,66.361694,4470100
2010-01-08,83.690002,84.32,83.300003,84.32,66.8293,3405800
2010-01-11,84.379997,84.599998,83.410004,83.980003,66.559814,2927100
2010-01-12,83.58000200000001,84.18,83.300003,84.050003,66.615303,3031800
2010-01-13,84.110001,84.110001,83.199997,83.779999,66.401299,3102000
2010-01-14,83.739998,83.93,83.41999799999999,83.5,66.17939,2634100
2010-01-15,83.519997,84.089996,82.870003,83.370003,66.076332,3955000
2010-01-19,83.82,85.16999799999999,83.5,85.120003,67.463348,4500400
2010-01-20,84.83000200000001,85.129997,83.589996,84.720001,67.14632399999999,3671200
2010-01-21,84.599998,84.599998,82.57,82.699997,65.545326,4783200
2010-01-22,82.400002,82.83000200000001,81.300003,81.480003,64.578384,4809000
2010-01-25,82.33000200000001,82.889999,81.480003,81.83000200000001,64.855835,3386600
2010-01-26,81.459999,82.730003,81.040001,81.629997,64.697266,3138000
2010-01-27,81.33000200000001,82.839996,81.010002,82.300003,65.228302,5066900
2010-01-28,82.620003,82.639999,79.110001,80.75,63.999843999999996,6820700
2010-01-29,81.349998,81.879997,80.18,80.489998,63.793774,4347000
2010-02-01,80.839996,80.889999,79.940002,80.440002,63.754116,3632700
2010-02-02,80.699997,80.940002,79.699997,80.43,63.746204000000006,4690000
2010-02-03,79.83000200000001,81.68,79.83000200000001,81.5,64.594254,3401300
2010-02-04,81.129997,81.129997,78.83000200000001,79.209999,62.779278000000005,5312600
2010-02-05,79.160004,79.5,77.260002,78.540001,62.248259999999995,5408000
2010-02-08,78.480003,78.480003,77.25,77.529999,61.447762,4407300
2010-02-09,78.279999,79.410004,77.900002,78.720001,62.3909,4252500
2010-02-10,78.800003,79.290001,78.0,78.620003,62.311645999999996,2445200
2010-02-11,79.220001,80.389999,78.839996,80.269997,63.619381000000004,5524500
2010-02-12,79.139999,79.230003,78.07,79.18,62.755478000000004,5443000
2010-02-16,80.08000200000001,80.639999,79.339996,80.470001,63.77794300000001,3619100
2010-02-17,80.41999799999999,80.690002,79.739998,80.139999,63.933464,3095200
2010-02-18,80.059998,81.18,80.059998,81.110001,64.707321,2702400
2010-02-19,81.139999,81.739998,80.610001,81.519997,65.034409,3217900
2010-02-22,81.709999,81.760002,80.550003,80.68,64.364281,3025400
2010-02-23,80.410004,81.089996,79.66999799999999,79.709999,63.590408,3981900
2010-02-24,80.0,80.599998,79.5,80.07,63.877605,3530700
2010-02-25,79.160004,79.769997,78.639999,79.739998,63.614365,4106300
2010-02-26,79.739998,80.33000200000001,79.099998,80.150002,63.941437,3224400
2010-03-01,80.57,80.949997,80.349998,80.58000200000001,64.284492,2545100
2010-03-02,80.739998,81.379997,80.58000200000001,81.129997,64.723267,3365600
2010-03-03,81.160004,81.68,80.860001,81.0,64.619545,2852300
2010-03-04,81.209999,81.360001,80.57,81.019997,64.63549,2620300
2010-03-05,81.349998,82.5,81.230003,82.440002,65.76835600000001,3142600
2010-03-08,82.41999799999999,82.529999,81.230003,81.309998,64.86685899999999,3627900
2010-03-09,81.150002,82.129997,80.739998,81.989998,65.40933199999999,4249800
2010-03-10,81.91999799999999,82.059998,81.25,81.559998,65.066315,3584600
2010-03-11,81.260002,81.540001,80.510002,81.260002,64.826973,4048100
2010-03-12,81.57,81.66999799999999,80.91999799999999,81.379997,64.922714,2945900
2010-03-15,81.160004,81.660004,80.779999,81.260002,64.826973,2622300
2010-03-16,81.260002,81.660004,80.529999,81.660004,65.14609499999999,4242200
2010-03-17,81.93,82.410004,81.650002,82.18,65.560921,3989700
2010-03-18,82.300003,83.75,82.0,83.66999799999999,66.749634,4939500
2010-03-19,81.959999,84.0,81.510002,81.959999,65.385414,6876200
2010-03-22,81.5,82.199997,81.5,81.839996,65.289688,3256700
2010-03-23,82.099998,82.410004,81.160004,82.349998,65.696556,4153100
2010-03-24,81.860001,82.300003,81.43,81.610001,65.106201,3102500
2010-03-25,82.010002,82.25,80.839996,80.93,64.563713,4942500
2010-03-26,81.099998,81.360001,80.75,81.0,64.619545,3815300
2010-03-29,81.239998,81.690002,81.029999,81.360001,64.906761,3102600
2010-03-30,82.360001,84.5,82.239998,84.279999,67.236237,8704600
2010-03-31,84.050003,84.459999,83.349998,83.57,66.66983,4336700
2010-04-01,83.870003,84.230003,83.400002,83.849998,66.89321899999999,2965800
2010-04-05,84.220001,84.480003,83.58000200000001,84.190002,67.16444399999999,2600800
