Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,8.55,8.61,8.31,8.34,8.34,798700
2009-09-14,8.25,8.59,8.21,8.54,8.54,430000
2009-09-15,8.5,8.5,8.36,8.37,8.37,585100
2009-09-16,8.37,8.5,8.27,8.47,8.47,397500
2009-09-17,8.43,8.54,8.35,8.48,8.48,417900
2009-09-18,8.51,8.52,8.34,8.46,8.46,1499900
2009-09-21,9.82,9.91,9.14,9.57,9.57,2918500
2009-09-22,10.15,10.64,10.06,10.47,10.47,3168000
2009-09-23,10.5,10.5,10.18,10.39,10.39,899700
2009-09-24,10.48,10.49,10.04,10.26,10.26,784100
2009-09-25,10.21,10.29,9.88,9.96,9.96,808900
2009-09-28,10.0,10.25,9.95,10.1,10.1,710400
2009-09-29,10.1,10.15,9.72,9.79,9.79,888300
2009-09-30,9.83,9.99,9.41,9.74,9.74,684100
2009-10-01,9.66,9.7,9.3,9.31,9.31,864300
2009-10-02,9.26,9.41,9.15,9.39,9.39,915700
2009-10-05,9.46,9.88,9.46,9.83,9.83,766800
2009-10-06,9.86,10.0,9.68,9.8,9.8,515700
2009-10-07,9.73,9.76,9.52,9.68,9.68,532500
2009-10-08,9.78,9.78,9.35,9.37,9.37,810500
2009-10-09,9.35,9.43,9.24,9.4,9.4,660400
2009-10-12,9.4,9.78,9.4,9.66,9.66,538200
2009-10-13,9.68,9.81,9.51,9.61,9.61,420100
2009-10-14,9.69,9.82,9.52,9.8,9.8,415300
2009-10-15,9.7,10.05,9.62,10.05,10.05,746000
2009-10-16,10.0,10.01,9.57,9.61,9.61,1137800
2009-10-19,9.62,9.78,9.51,9.55,9.55,549400
2009-10-20,9.54,9.63,9.28,9.4,9.4,520600
2009-10-21,9.35,9.6,9.25,9.29,9.29,788100
2009-10-22,9.3,9.58,9.18,9.45,9.45,898000
2009-10-23,9.46,9.46,8.93,9.07,9.07,733200
2009-10-26,9.11,9.24,8.55,8.57,8.57,904300
2009-10-27,8.58,8.83,8.31,8.39,8.39,995500
2009-10-28,8.33,8.41,7.97,8.07,8.07,969300
2009-10-29,8.13,8.54,8.12,8.46,8.46,1025600
2009-10-30,8.42,8.56,8.11,8.12,8.12,826500
2009-11-02,8.15,8.4,8.0,8.19,8.19,688200
2009-11-03,8.13,8.46,8.01,8.45,8.45,722200
2009-11-04,8.47,8.59,8.2,8.2,8.2,655500
2009-11-05,8.39,8.47,8.2,8.31,8.31,665400
2009-11-06,8.22,8.91,8.16,8.88,8.88,699100
2009-11-09,8.93,9.07,8.83,8.91,8.91,410600
2009-11-10,8.88,9.04,8.67,8.71,8.71,467000
2009-11-11,8.79,8.87,8.56,8.62,8.62,457500
2009-11-12,8.58,8.89,8.49,8.59,8.59,603900
2009-11-13,8.65,8.73,8.44,8.6,8.6,323800
2009-11-16,8.46,9.17,8.46,9.16,9.16,695300
2009-11-17,9.14,9.46,9.1,9.35,9.35,701600
2009-11-18,9.32,9.32,9.05,9.24,9.24,286300
2009-11-19,9.14,9.21,8.58,8.73,8.73,460100
2009-11-20,8.69,8.82,8.57,8.64,8.64,493300
2009-11-23,8.76,8.77,8.59,8.76,8.76,581800
2009-11-24,8.78,8.81,8.58,8.7,8.7,313400
2009-11-25,8.73,8.99,8.66,8.92,8.92,267000
2009-11-27,8.59,8.81,8.56,8.61,8.61,258200
2009-11-30,8.57,8.74,8.35,8.71,8.71,688700
2009-12-01,8.8,9.39,8.79,9.34,9.34,884500
2009-12-02,9.3,9.79,9.3,9.72,9.72,835600
2009-12-03,9.73,10.17,9.6,9.61,9.61,754900
2009-12-04,9.8,10.08,9.4,9.62,9.62,727400
2009-12-07,9.62,9.84,9.55,9.84,9.84,360700
