Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,16.43,16.49,16.200001,16.32,15.073770999999999,17818300
2009-09-14,16.08,16.209999,15.91,16.049999,14.824389000000002,12262900
2009-09-15,16.200001,16.58,16.049999,16.379998999999998,15.129191,13653400
2009-09-16,16.34,16.370001000000002,15.7,15.94,14.722792000000002,17676600
2009-09-17,15.9,15.9,14.97,15.24,14.076244,23077400
2009-09-18,15.39,15.5,15.1,15.22,14.057773999999998,15118500
2009-09-21,15.04,15.41,14.91,15.15,13.993115,14719400
2009-09-22,15.26,15.35,15.06,15.18,14.020826999999999,9034700
2009-09-23,15.27,15.4,14.92,14.94,13.799154000000001,11973400
2009-09-24,15.19,15.19,14.69,14.74,13.614428,13821900
2009-09-25,14.66,14.73,14.39,14.5,13.392752,9438900
2009-09-28,14.55,15.2,14.55,14.83,13.697551999999998,11692700
2009-09-29,14.92,15.1,14.53,14.56,13.448173,11773200
2009-09-30,14.86,15.21,14.53,15.03,13.882279,21898900
2009-10-01,14.98,14.98,13.95,13.96,12.893989,24999000
2009-10-02,13.82,14.15,13.74,13.85,12.792387,15311900
2009-10-05,14.0,14.05,13.54,13.78,12.727733,18856900
2009-10-06,13.95,14.25,13.85,14.01,12.940169000000001,19031800
2009-10-07,13.91,14.06,13.75,13.9,12.838571,11490200
2009-10-08,13.98,14.02,13.49,13.99,12.9217,31038100
2009-10-09,13.91,14.19,13.89,14.17,13.087954,15463500
2009-10-12,13.93,14.28,13.92,14.01,12.940169000000001,12475200
2009-10-13,14.09,14.25,13.83,13.96,12.893989,15053100
2009-10-14,14.5,14.5,13.87,13.94,12.875516000000001,27548700
2009-10-15,13.92,14.05,13.44,13.53,12.496822,27304900
2009-10-16,13.36,13.4,12.98,13.22,12.210499,25470800
2009-10-19,13.33,13.81,13.22,13.7,12.653841,17389700
2009-10-20,13.93,14.03,13.6,13.71,12.663078,16504500
2009-10-21,13.66,13.87,13.31,13.38,12.358279,12598900
2009-10-22,13.31,13.54,13.08,13.47,12.441403999999999,9483200
2009-10-23,13.65,13.65,13.07,13.15,12.145843,10738200
2009-10-26,13.25,13.45,12.91,12.98,11.988822,12041300
2009-10-27,12.92,13.11,12.41,12.54,11.582422,14795900
2009-10-28,12.26,12.54,11.96,12.02,11.10213,19340800
2009-10-29,12.21,12.61,12.1,12.55,11.591657000000001,15927500
2009-10-30,12.49,12.54,11.9,11.96,11.046714,15103600
2009-11-02,11.94,12.33,11.73,12.07,11.148314,14828400
2009-11-03,11.68,12.07,11.56,12.01,11.092896000000001,21911800
2009-11-04,12.1,12.23,11.93,11.98,11.065185000000001,22921000
2009-11-05,12.12,12.39,12.08,12.27,11.333041,23878900
2009-11-06,13.04,13.43,12.88,13.16,12.155078999999999,41027800
2009-11-09,13.34,13.65,13.33,13.46,12.432167,20453100
2009-11-10,13.51,13.51,12.96,13.13,12.127366,19536800
2009-11-11,13.35,13.82,13.33,13.5,12.469113,21787800
2009-11-12,13.62,13.85,13.42,13.46,12.432167,12646600
2009-11-13,13.45,13.63,13.39,13.56,12.524531,9713100
2009-11-16,13.68,13.91,13.61,13.75,12.700024,10070500
2009-11-17,13.76,13.76,13.47,13.73,12.681552,8753100
2009-11-18,13.6,13.65,13.29,13.52,12.487585000000001,11387900
2009-11-19,13.23,13.23,12.74,12.98,11.988822,20846000
2009-11-20,12.68,12.96,12.65,12.9,11.914933999999999,10668700
2009-11-23,13.09,13.33,12.94,13.0,12.007294,9773100
2009-11-24,12.94,13.03,12.71,12.92,11.933403,10462600
2009-11-25,13.07,13.25,12.98,13.07,12.071951,11044000
2009-11-27,12.6,12.94,12.53,12.79,11.813332,6998300
2009-11-30,12.84,13.07,12.7,13.06,12.062713,12745900
2009-12-01,13.13,13.47,13.06,13.32,12.30286,11548400
2009-12-02,13.35,13.75,13.27,13.72,12.672316,15057300
2009-12-03,13.88,14.13,13.81,13.83,12.773914,16500900
2009-12-04,14.09,14.32,13.87,14.26,13.171081,20614100
2009-12-07,15.85,16.450001,15.1,16.09,14.861336999999999,68304600
2009-12-08,15.83,15.9,15.22,15.31,14.140901999999999,26887800
2009-12-09,15.47,15.81,15.32,15.69,14.491882,16789700
2009-12-10,15.8,15.9,15.36,15.41,14.233264000000002,10425300
2009-12-11,15.54,15.56,15.17,15.21,14.048535000000001,10418600
2009-12-14,15.43,15.72,15.26,15.67,14.473408,10137200
