Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,15.08,15.45,15.0,15.11,12.274282000000001,5556000
2009-09-14,15.02,15.21,14.8,15.2,12.347392,3745900
2009-09-15,15.17,15.35,15.0,15.11,12.274282000000001,5203300
2009-09-16,15.14,15.6,15.0,15.6,12.672326,4880100
2009-09-17,15.54,15.6,15.17,15.28,12.412378,4877700
2009-09-18,15.4,15.9,15.32,15.78,12.818541999999999,5149100
2009-09-21,15.61,15.73,15.28,15.66,12.721065,4958700
2009-09-22,15.69,15.93,15.63,15.82,12.851037,5783700
2009-09-23,15.82,16.059998999999998,15.74,15.85,12.875409,6126900
2009-09-24,15.87,16.1,15.3,15.4,12.509856,5132700
2009-09-25,15.31,15.4,14.91,15.12,12.282407000000001,5134500
2009-09-28,15.16,15.76,15.03,15.71,12.76168,5462500
2009-09-29,15.72,15.85,15.51,15.62,12.688572,5987500
2009-09-30,15.7,15.84,15.14,15.69,12.745435,4448200
2009-10-01,15.57,15.57,14.84,14.97,12.16056,5585000
2009-10-02,14.8,15.09,14.52,14.95,12.144309,4792000
2009-10-05,15.11,15.25,14.89,15.18,12.331144,4159400
2009-10-06,15.19,15.32,14.91,15.03,12.209297,4910200
2009-10-07,15.1,15.11,14.62,14.79,12.014339,9690700
2009-10-08,14.97,15.13,14.76,15.06,12.233668,5917500
2009-10-09,14.99,15.15,14.86,15.1,12.266163,3514300
2009-10-12,15.1,15.36,15.08,15.11,12.274282000000001,1698500
2009-10-13,15.1,15.25,14.96,15.15,12.306778,2014800
2009-10-14,15.28,15.38,15.0,15.14,12.298653999999999,3417200
2009-10-15,15.06,15.19,14.94,15.18,12.331144,3132000
2009-10-16,15.01,15.18,14.79,15.03,12.209297,4559800
2009-10-19,15.12,15.34,15.0,15.06,12.233668,2191200
2009-10-20,15.11,15.11,14.89,15.04,12.217422000000001,4649800
2009-10-21,14.96,15.37,14.93,14.97,12.16056,5311700
2009-10-22,15.0,15.57,14.99,15.5,12.591092,3826700
2009-10-23,15.71,15.73,15.11,15.15,12.306778,3408500
2009-10-26,15.14,15.42,14.76,14.82,12.038708999999999,3775600
2009-10-27,14.87,15.11,14.67,14.82,12.038708999999999,5803300
2009-10-28,14.48,14.59,13.66,13.99,11.364472,10874800
2009-10-29,14.21,14.75,14.08,14.54,11.811256,6225800
2009-10-30,14.42,14.6,14.15,14.51,11.786885,6583300
2009-11-02,14.22,14.4,13.88,14.12,11.470077,6071400
2009-11-03,13.82,14.27,13.82,14.14,11.486325,5247200
2009-11-04,14.23,14.58,14.07,14.23,11.559433,5778300
2009-11-05,14.32,14.69,14.27,14.52,11.795011,4139600
2009-11-06,14.49,14.63,14.32,14.42,11.713777,4669900
2009-11-09,14.52,15.0,14.51,14.99,12.176803999999999,2531800
2009-11-10,14.93,15.01,14.71,14.93,12.128064,2643400
