Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.75,11.8575,11.5875,11.6375,9.425546,4897200
2009-09-14,11.575,11.89,11.56,11.88,9.621953,4712000
2009-09-15,11.8825,11.98,11.67,11.86,9.605756,6021200
2009-09-16,11.8375,12.0,11.77,11.9975,9.717121,5725600
2009-09-17,11.975,12.06,11.825,11.845,9.593608,7720000
2009-09-18,11.9325,11.935,11.78,11.8475,9.595632,7096000
2009-09-21,11.75,11.995,11.7225,11.9775,9.700923,6222400
2009-09-22,11.995,12.125,11.92,12.0,9.719147,5219600
2009-09-23,12.0675,12.0675,11.79,11.79,9.549061,4427200
2009-09-24,11.8025,11.88,11.735,11.805,9.561212,2978800
2009-09-25,11.825,11.885,11.6875,11.7575,9.522739,6110400
2009-09-28,11.7225,12.06,11.7225,12.0425,9.753569,4460000
2009-09-29,12.0125,12.145,11.9425,12.0225,9.737369000000001,5666800
2009-09-30,12.0725,12.0725,11.795,11.9425,9.672575,4913200
2009-10-01,11.9425,11.9575,11.64,11.6475,9.433646000000001,8781200
2009-10-02,11.665,11.72,11.475,11.5025,9.31621,7398800
2009-10-05,11.6875,11.695,11.4975,11.645,9.431624000000001,6208400
2009-10-06,11.705,12.1175,11.675,12.115,9.812287,9275200
2009-10-07,12.05,12.16,11.9,12.075,9.779889,6904400
2009-10-08,12.36,12.625,11.6775,11.7475,9.514639,22700800
2009-10-09,11.68,11.735,11.2225,11.3,9.152194999999999,22286800
2009-10-12,11.385,11.49,11.2925,11.3975,9.231164,9850000
2009-10-13,11.375,11.6175,11.3125,11.52,9.33038,7250000
2009-10-14,11.55,11.67,11.49,11.595,9.391124000000001,7903600
2009-10-15,11.5075,11.605,11.295,11.36,9.200792999999999,9010800
2009-10-16,11.3175,11.555,11.155,11.43,9.257488,8088400
2009-10-19,11.48,11.6475,11.36,11.6175,9.409348,5379600
2009-10-20,11.6175,11.6175,11.4075,11.47,9.289882,3968000
2009-10-21,11.4125,11.6475,11.345,11.3475,9.190665,6597200
2009-10-22,11.405,11.7475,11.4,11.64,9.427572,6580800
2009-10-23,11.6025,11.695,11.4325,11.53,9.338478,4232000
2009-10-26,11.5125,11.7575,11.475,11.485,9.302033,5744800
2009-10-27,11.475,11.58,11.2075,11.2625,9.121824,9164400
2009-10-28,11.285,11.35,10.94,10.9475,8.866696000000001,8558000
2009-10-29,11.01,11.2075,10.9325,11.15,9.030705000000001,4967600
2009-10-30,11.08,11.3125,10.9675,11.0025,8.911241,9427200
2009-11-02,11.0725,11.305,11.0175,11.1975,9.069180000000001,8131200
2009-11-03,11.145,11.3175,10.9925,11.3125,9.162317999999999,6511200
2009-11-04,11.4225,11.48,11.1825,11.22,9.087402,6321200
2009-11-05,11.255,11.465,11.1475,11.385,9.221036999999999,8520000
2009-11-06,11.3825,11.4625,11.1375,11.405,9.237237,6042000
2009-11-09,11.4975,11.6175,11.3925,11.57,9.370875,5227200
2009-11-10,11.57,11.6225,11.5225,11.575,9.374927,7270400
2009-11-11,11.6925,11.84,11.6075,11.685,9.464018,5740800
2009-11-12,11.7325,11.805,11.4325,11.45,9.273683,6824400
2009-11-13,11.4975,11.6,11.385,11.5025,9.31621,4570800
2009-11-16,11.5275,11.645,11.4725,11.56,9.36278,4777600
2009-11-17,11.5575,11.64,11.2625,11.3975,9.231164,7506800
2009-11-18,11.3975,11.5775,11.3625,11.5175,9.328353,7208800
2009-11-19,11.3,11.3725,11.11,11.2125,9.081325999999999,15661600
2009-11-20,11.22,11.2375,10.9275,10.9525,8.870747,12527600
2009-11-23,11.025,11.18,10.9625,10.9875,8.899091,8571200
2009-11-24,11.0725,11.1275,10.9875,11.07,8.965912,6252800
2009-11-25,10.95,11.25,10.95,11.23,9.095499,6108000
2009-11-27,10.9675,11.2375,10.815,11.0725,8.967936,2468000
2009-11-30,11.0525,11.14,10.875,10.995,8.905169,8399600
2009-12-01,11.045,11.1525,11.0025,11.0975,8.988184,7094800
2009-12-02,11.0725,11.2325,11.035,11.085,8.978064,4556000
2009-12-03,11.145,11.2,10.935,10.9375,8.858597,12372000
2009-12-04,10.9625,11.0975,10.8575,10.9075,8.924049,9541200
2009-12-07,10.9225,11.07,10.8625,10.965,8.971094,3603600
2009-12-08,10.895,10.98,10.75,10.8875,8.907686,6454400
2009-12-09,10.83,10.88,10.7,10.735,8.782917,5911600
