Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,19.129998999999998,19.190001000000002,18.75,19.049999,15.939178,792000
2009-09-14,19.51,20.23,19.379998999999998,20.16,16.867924,1706200
2009-09-15,20.35,20.629998999999998,20.200001,20.52,17.16914,1095500
2009-09-16,20.58,20.84,20.25,20.75,17.361578,772200
2009-09-17,20.639999,20.92,20.299999,20.43,17.093832,1163200
2009-09-18,20.780001000000002,20.780001000000002,20.360001,20.58,17.219339,998400
2009-09-21,20.360001,20.459999,20.15,20.360001,17.035267,675500
2009-09-22,20.48,20.5,20.27,20.360001,17.035267,401500
2009-09-23,20.459999,20.459999,19.93,19.959999,16.700584,568800
2009-09-24,20.01,20.1,19.530001000000002,19.58,16.382635,719900
2009-09-25,19.540001,19.700001,19.23,19.41,16.240393,614600
2009-09-28,19.540001,19.92,19.4,19.809998999999998,16.575081,509900
2009-09-29,19.620001000000002,20.07,19.620001000000002,19.889999,16.642019,724400
2009-09-30,19.950001,20.0,19.360001,19.629998999999998,16.424471,856300
2009-10-01,19.620001000000002,19.620001000000002,18.889999,18.950001,15.855514999999999,1184200
2009-10-02,18.91,19.01,18.629998999999998,18.780001000000002,15.713275,1027000
2009-10-05,18.84,19.23,18.73,19.200001,16.064686,957600
2009-10-06,19.42,19.530001000000002,18.91,19.18,16.047956,1058100
2009-10-07,19.08,19.379998999999998,18.99,19.379998999999998,16.2153,780400
2009-10-08,19.559998999999998,19.83,19.43,19.68,16.466309,886800
2009-10-09,19.719998999999998,19.799999,19.48,19.799999,16.566713,432500
2009-10-12,19.809998999999998,20.049999,19.76,19.82,16.583437,357000
2009-10-13,19.799999,20.1,19.75,20.040001,16.767519,704200
2009-10-14,20.27,20.540001,20.139999,20.4,17.068732999999998,774000
2009-10-15,20.24,20.5,20.15,20.48,17.135672,789100
2009-10-16,20.4,20.450001,19.98,20.219998999999998,16.918125,653500
2009-10-19,20.209999,20.59,20.139999,20.549999,17.194235,613800
2009-10-20,21.18,21.35,20.76,20.940001000000002,17.520554,1222000
2009-10-21,20.940001000000002,21.290001,20.450001,20.49,17.144035000000002,1121100
2009-10-22,20.540001,20.709999,20.299999,20.68,17.303007,980900
2009-10-23,20.719998999999998,20.719998999999998,20.02,20.24,16.93486,970900
2009-10-26,20.23,20.58,19.700001,19.9,16.650381,835700
2009-10-27,20.01,20.379998999999998,19.799999,19.860001,16.616915,1399900
2009-10-28,21.25,21.379998999999998,19.33,19.6,16.39937,3266000
2009-10-29,19.790001,20.040001,19.68,19.91,16.658747,1506300
2009-10-30,19.809998999999998,19.969998999999998,18.940001000000002,19.23,16.089792000000003,2197700
2009-11-02,19.32,20.030001000000002,19.290001,19.65,16.44121,2006700
2009-11-03,19.459999,20.65,19.450001,20.540001,17.185871,2593800
2009-11-04,20.73,21.120001000000002,20.25,20.32,17.001795,2112100
2009-11-05,20.35,20.98,20.35,20.950001,17.528919000000002,1880200
2009-11-06,20.82,21.15,20.709999,20.959999,17.537287,1114100
2009-11-09,21.18,21.9,21.17,21.879998999999998,18.307056,1295300
2009-11-10,21.809998999999998,21.969998999999998,21.719998999999998,21.799999,18.24012,1309300
2009-11-11,22.0,22.25,21.809998999999998,21.98,18.39072,1646000
2009-11-12,22.0,22.35,21.6,21.65,18.114611,1414100
2009-11-13,21.58,21.83,21.51,21.799999,18.24012,1883200
2009-11-16,21.91,22.540001,21.91,22.41,18.750507,1456500
2009-11-17,22.4,22.6,22.15,22.530001000000002,18.850908,1127500
2009-11-18,22.52,22.67,22.299999,22.459999,18.792339000000002,1074100
2009-11-19,22.129998999999998,22.309998999999998,21.85,22.120001000000002,18.507862,807100
2009-11-20,21.879998999999998,22.280001000000002,21.83,22.15,18.532961,900900
2009-11-23,22.52,22.82,22.48,22.59,18.90111,926300
2009-11-24,22.67,22.809998999999998,22.35,22.42,18.758867000000002,841700
