Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,14.57,14.58,13.7,13.88,13.011536,9719200
2009-09-14,13.74,14.05,13.73,13.86,12.992787,4266200
2009-09-15,13.87,13.89,13.61,13.74,12.880296000000001,4263400
2009-09-16,13.95,13.95,13.55,13.8,12.936542999999999,5046900
2009-09-17,13.98,14.01,13.56,13.59,12.739681,4905400
2009-09-18,13.59,13.78,13.42,13.56,12.711558,4503900
2009-09-21,13.5,14.19,13.49,13.95,13.077156,5134600
2009-09-22,14.18,14.18,13.86,13.87,13.002161,2854700
2009-09-23,13.89,14.05,13.62,13.66,12.805301,4311000
2009-09-24,13.75,13.95,13.11,13.22,12.392831,5262800
2009-09-25,13.03,13.21,12.82,12.94,12.130351,5501800
2009-09-28,13.05,13.48,13.02,13.23,12.402205,2992400
2009-09-29,13.28,13.48,12.99,13.0,12.186598,2970800
2009-09-30,13.0,13.44,13.0,13.24,12.411581,4559000
2009-10-01,13.25,13.28,12.13,12.15,11.38978,10274900
2009-10-02,11.95,12.25,11.8,11.9,11.155422999999999,9023900
2009-10-05,12.02,12.18,11.69,11.99,11.239792,5971900
2009-10-06,12.24,12.52,12.15,12.34,11.567894,5336200
2009-10-07,12.23,12.3,11.9,12.01,11.25854,4629300
2009-10-08,12.18,12.2,11.66,11.81,11.071055,5299600
2009-10-09,11.81,12.43,11.78,12.41,11.633512,8246100
2009-10-12,12.51,12.69,12.15,12.22,11.4554,4345800
2009-10-13,12.18,12.32,12.0,12.04,11.286664,3194800
2009-10-14,12.4,12.55,12.15,12.49,11.708508,7216300
2009-10-15,12.33,12.35,11.92,11.99,11.239792,5669300
2009-10-16,11.87,11.88,11.18,11.47,10.752327000000001,7554600
2009-10-19,11.66,11.78,11.37,11.66,10.930442,3654600
2009-10-20,11.96,12.24,11.82,11.91,11.164797,7833400
2009-10-21,12.0,12.05,11.62,11.64,10.911692,4676900
2009-10-22,11.22,11.28,10.7,11.14,10.442976,14616700
2009-10-23,11.35,11.39,10.89,10.99,10.302361,5974500
2009-10-26,11.0,11.2,10.57,10.67,10.002385,5304200
2009-10-27,10.62,10.72,10.16,10.37,9.721153,7064000
2009-10-28,10.37,10.77,10.15,10.27,9.627413,6977700
2009-10-29,10.41,10.6,10.34,10.45,9.796149,4395300
2009-10-30,10.42,10.79,10.25,10.43,9.777399,7736900
2009-11-02,10.49,10.56,10.05,10.32,9.674282,5907500
2009-11-03,10.2,10.43,10.05,10.41,9.75865,3533600
