Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,11.35,12.1,11.23,11.58,11.58,4845200
2009-09-14,11.46,11.58,11.33,11.49,11.49,1506400
2009-09-15,11.51,11.75,11.43,11.48,11.48,1249400
2009-09-16,12.1,12.21,11.78,12.12,12.12,2980500
2009-09-17,12.07,12.14,11.59,11.64,11.64,2017900
2009-09-18,11.7,11.85,11.47,11.73,11.73,1346000
2009-09-21,11.31,11.63,10.99,11.15,11.15,3545600
2009-09-22,11.23,11.79,11.19,11.72,11.72,2528000
2009-09-23,11.68,12.02,11.62,11.74,11.74,2106200
2009-09-24,11.73,11.87,11.3,11.43,11.43,1105000
2009-09-25,11.35,11.39,11.1,11.25,11.25,1155500
2009-09-28,11.33,11.6,11.31,11.52,11.52,724800
2009-09-29,11.55,11.64,11.4,11.42,11.42,1011700
2009-09-30,11.5,11.51,11.11,11.21,11.21,1275400
2009-10-01,11.2,11.34,10.76,10.83,10.83,1367300
2009-10-02,10.61,11.05,10.55,10.87,10.87,1004600
2009-10-05,10.94,11.22,10.88,10.99,10.99,975600
2009-10-06,11.03,11.28,10.91,11.15,11.15,1067200
2009-10-07,11.15,11.24,10.97,11.2,11.2,668400
2009-10-08,11.26,11.54,11.18,11.52,11.52,1427600
2009-10-09,11.55,11.79,11.5,11.61,11.61,790800
2009-10-12,11.63,11.78,11.45,11.48,11.48,1385800
2009-10-13,11.5,11.67,11.36,11.66,11.66,761500
2009-10-14,11.77,11.99,11.51,11.81,11.81,1746500
2009-10-15,11.65,11.87,11.41,11.52,11.52,1806200
2009-10-16,11.48,11.65,11.15,11.18,11.18,3001000
2009-10-19,11.24,11.32,11.04,11.21,11.21,1108400
2009-10-20,11.19,11.4,10.81,10.88,10.88,2260800
2009-10-21,10.78,11.13,10.6,10.93,10.93,3631200
2009-10-22,10.93,11.22,10.78,11.13,11.13,1646100
2009-10-23,11.17,12.5,11.14,11.86,11.86,8456000
2009-10-26,11.83,12.57,11.83,11.99,11.99,3900800
2009-10-27,11.98,12.33,11.83,12.17,12.17,2467000
2009-10-28,12.09,12.09,11.3,11.43,11.43,3320400
2009-10-29,11.5,11.83,11.44,11.59,11.59,1707800
2009-10-30,11.49,11.57,10.82,10.97,10.97,2003100
2009-11-02,11.0,11.13,10.77,10.9,10.9,2235500
2009-11-03,10.88,11.1,10.8,10.99,10.99,2066800
2009-11-04,11.04,11.22,10.9,11.09,11.09,1520400
2009-11-05,11.14,11.45,11.05,11.42,11.42,1329000
2009-11-06,11.29,11.66,11.19,11.41,11.41,747000
2009-11-09,11.47,11.79,11.47,11.73,11.73,1569500
2009-11-10,11.72,11.8,11.54,11.56,11.56,1636900
2009-11-11,11.68,11.83,11.5,11.75,11.75,1282600
2009-11-12,11.77,11.9,11.44,11.56,11.56,1427800
2009-11-13,11.65,11.98,11.49,11.92,11.92,1889900
2009-11-16,12.0,12.15,11.81,11.88,11.88,2052700
2009-11-17,11.9,11.99,11.75,11.97,11.97,1173300
2009-11-18,11.94,11.95,11.56,11.67,11.67,1323000
2009-11-19,11.56,11.57,11.2,11.28,11.28,1520500
2009-11-20,11.16,11.34,11.08,11.2,11.2,1268200
2009-11-23,11.36,11.66,11.34,11.42,11.42,698500
2009-11-24,11.36,11.57,11.26,11.57,11.57,786600
2009-11-25,11.58,11.83,11.4,11.68,11.68,1646000
2009-11-27,11.37,11.39,11.14,11.24,11.24,418000
2009-11-30,11.2,11.29,10.99,11.25,11.25,1005100
2009-12-01,11.35,11.63,11.34,11.4,11.4,971200
2009-12-02,11.44,11.51,11.18,11.31,11.31,1432400
2009-12-03,11.35,11.39,10.87,10.92,10.92,4065700
2009-12-04,7.5,7.96,7.0,7.74,7.74,52797400
2009-12-07,7.84,8.14,7.79,7.91,7.91,13986600
2009-12-08,7.82,8.04,7.77,7.9,7.9,5205500
2009-12-09,7.97,7.97,7.71,7.85,7.85,4064000
2009-12-10,7.99,7.99,7.65,7.78,7.78,4082500
2009-12-11,7.81,7.88,7.71,7.8,7.8,3145500
2009-12-14,7.86,7.93,7.76,7.92,7.92,2054900
2009-12-15,7.91,8.32,7.82,8.06,8.06,4927300
