Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,64.0,65.879997,63.599998,64.5,44.245106,4661900
2009-09-14,63.939999,69.410004,63.939999,69.110001,47.407425,5436700
2009-09-15,70.57,73.220001,69.150002,72.470001,49.71228,8088000
2009-09-16,73.519997,73.620003,68.269997,68.91999799999999,47.277081,9046300
2009-09-17,69.599998,71.690002,68.059998,69.190002,47.462296,5717300
2009-09-18,70.349998,70.610001,68.150002,69.160004,47.441734000000004,3353800
2009-09-21,68.389999,72.199997,67.900002,68.68,47.112465,5872500
2009-09-22,70.160004,73.860001,69.800003,72.940002,50.034683,8004100
2009-09-23,74.25,74.900002,71.300003,71.660004,49.156653999999996,5394500
2009-09-24,72.110001,72.449997,67.860001,69.559998,47.716103000000004,5025900
2009-09-25,68.889999,71.779999,68.790001,70.25,48.189426,3770400
2009-09-28,70.660004,72.360001,69.33000200000001,71.25,48.875403999999996,3538600
2009-09-29,70.989998,74.150002,70.93,73.25,50.247337,4086800
2009-09-30,74.489998,74.5,69.599998,70.889999,48.62846,6548500
2009-10-01,70.099998,70.459999,65.25,65.599998,44.999668,6079600
2009-10-02,65.349998,69.199997,63.25,67.660004,46.412766,8235200
2009-10-05,67.82,69.150002,66.610001,68.230003,46.803776,5074900
2009-10-06,68.889999,69.83000200000001,67.559998,68.639999,47.085033,5272300
2009-10-07,67.910004,69.440002,66.449997,67.349998,46.200127,3703800
2009-10-08,68.5,70.809998,67.540001,69.910004,47.956192,5589900
2009-10-09,70.970001,71.5,66.75,67.82,46.522529999999996,7107800
2009-10-12,68.099998,69.150002,64.029999,65.879997,45.191734000000004,9635400
2009-10-13,65.220001,67.529999,65.059998,66.0,45.274059,4580200
2009-10-14,67.75,68.160004,66.5,67.129997,46.049209999999995,3866400
2009-10-15,65.489998,65.660004,62.869999,64.980003,44.574368,7979600
2009-10-16,64.209999,65.760002,63.27,64.370003,44.15591,4469500
2009-10-19,64.980003,65.099998,63.080002,64.660004,44.354862,3479900
2009-10-20,65.209999,65.230003,63.310001,63.740002000000004,43.723759,3287900
2009-10-21,63.490002000000004,64.879997,62.099998,62.279999,42.72224,3211000
2009-10-22,62.150002,63.889998999999996,60.200001,63.380001,43.476814000000005,4265900
2009-10-23,63.900002,65.860001,62.150002,62.459998999999996,42.845721999999995,3855000
2009-10-26,62.48,64.540001,62.18,63.07,43.264164,4535100
2009-10-27,61.32,61.330002,55.200001,56.130001,38.503521,14308000
2009-10-28,56.990002000000004,57.25,53.150002,53.869999,36.953232,7419900
2009-10-29,54.720001,57.189999,54.52,56.290001000000004,38.613274,5340200
2009-10-30,57.0,57.75,52.459998999999996,54.220001,37.193317,6795400
2009-11-02,54.049999,54.75,51.73,53.73,36.857203999999996,5457500
2009-11-03,52.830002,56.799999,52.540001000000004,56.130001,38.503521,4532100
2009-11-04,57.290001000000004,57.599998,55.060001,55.27,37.913596999999996,3803200
2009-11-05,56.990002000000004,59.919998,56.049999,59.84,41.048473,5422000
2009-11-06,58.25,59.950001,58.09,59.73,40.973019,4483700
2009-11-09,63.799999,64.440002,62.23,63.540001000000004,43.586571,6038300
2009-11-10,62.900002,64.459999,62.060001,64.089996,43.963844,4899500
2009-11-11,65.089996,66.970001,65.08000200000001,66.540001,45.644478,5278400
2009-11-12,66.66999799999999,68.720001,66.349998,67.610001,46.378487,4815800
2009-11-13,68.860001,69.599998,68.510002,69.0,47.331982,4744500
2009-11-16,70.0,70.0,68.099998,68.510002,46.99585,4894400
2009-11-17,65.620003,67.379997,64.660004,66.989998,48.802535999999996,4072000
2009-11-18,66.5,67.190002,65.269997,66.0,48.081314,2208000
2009-11-19,63.98,64.690002,62.580002,64.139999,46.726288000000004,2808100
2009-11-20,63.009997999999996,65.209999,63.009997999999996,63.880001,46.536896,2077400
2009-11-23,65.089996,65.260002,63.650002,63.779999,46.464031,2527500
2009-11-24,63.32,63.950001,62.5,63.02,45.910362,1726200
2009-11-25,63.5,65.540001,62.849998,65.370003,47.622364000000005,2656700
