Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,15.74,16.110001,15.52,15.89,14.811035999999998,6618000
2009-09-14,15.73,16.360001,15.68,16.360001,15.249122,4541600
2009-09-15,16.299999,18.309998999999998,16.23,18.120001000000002,16.889612,11308600
2009-09-16,17.85,20.360001,17.75,19.309998999999998,17.998808,15279600
2009-09-17,18.5,19.639999,18.15,18.27,17.029429999999998,10546500
2009-09-18,18.4,18.68,17.93,18.4,17.150599,6114200
2009-09-21,18.24,18.540001,17.879998999999998,18.200001,16.964184,3315300
2009-09-22,18.370001000000002,19.25,18.27,19.07,17.775114000000002,6023200
2009-09-23,18.559998999999998,19.200001,18.5,18.639999,17.37431,3964100
2009-09-24,18.780001000000002,19.02,17.389999,17.75,16.544735,6455300
2009-09-25,17.67,17.940001000000002,17.51,17.780001000000002,16.572706,4135900
2009-09-28,17.9,18.190001000000002,17.67,18.190001000000002,16.954857,3617500
2009-09-29,18.5,19.049999,18.190001000000002,18.190001000000002,16.954857,4450900
2009-09-30,18.23,18.41,17.65,17.969998999999998,16.749804,4414800
2009-10-01,18.1,18.190001000000002,16.34,16.379998999999998,15.267764999999999,7246900
2009-10-02,16.110001,16.99,16.059998999999998,16.68,15.547392000000002,7521400
2009-10-05,16.629998999999998,17.129998999999998,16.549999,17.129998999999998,15.966830999999999,4421000
2009-10-06,17.370001000000002,18.76,17.200001,17.360001,16.181225,7873000
2009-10-07,17.58,17.58,16.98,17.34,16.162579,3187200
2009-10-08,17.530001000000002,17.59,17.01,17.139999,15.976156,4937700
2009-10-09,17.15,17.309998999999998,16.91,17.27,16.097328,4425900
2009-10-12,17.110001,17.4,16.959999,17.0,15.845666,3740200
2009-10-13,17.200001,18.200001,17.059998999999998,18.02,16.796408,8859700
2009-10-14,18.17,18.73,17.75,18.65,17.383629,7084800
2009-10-15,18.5,18.99,18.33,18.82,17.542084,4154800
2009-10-16,18.440001000000002,19.030001000000002,17.84,18.17,16.936214,7092700
2009-10-19,18.23,18.629998999999998,17.83,18.33,17.085354000000002,6857900
2009-10-20,17.030001000000002,17.9,16.719998999999998,17.23,16.060049,12417800
2009-10-21,17.07,17.280001000000002,16.58,16.73,15.593998999999998,9061500
2009-10-22,16.67,17.440001000000002,16.4,17.379998999999998,16.199863,8972100
2009-10-23,17.34,17.389999,16.5,16.82,15.677887,6489500
