Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,12.45,12.45,12.175,12.25,10.400761,4035600
2009-09-14,12.1775,12.51,12.1775,12.51,10.62151,2753600
2009-09-15,12.5425,12.785,12.415,12.755,10.829526,3107600
2009-09-16,12.8275,13.0425,12.74,12.9975,11.035419000000001,3533200
2009-09-17,12.94,12.9775,12.58,12.6175,10.71278,4921200
2009-09-18,12.665,12.835,12.6525,12.7325,10.810424000000001,3201200
2009-09-21,12.6075,12.84,12.535,12.8025,10.869856,2861200
2009-09-22,12.8775,12.885,12.6275,12.6575,10.746742999999999,1213200
2009-09-23,12.6575,12.6575,12.33,12.3425,10.479296000000001,2414000
2009-09-24,12.33,12.3675,12.1475,12.25,10.400761,3030800
2009-09-25,12.22,12.3425,12.1125,12.235,10.388025,2881200
2009-09-28,12.3175,12.565,12.2125,12.5525,10.657597,2581200
2009-09-29,12.55,12.61,12.41,12.4675,10.585423,3164800
2009-09-30,12.47,12.49,12.12,12.3,10.443213,4764800
2009-10-01,12.3,12.4125,12.19,12.2625,10.411375999999999,6782400
2009-10-02,12.1375,12.4425,12.0625,12.215,10.371042,3781200
2009-10-05,12.2825,12.5775,12.27,12.5275,10.636366,2385600
2009-10-06,12.635,12.69,12.4225,12.46,10.579058999999999,3739200
2009-10-07,12.395,12.6475,12.37,12.6475,10.738254,2531200
2009-10-08,12.7475,12.835,12.6825,12.7875,10.857123,2782800
2009-10-09,12.785,12.895,12.745,12.89,10.944148,2592800
2009-10-12,13.0125,13.1125,12.905,13.0175,11.052401,4722400
2009-10-13,12.945,12.9875,12.775,12.92,10.969617,2597200
2009-10-14,12.9625,13.115,12.9175,13.065,11.092731,3587200
2009-10-15,13.005,13.095,12.725,13.05,11.079994000000001,4266000
2009-10-16,13.01,13.025,12.81,12.83,10.893205,3410000
2009-10-19,12.83,12.9925,12.75,12.925,10.973861999999999,2915600
2009-10-20,12.9425,12.965,12.7425,12.86,10.918674000000001,3056000
2009-10-21,12.8325,13.01,12.6575,12.6675,10.755234,3010800
2009-10-22,12.6925,12.84,12.615,12.775,10.846507,2025600
2009-10-23,12.7625,12.825,12.4625,12.54,10.646984,2544000
2009-10-26,12.5325,12.705,12.3675,12.46,10.579058999999999,2257200
2009-10-27,12.48,12.605,12.41,12.4625,10.581180999999999,3891200
2009-10-28,12.4725,12.4725,12.0525,12.1075,10.279771,5977600
2009-10-29,12.4325,12.62,12.04,12.6075,10.704294,6049200
2009-10-30,12.5425,12.6975,12.28,12.3325,10.470805,6671200
2009-11-02,12.3225,12.4925,12.08,12.24,10.392271000000001,3690000
2009-11-03,12.19,12.37,12.1075,12.3125,10.453824000000001,5186400
2009-11-04,12.355,12.4475,12.16,12.1875,10.347693,2894400
2009-11-05,12.2425,12.42,12.2275,12.3175,10.458072,2351200
2009-11-06,12.27,12.435,12.2325,12.375,10.50689,2479600
2009-11-09,12.5625,12.715,12.3825,12.715,10.795567,2340000
2009-11-10,12.6975,12.75,12.5225,12.61,10.706416,3608800
2009-11-11,12.6825,12.7425,12.5325,12.6,10.697927,1383200
2009-11-12,12.6175,12.655,12.435,12.485,10.600283000000001,2093200
2009-11-13,12.4675,12.5625,12.365,12.53,10.638492,1926000
2009-11-16,12.5775,12.7625,12.545,12.725,10.804053,2429200
2009-11-17,12.725,12.8575,12.635,12.83,10.893205,3074000
2009-11-18,12.7875,12.845,12.665,12.7625,10.835892999999999,1961600
2009-11-19,12.675,12.735,12.505,12.625,10.719151,2864400
2009-11-20,12.5,12.6475,12.5,12.5975,10.695801,1817600
2009-11-23,12.75,12.8675,12.595,12.6825,10.767972,2825600
2009-11-24,12.7125,12.7375,12.4875,12.5925,10.691557000000001,2599200
2009-11-25,12.6575,12.6975,12.5875,12.6875,10.772217,1427600
2009-11-27,12.385,12.5275,12.3125,12.4625,10.665242,1509600
2009-11-30,12.43,12.46,12.28,12.3525,10.571105000000001,2864800
2009-12-01,12.39,12.4925,12.3825,12.405,10.616033999999999,3011600
2009-12-02,12.4275,12.45,12.22,12.2675,10.498363000000001,3743200
2009-12-03,12.2625,12.3425,12.07,12.085,10.342184,3944400
2009-12-04,12.2675,12.345,12.115,12.3,10.526176,7510000
2009-12-07,12.2525,12.5625,12.2525,12.5175,10.71231,4478400
2009-12-08,12.4575,13.05,12.3575,12.985,11.112391,9897600
2009-12-09,13.015,13.015,12.71,12.8475,10.99472,6929200
2009-12-10,12.9225,12.9775,12.8,12.8625,11.007559,3216400
2009-12-11,12.9225,12.97,12.8275,12.8725,11.016116,2381200
2009-12-14,12.945,13.09,12.9025,13.035,11.155180999999999,3265600
2009-12-15,13.0175,13.0175,12.8775,12.9825,11.110254,3204800
2009-12-16,13.015,13.07,12.915,13.0425,11.161599,3406400
2009-12-17,13.015,13.015,12.82,12.825,10.975467,2533200
2009-12-18,12.9375,12.9375,12.7325,12.815,10.966908,3071600
2009-12-21,12.84,12.9175,12.7975,12.8925,11.033228,2864000
2009-12-22,12.9325,13.0425,12.8725,12.9475,11.080297,1436800
2009-12-23,12.9475,13.0125,12.935,12.9425,11.076017,1956000
2009-12-24,12.93,13.075,12.93,13.005,11.129505,540800
2009-12-28,13.015,13.055,12.9725,13.03,11.150899,1594800
2009-12-29,13.02,13.08,13.01,13.04,11.159460000000001,2178400
2009-12-30,13.0275,13.0925,12.9975,13.03,11.150899,882800
2009-12-31,13.025,13.095,12.925,12.925,11.061042,1334400
2010-01-04,12.965,13.1375,12.955,13.1225,11.230062,2468400
2010-01-05,13.0825,13.095,12.9375,12.975,11.103833,3053600
2010-01-06,12.98,13.03,12.91,13.0,11.125229,1879200
2010-01-07,12.935,12.9875,12.8725,12.97,11.099551,2105600
