Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",81.08,-0.6,-0.73%,81.92,80.89,1071400,04/11/19
AAL,"American Airlines Gp",34.81,0.79,+2.32%,34.97,33.91,7352400,04/11/19
AAP,"Advance Auto Parts Inc",180.96,2.16,+1.21%,181.02,177.89,705300,04/11/19
AAPL,"Apple Inc",198.95,-1.67,-0.83%,201,198.44,20900801,04/11/19
ABBV,"Abbvie Inc",81.77,-1.18,-1.42%,83.25,81.23,9094100,04/11/19
ABC,"Amerisourcebergen Corp",74.18,0.18,+0.24%,75.27,73.46,1603600,04/11/19
ABMD,"Abiomed Inc",271.89,-8.65,-3.08%,280.49,270.25,849800,04/11/19
ABT,"Abbott Laboratories",78.51,-0.46,-0.58%,79.23,78.35,4432100,04/11/19
ACN,"Accenture Plc",178.36,1.36,+0.77%,178.47,176.9,1417200,04/11/19
ADBE,"Adobe Systems Inc",271.9,0.32,+0.12%,272.92,270.77,2085700,04/11/19
ADI,"Analog Devices",111.82,-0.25,-0.22%,112.68,111.17,1784900,04/11/19
ADM,"Archer Daniels Midland Company",43.29,0.05,+0.12%,43.77,43.08,1965300,04/11/19
ADP,"Automatic Data Procs",161.67,1.25,+0.78%,161.76,160.42,1525900,04/11/19
ADS,"Alliance Data Systems Corp",175.74,-0.73,-0.41%,177.48,175.27,329200,04/11/19
ADSK,"Autodesk Inc",171.88,1.42,+0.83%,172.11,170.03,1601300,04/11/19
AEE,"Ameren Corp",71.84,0.34,+0.48%,71.87,71.22,856400,04/11/19
AEP,"American Electric Power Company",83.94,0.59,+0.71%,83.99,83.29,2757100,04/11/19
AES,"The Aes Corp",18.08,0.02,+0.11%,18.12,17.96,2622500,04/11/19
AFL,"Aflac Incorporated",49.37,0.16,+0.33%,49.56,49.15,3147100,04/11/19
AGN,"Allergan Plc",145.04,-1.06,-0.73%,147,144.17,1693600,04/11/19
AIG,"American International Group",45.71,0.83,+1.85%,45.82,45.08,4330300,04/11/19
AIV,"Apartment Investment and Management",50.71,-0.11,-0.22%,51.15,50.46,1365200,04/11/19
AIZ,"Assurant Inc",95.44,0.97,+1.03%,95.68,94.33,359900,04/11/19
AJG,"Arthur J. Gallagher & CO",79.67,1.07,+1.36%,79.8,78.63,1329900,04/11/19
AKAM,"Akamai Technologies",75.43,0.34,+0.45%,75.74,74.77,632600,04/11/19
ALB,"Albemarle Corp",82.71,-2.84,-3.32%,85.3,82.63,1404900,04/11/19
ALGN,"Align Technology I",289.66,-0.46,-0.16%,292.2,286.68,498400,04/11/19
ALK,"Alaska Air Group",59.71,0.93,+1.58%,60.57,58.86,2174200,04/11/19
ALL,"Allstate Corp",95.81,0.81,+0.85%,95.9,95.12,1168700,04/11/19
ALLE,"Allegion Plc",93.77,0.44,+0.47%,93.84,93.08,461000,04/11/19
ALXN,"Alexion Pharm Inc",137.42,-3.88,-2.75%,141.59,137.24,947500,04/11/19
AMAT,"Applied Materials",42.47,0.3,+0.71%,42.94,42.28,6577500,04/11/19
AMD,"Adv Micro Devices",27.79,-0.04,-0.14%,28.05,27.46,44801102,04/11/19
AME,"Amtek Inc",84.8,0.76,+0.90%,84.87,83.96,487900,04/11/19
AMG,"Affiliated Managers Group",110.45,-0.06,-0.05%,112.64,110.29,439400,04/11/19
AMGN,"Amgen Inc",192.11,-1.78,-0.92%,194.79,190.65,2082500,04/11/19
AMP,"Ameriprise Financial Services",139.65,1.11,+0.80%,140.71,138.94,512700,04/11/19
AMT,"American Tower Corp",196.65,0.03,+0.02%,197.19,195.44,1027100,04/11/19
